Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,1.6,1.75,1.6,1.74,158588,0.0,0.0
2025-11-20 00:00:00-05:00,1.81,1.87,1.56,1.59,287800,0.0,0.0
2025-11-19 00:00:00-05:00,1.91,1.96,1.74,1.75,251800,0.0,0.0
2025-11-18 00:00:00-05:00,2.0,2.0,1.81,1.93,272800,0.0,0.0
2025-11-17 00:00:00-05:00,2.05,2.14,1.85,1.88,243400,0.0,0.0
2025-11-14 00:00:00-05:00,2.03,2.18,2.03,2.05,162600,0.0,0.0
2025-11-13 00:00:00-05:00,2.2,2.28,2.01,2.04,185300,0.0,0.0
2025-11-12 00:00:00-05:00,2.39,2.42,2.22,2.23,130700,0.0,0.0
2025-11-11 00:00:00-05:00,2.47,2.5,2.24,2.38,339300,0.0,0.0
2025-11-10 00:00:00-05:00,2.51,2.6,2.47,2.48,144200,0.0,0.0
2025-11-07 00:00:00-05:00,2.45,2.52,2.4,2.52,157300,0.0,0.0
2025-11-06 00:00:00-05:00,2.49,2.49,2.43,2.45,111100,0.0,0.0
2025-11-05 00:00:00-05:00,2.46,2.5,2.4,2.5,89500,0.0,0.0
2025-11-04 00:00:00-05:00,2.5,2.54,2.44,2.45,256900,0.0,0.0
2025-11-03 00:00:00-05:00,2.52,2.59,2.46,2.54,153300,0.0,0.0
2025-10-31 00:00:00-04:00,2.51,2.56,2.43,2.55,147700,0.0,0.0
2025-10-30 00:00:00-04:00,2.45,2.54,2.43,2.48,122100,0.0,0.0
2025-10-29 00:00:00-04:00,2.47,2.51,2.38,2.45,280900,0.0,0.0
2025-10-28 00:00:00-04:00,2.32,2.5,2.25,2.46,219600,0.0,0.0
2025-10-27 00:00:00-04:00,2.29,2.36,2.27,2.3,287800,0.0,0.0
2025-10-24 00:00:00-04:00,2.23,2.34,2.22,2.29,177500,0.0,0.0
2025-10-23 00:00:00-04:00,2.26,2.32,2.23,2.23,151800,0.0,0.0
2025-10-22 00:00:00-04:00,2.31,2.31,2.16,2.25,245300,0.0,0.0
2025-10-21 00:00:00-04:00,2.4,2.43,2.31,2.31,156600,0.0,0.0
2025-10-20 00:00:00-04:00,2.43,2.48,2.4,2.45,130700,0.0,0.0
2025-10-17 00:00:00-04:00,2.37,2.48,2.34,2.4,226000,0.0,0.0
2025-10-16 00:00:00-04:00,2.57,2.57,2.4,2.4,124500,0.0,0.0
2025-10-15 00:00:00-04:00,2.54,2.62,2.5,2.56,196200,0.0,0.0
2025-10-14 00:00:00-04:00,2.43,2.56,2.37,2.53,190200,0.0,0.0
2025-10-13 00:00:00-04:00,2.44,2.47,2.37,2.43,145200,0.0,0.0
2025-10-10 00:00:00-04:00,2.57,2.59,2.39,2.39,197900,0.0,0.0
2025-10-09 00:00:00-04:00,2.61,2.63,2.5,2.58,155200,0.0,0.0
2025-10-08 00:00:00-04:00,2.58,2.65,2.47,2.61,332500,0.0,0.0
2025-10-07 00:00:00-04:00,2.48,2.52,2.38,2.5,324100,0.0,0.0
2025-10-06 00:00:00-04:00,2.63,2.66,2.49,2.49,231500,0.0,0.0
2025-10-03 00:00:00-04:00,2.61,2.65,2.54,2.6,190300,0.0,0.0
2025-10-02 00:00:00-04:00,2.54,2.65,2.51,2.61,138800,0.0,0.0
2025-10-01 00:00:00-04:00,2.48,2.57,2.48,2.54,117100,0.0,0.0
2025-09-30 00:00:00-04:00,2.44,2.52,2.44,2.48,107900,0.0,0.0
2025-09-29 00:00:00-04:00,2.46,2.53,2.43,2.47,96400,0.0,0.0
2025-09-26 00:00:00-04:00,2.45,2.55,2.42,2.46,111900,0.0,0.0
2025-09-25 00:00:00-04:00,2.55,2.56,2.45,2.45,179700,0.0,0.0
2025-09-24 00:00:00-04:00,2.47,2.6,2.47,2.57,129300,0.0,0.0
2025-09-23 00:00:00-04:00,2.54,2.65,2.5,2.5,177300,0.0,0.0
2025-09-22 00:00:00-04:00,2.53,2.65,2.51,2.55,228900,0.0,0.0
2025-09-19 00:00:00-04:00,2.6,2.63,2.52,2.61,505400,0.0,0.0
2025-09-18 00:00:00-04:00,2.45,2.64,2.45,2.58,209900,0.0,0.0
2025-09-17 00:00:00-04:00,2.47,2.6,2.43,2.43,198800,0.0,0.0
2025-09-16 00:00:00-04:00,2.38,2.53,2.36,2.48,187900,0.0,0.0
2025-09-15 00:00:00-04:00,2.58,2.58,2.35,2.39,346900,0.0,0.0
2025-09-12 00:00:00-04:00,2.58,2.64,2.5,2.5,140500,0.0,0.0
2025-09-11 00:00:00-04:00,2.37,2.6,2.37,2.59,284300,0.0,0.0
2025-09-10 00:00:00-04:00,2.43,2.46,2.32,2.37,267000,0.0,0.0
2025-09-09 00:00:00-04:00,2.5,2.52,2.28,2.35,437100,0.0,0.0
2025-09-08 00:00:00-04:00,2.55,2.65,2.51,2.52,273000,0.0,0.0
2025-09-05 00:00:00-04:00,2.54,2.58,2.43,2.55,208700,0.0,0.0
2025-09-04 00:00:00-04:00,2.6,2.6,2.52,2.53,168900,0.0,0.0
2025-09-03 00:00:00-04:00,2.59,2.71,2.54,2.6,153500,0.0,0.0
2025-09-02 00:00:00-04:00,2.69,2.76,2.55,2.59,230400,0.0,0.0
2025-08-29 00:00:00-04:00,2.81,2.82,2.69,2.7,220200,0.0,0.0
2025-08-28 00:00:00-04:00,2.91,2.96,2.77,2.81,261900,0.0,0.0
2025-08-27 00:00:00-04:00,3.02,3.03,2.88,2.9,144900,0.0,0.0
2025-08-26 00:00:00-04:00,2.95,3.07,2.95,3.0,170800,0.0,0.0
2025-08-25 00:00:00-04:00,3.2,3.2,2.93,2.95,274600,0.0,0.0
2025-08-22 00:00:00-04:00,2.87,3.3,2.87,3.25,612900,0.0,0.0
2025-08-21 00:00:00-04:00,2.98,2.98,2.89,2.91,197900,0.0,0.0
2025-08-20 00:00:00-04:00,2.94,3.0,2.86,2.98,142600,0.0,0.0
2025-08-19 00:00:00-04:00,3.06,3.11,2.85,3.0,382700,0.0,0.0
2025-08-18 00:00:00-04:00,3.0,3.15,3.0,3.09,357000,0.0,0.0
2025-08-15 00:00:00-04:00,2.79,3.11,2.72,3.06,647300,0.0,0.0
2025-08-14 00:00:00-04:00,2.94,2.99,2.72,2.76,446600,0.0,0.0
2025-08-13 00:00:00-04:00,3.3,3.35,2.66,2.84,1246300,0.0,0.0
2025-08-12 00:00:00-04:00,3.39,3.9,3.11,3.25,3838300,0.0,0.0
2025-08-11 00:00:00-04:00,2.33,3.15,2.31,3.05,6534200,0.0,0.0
2025-08-08 00:00:00-04:00,2.43,2.46,2.29,2.3,134100,0.0,0.0
2025-08-07 00:00:00-04:00,2.7,2.75,2.4,2.43,144000,0.0,0.0
2025-08-06 00:00:00-04:00,2.66,2.7,2.57,2.62,69300,0.0,0.0
2025-08-05 00:00:00-04:00,2.6,2.67,2.56,2.66,81400,0.0,0.0
2025-08-04 00:00:00-04:00,2.4,2.61,2.39,2.59,120000,0.0,0.0
2025-08-01 00:00:00-04:00,2.42,2.53,2.37,2.4,111000,0.0,0.0
2025-07-31 00:00:00-04:00,2.47,2.55,2.47,2.48,157700,0.0,0.0
2025-07-30 00:00:00-04:00,2.68,2.75,2.55,2.58,219900,0.0,0.0
2025-07-29 00:00:00-04:00,2.78,2.78,2.64,2.68,164700,0.0,0.0
2025-07-28 00:00:00-04:00,2.85,2.86,2.71,2.78,184600,0.0,0.0
2025-07-25 00:00:00-04:00,2.79,2.85,2.71,2.85,149100,0.0,0.0
2025-07-24 00:00:00-04:00,2.95,2.96,2.8,2.84,250900,0.0,0.0
2025-07-23 00:00:00-04:00,2.75,2.95,2.68,2.95,321100,0.0,0.0
2025-07-22 00:00:00-04:00,2.58,2.76,2.55,2.74,358400,0.0,0.0
2025-07-21 00:00:00-04:00,2.67,2.78,2.54,2.55,386300,0.0,0.0
2025-07-18 00:00:00-04:00,2.53,2.73,2.53,2.62,349700,0.0,0.0
2025-07-17 00:00:00-04:00,2.34,2.54,2.34,2.53,311800,0.0,0.0
2025-07-16 00:00:00-04:00,2.29,2.38,2.23,2.36,229800,0.0,0.0
2025-07-15 00:00:00-04:00,2.35,2.37,2.26,2.3,178700,0.0,0.0
2025-07-14 00:00:00-04:00,2.29,2.38,2.28,2.33,160200,0.0,0.0
2025-07-11 00:00:00-04:00,2.53,2.55,2.28,2.3,215800,0.0,0.0
