Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-31 00:00:00-05:00,5.75,12.94,5.62,9.53,108426800,0.0,0.0
2025-12-30 00:00:00-05:00,4.36,4.5,4.03,4.1,43500,0.0,0.0
2025-12-29 00:00:00-05:00,4.76,4.84,4.3,4.3,24600,0.0,0.0
2025-12-26 00:00:00-05:00,4.93,5.02,4.55,4.84,17300,0.0,0.0
2025-12-24 00:00:00-05:00,5.36,5.36,4.92,4.98,24100,0.0,0.0
2025-12-23 00:00:00-05:00,5.7,5.77,5.28,5.28,36500,0.0,0.0
2025-12-22 00:00:00-05:00,6.01,6.14,5.67,5.75,46000,0.0,0.0
2025-12-19 00:00:00-05:00,6.95,6.98,5.69,6.14,75300,0.0,0.0
2025-12-18 00:00:00-05:00,6.23,7.25,6.23,6.99,297700,0.0,0.0
2025-12-17 00:00:00-05:00,5.34,6.82,5.31,5.91,133700,0.0,0.0
2025-12-16 00:00:00-05:00,5.45,5.82,5.09,5.5,45400,0.0,0.1
2025-12-15 00:00:00-05:00,5.38,5.79,5.38,5.5,12550,0.0,0.0
2025-12-12 00:00:00-05:00,7.3,7.35,5.58,5.6,90490,0.0,0.0
2025-12-11 00:00:00-05:00,7.2,7.32,7.04,7.25,7940,0.0,0.0
2025-12-10 00:00:00-05:00,7.26,7.4,7.13,7.24,3170,0.0,0.0
2025-12-09 00:00:00-05:00,6.9,7.5,6.9,7.4,5810,0.0,0.0
2025-12-08 00:00:00-05:00,7.2,7.25,6.82,7.1,4460,0.0,0.0
2025-12-05 00:00:00-05:00,7.5,7.6,7.24,7.25,6840,0.0,0.0
2025-12-04 00:00:00-05:00,7.0,7.55,6.81,7.47,19780,0.0,0.0
2025-12-03 00:00:00-05:00,6.7,7.0,6.51,6.93,13330,0.0,0.0
2025-12-02 00:00:00-05:00,6.5,7.0,6.5,6.61,25030,0.0,0.0
2025-12-01 00:00:00-05:00,6.68,6.85,6.45,6.47,4700,0.0,0.0
2025-11-28 00:00:00-05:00,6.8,6.8,6.49,6.6,5510,0.0,0.0
2025-11-26 00:00:00-05:00,6.6,6.91,6.6,6.71,10850,0.0,0.0
2025-11-25 00:00:00-05:00,6.83,6.83,6.48,6.61,13160,0.0,0.0
2025-11-24 00:00:00-05:00,6.66,6.91,6.41,6.64,10480,0.0,0.0
2025-11-21 00:00:00-05:00,6.45,6.92,6.37,6.77,15370,0.0,0.0
2025-11-20 00:00:00-05:00,6.69,6.9,6.4,6.42,13270,0.0,0.0
2025-11-19 00:00:00-05:00,7.1,7.3,6.69,6.85,10800,0.0,0.0
2025-11-18 00:00:00-05:00,7.1,7.1,6.65,6.9,7010,0.0,0.0
2025-11-17 00:00:00-05:00,7.21,7.21,6.9,6.92,17620,0.0,0.0
2025-11-14 00:00:00-05:00,7.1,7.34,6.99,7.2,12180,0.0,0.0
2025-11-13 00:00:00-05:00,7.76,7.8,7.12,7.17,14810,0.0,0.0
2025-11-12 00:00:00-05:00,8.01,8.35,7.6,7.93,24440,0.0,0.0
2025-11-11 00:00:00-05:00,8.04,8.08,7.83,8.07,4960,0.0,0.0
2025-11-10 00:00:00-05:00,7.99,8.22,7.8,7.85,10470,0.0,0.0
2025-11-07 00:00:00-05:00,7.6,7.8,7.29,7.71,26120,0.0,0.0
2025-11-06 00:00:00-05:00,8.1,8.2,7.51,7.81,22820,0.0,0.0
2025-11-05 00:00:00-05:00,8.6,8.6,8.13,8.23,31030,0.0,0.0
2025-11-04 00:00:00-05:00,9.8,10.4,8.34,8.43,142880,0.0,0.0
2025-11-03 00:00:00-05:00,9.7,9.7,9.07,9.28,18000,0.0,0.0
2025-10-31 00:00:00-04:00,10.3,10.38,9.69,9.77,25670,0.0,0.0
2025-10-30 00:00:00-04:00,9.6,10.6,9.2,10.3,83550,0.0,0.0
