Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,7.1,7.2,6.95,7.09,101491,0.0,0.0
2025-11-24 00:00:00-05:00,6.88,7.14,6.77,7.08,208200,0.0,0.0
2025-11-21 00:00:00-05:00,6.59,6.71,6.58,6.71,72257,0.0,0.0
2025-11-20 00:00:00-05:00,6.81,6.9,6.56,6.59,283500,0.0,0.0
2025-11-19 00:00:00-05:00,6.83,6.88,6.66,6.69,206400,0.0,0.0
2025-11-18 00:00:00-05:00,6.65,6.87,6.58,6.85,206100,0.0,0.0
2025-11-17 00:00:00-05:00,6.85,7.01,6.7,6.71,318200,0.0,0.0
2025-11-14 00:00:00-05:00,6.81,6.93,6.78,6.9,147600,0.0,0.0
2025-11-13 00:00:00-05:00,7.05,7.1,6.85,6.88,176800,0.0,0.0
2025-11-12 00:00:00-05:00,7.0,7.2,7.0,7.09,160200,0.0,0.0
2025-11-11 00:00:00-05:00,7.08,7.17,6.96,6.99,249400,0.0,0.0
2025-11-10 00:00:00-05:00,7.0,7.25,6.97,7.02,201100,0.0,0.0
2025-11-07 00:00:00-05:00,7.07,7.18,6.95,6.99,177700,0.0,0.0
2025-11-06 00:00:00-05:00,7.33,7.47,7.01,7.03,400300,0.0,0.0
2025-11-05 00:00:00-05:00,8.02,8.14,7.15,7.39,486000,0.0,0.0
2025-11-04 00:00:00-05:00,8.12,8.29,8.03,8.06,132300,0.0,0.0
2025-11-03 00:00:00-05:00,8.2,8.26,8.02,8.21,206800,0.0,0.0
2025-10-31 00:00:00-04:00,8.15,8.29,8.11,8.24,90200,0.0,0.0
2025-10-30 00:00:00-04:00,8.34,8.55,8.06,8.17,126000,0.0,0.0
2025-10-29 00:00:00-04:00,8.53,8.69,8.34,8.41,161900,0.0,0.0
2025-10-28 00:00:00-04:00,8.62,8.65,8.43,8.53,134300,0.0,0.0
2025-10-27 00:00:00-04:00,8.77,8.94,8.6,8.66,119500,0.0,0.0
2025-10-24 00:00:00-04:00,9.03,9.03,8.72,8.77,116000,0.0,0.0
2025-10-23 00:00:00-04:00,8.86,9.1,8.78,8.95,177300,0.0,0.0
2025-10-22 00:00:00-04:00,8.5,9.13,8.5,8.85,310000,0.0,0.0
2025-10-21 00:00:00-04:00,8.54,8.57,8.44,8.49,159800,0.0,0.0
2025-10-20 00:00:00-04:00,8.46,8.59,8.24,8.58,84700,0.0,0.0
2025-10-17 00:00:00-04:00,8.45,8.55,8.36,8.37,158800,0.0,0.0
2025-10-16 00:00:00-04:00,8.56,8.75,8.47,8.51,126400,0.0,0.0
2025-10-15 00:00:00-04:00,8.4,8.54,8.22,8.52,115100,0.0,0.0
2025-10-14 00:00:00-04:00,7.92,8.38,7.82,8.37,188600,0.0,0.0
2025-10-13 00:00:00-04:00,8.27,8.32,7.96,8.04,163200,0.0,0.0
2025-10-10 00:00:00-04:00,8.5,8.5,8.1,8.16,118500,0.0,0.0
2025-10-09 00:00:00-04:00,8.69,8.7,8.49,8.5,116700,0.0,0.0
2025-10-08 00:00:00-04:00,8.62,8.73,8.38,8.69,146900,0.0,0.0
2025-10-07 00:00:00-04:00,8.42,8.84,8.24,8.59,165700,0.0,0.0
2025-10-06 00:00:00-04:00,8.75,8.75,8.36,8.43,182400,0.0,0.0
2025-10-03 00:00:00-04:00,8.6,8.77,8.56,8.65,118900,0.0,0.0
2025-10-02 00:00:00-04:00,8.43,8.56,8.22,8.53,170700,0.0,0.0
2025-10-01 00:00:00-04:00,8.11,8.57,8.1,8.42,211800,0.0,0.0
2025-09-30 00:00:00-04:00,8.09,8.38,8.06,8.17,258600,0.0,0.0
2025-09-29 00:00:00-04:00,8.24,8.24,8.08,8.11,207000,0.0,0.0
2025-09-26 00:00:00-04:00,8.46,8.47,8.22,8.22,169200,0.0,0.0
2025-09-25 00:00:00-04:00,8.34,8.47,8.18,8.46,183900,0.0,0.0
2025-09-24 00:00:00-04:00,8.33,8.52,8.33,8.43,175000,0.0,0.0
2025-09-23 00:00:00-04:00,8.69,8.73,8.33,8.34,155100,0.0,0.0
2025-09-22 00:00:00-04:00,8.59,8.76,8.49,8.66,169400,0.0,0.0
2025-09-19 00:00:00-04:00,8.86,8.86,8.45,8.66,351500,0.0,0.0
2025-09-18 00:00:00-04:00,8.41,8.82,8.36,8.79,316400,0.0,0.0
2025-09-17 00:00:00-04:00,8.5,8.67,8.29,8.32,192900,0.0,0.0
2025-09-16 00:00:00-04:00,8.55,8.65,8.4,8.5,140500,0.0,0.0
2025-09-15 00:00:00-04:00,8.58,8.7,8.5,8.56,134500,0.0,0.0
2025-09-12 00:00:00-04:00,8.56,8.65,8.39,8.54,206800,0.0,0.0
2025-09-11 00:00:00-04:00,8.33,8.64,8.33,8.56,178800,0.0,0.0
2025-09-10 00:00:00-04:00,8.53,8.65,8.2,8.32,172700,0.0,0.0
2025-09-09 00:00:00-04:00,8.47,8.63,8.37,8.53,238400,0.0,0.0
2025-09-08 00:00:00-04:00,8.16,8.46,8.0,8.45,220800,0.0,0.0
2025-09-05 00:00:00-04:00,8.11,8.39,8.1,8.11,251200,0.0,0.0
2025-09-04 00:00:00-04:00,7.89,8.34,7.87,8.12,272200,0.0,0.0
2025-09-03 00:00:00-04:00,8.15,8.16,7.72,7.88,219200,0.0,0.0
2025-09-02 00:00:00-04:00,7.86,8.18,7.77,8.1,215200,0.0,0.0
2025-08-29 00:00:00-04:00,8.01,8.04,7.8,7.99,167400,0.0,0.0
2025-08-28 00:00:00-04:00,7.95,7.99,7.82,7.96,114100,0.0,0.0
2025-08-27 00:00:00-04:00,7.96,8.18,7.87,7.93,177800,0.0,0.0
2025-08-26 00:00:00-04:00,7.7,8.07,7.65,7.99,208500,0.0,0.0
2025-08-25 00:00:00-04:00,7.71,7.74,7.56,7.71,154200,0.0,0.0
2025-08-22 00:00:00-04:00,7.6,7.88,7.55,7.75,203400,0.0,0.0
2025-08-21 00:00:00-04:00,7.35,7.6,7.29,7.53,171900,0.0,0.0
2025-08-20 00:00:00-04:00,7.47,7.51,7.32,7.37,132500,0.0,0.0
2025-08-19 00:00:00-04:00,7.54,7.7,7.43,7.49,149000,0.0,0.0
2025-08-18 00:00:00-04:00,7.49,7.67,7.48,7.55,179400,0.0,0.0
2025-08-15 00:00:00-04:00,7.72,7.8,7.41,7.46,182200,0.0,0.0
2025-08-14 00:00:00-04:00,7.54,7.71,7.35,7.67,267200,0.0,0.0
2025-08-13 00:00:00-04:00,7.64,7.85,7.59,7.7,319100,0.0,0.0
2025-08-12 00:00:00-04:00,7.07,7.76,7.0,7.58,428100,0.0,0.0
2025-08-11 00:00:00-04:00,6.5,7.38,6.43,7.04,428500,0.0,0.0
2025-08-08 00:00:00-04:00,6.0,6.84,5.99,6.48,651600,0.0,0.0
2025-08-07 00:00:00-04:00,6.31,6.37,5.85,5.87,419100,0.0,0.0
2025-08-06 00:00:00-04:00,6.33,6.4,6.2,6.3,281100,0.0,0.0
2025-08-05 00:00:00-04:00,6.55,6.55,6.27,6.33,278400,0.0,0.0
2025-08-04 00:00:00-04:00,6.24,6.57,6.23,6.54,224000,0.0,0.0
2025-08-01 00:00:00-04:00,6.25,6.4,6.03,6.21,445000,0.0,0.0
2025-07-31 00:00:00-04:00,6.49,6.59,6.28,6.31,318800,0.0,0.0
2025-07-30 00:00:00-04:00,6.62,6.76,6.47,6.55,198500,0.0,0.0
2025-07-29 00:00:00-04:00,6.81,6.81,6.5,6.6,193400,0.0,0.0
2025-07-28 00:00:00-04:00,6.81,6.93,6.73,6.79,150500,0.0,0.0
2025-07-25 00:00:00-04:00,6.81,6.87,6.69,6.8,141800,0.0,0.0
2025-07-24 00:00:00-04:00,6.69,6.86,6.56,6.8,216000,0.0,0.0
2025-07-23 00:00:00-04:00,6.37,6.76,6.32,6.73,268400,0.0,0.0
2025-07-22 00:00:00-04:00,6.27,6.44,6.27,6.34,141600,0.0,0.0
2025-07-21 00:00:00-04:00,6.35,6.48,6.28,6.29,152500,0.0,0.0
2025-07-18 00:00:00-04:00,6.7,6.73,6.35,6.35,175600,0.0,0.0
2025-07-17 00:00:00-04:00,6.54,6.69,6.5,6.68,292000,0.0,0.0
2025-07-16 00:00:00-04:00,6.56,6.61,6.38,6.54,183500,0.0,0.0
2025-07-15 00:00:00-04:00,6.68,6.75,6.53,6.55,116800,0.0,0.0
2025-07-14 00:00:00-04:00,6.9,6.94,6.68,6.71,107600,0.0,0.0
2025-07-11 00:00:00-04:00,7.26,7.26,6.92,6.92,162800,0.0,0.0
2025-07-10 00:00:00-04:00,7.49,7.61,7.3,7.31,126200,0.0,0.0
