Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,0.42,0.44,0.42,0.42,8500,0.0,0.0
2025-11-24 00:00:00-05:00,0.41,0.47,0.41,0.45,30189,0.0,0.0
2025-11-21 00:00:00-05:00,0.37,0.44,0.37,0.44,36777,0.0,0.0
2025-11-20 00:00:00-05:00,0.35,0.38,0.35,0.36,505900,0.0,0.0
2025-11-19 00:00:00-05:00,0.38,0.4,0.35,0.35,18395900,0.0,0.0
2025-11-18 00:00:00-05:00,0.38,0.4,0.35,0.37,309000,0.0,0.0
2025-11-17 00:00:00-05:00,0.41,0.49,0.38,0.38,244800,0.0,0.0
2025-11-14 00:00:00-05:00,0.53,0.55,0.35,0.41,530900,0.0,0.0
2025-11-13 00:00:00-05:00,0.56,0.61,0.54,0.54,82900,0.0,0.0
2025-11-12 00:00:00-05:00,0.62,0.66,0.58,0.58,50500,0.0,0.0
2025-11-11 00:00:00-05:00,0.66,0.72,0.63,0.65,71700,0.0,0.0
2025-11-10 00:00:00-05:00,0.59,0.71,0.59,0.71,286400,0.0,0.0
2025-11-07 00:00:00-05:00,0.48,0.61,0.48,0.6,170500,0.0,0.0
2025-11-06 00:00:00-05:00,0.64,0.64,0.54,0.55,285100,0.0,0.0
2025-11-05 00:00:00-05:00,0.6,0.64,0.6,0.6,97800,0.0,0.0
2025-11-04 00:00:00-05:00,0.61,0.62,0.6,0.6,111900,0.0,0.0
2025-11-03 00:00:00-05:00,0.64,0.66,0.62,0.62,146300,0.0,0.0
2025-10-31 00:00:00-04:00,0.65,0.67,0.64,0.64,67300,0.0,0.0
2025-10-30 00:00:00-04:00,0.66,0.68,0.65,0.65,121600,0.0,0.0
2025-10-29 00:00:00-04:00,0.62,0.7,0.62,0.67,60800,0.0,0.0
2025-10-28 00:00:00-04:00,0.7,0.72,0.65,0.66,56700,0.0,0.0
2025-10-27 00:00:00-04:00,0.68,0.72,0.65,0.7,61500,0.0,0.0
2025-10-24 00:00:00-04:00,0.68,0.76,0.68,0.72,53200,0.0,0.0
2025-10-23 00:00:00-04:00,0.62,0.75,0.62,0.71,116800,0.0,0.0
2025-10-22 00:00:00-04:00,0.65,0.71,0.62,0.71,373300,0.0,0.0
2025-10-21 00:00:00-04:00,0.7,0.75,0.68,0.68,73300,0.0,0.0
2025-10-20 00:00:00-04:00,0.76,0.78,0.7,0.73,58400,0.0,0.0
2025-10-17 00:00:00-04:00,0.78,0.79,0.75,0.75,392000,0.0,0.0
2025-10-16 00:00:00-04:00,0.82,0.95,0.78,0.79,134800,0.0,0.0
2025-10-15 00:00:00-04:00,0.77,0.94,0.77,0.86,311500,0.0,0.0
2025-10-14 00:00:00-04:00,0.75,0.83,0.75,0.78,108300,0.0,0.0
2025-10-13 00:00:00-04:00,0.9,0.9,0.75,0.8,1053200,0.0,0.0
