Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,0.84,0.84,0.83,0.83,8912,0.0,0.0
2025-11-20 00:00:00-05:00,0.84,0.84,0.83,0.84,7835,0.0,0.0
2025-11-19 00:00:00-05:00,0.84,0.84,0.84,0.84,1181,0.0,0.0
2025-11-18 00:00:00-05:00,0.83,0.83,0.83,0.83,521,0.0,0.0
2025-11-17 00:00:00-05:00,0.83,0.85,0.83,0.85,1869,0.0,0.0
2025-11-14 00:00:00-05:00,0.83,0.83,0.83,0.83,0,0.0,0.0
2025-11-13 00:00:00-05:00,0.85,0.85,0.83,0.83,3168,0.0,0.0
2025-11-12 00:00:00-05:00,0.85,0.86,0.85,0.85,2430,0.0,0.0
2025-11-11 00:00:00-05:00,0.83,0.83,0.83,0.83,4315,0.0,0.0
2025-11-10 00:00:00-05:00,0.84,0.86,0.84,0.86,4397,0.0,0.0
2025-11-07 00:00:00-05:00,0.83,0.83,0.83,0.83,7050,0.0,0.0
2025-11-06 00:00:00-05:00,0.85,0.85,0.82,0.82,4331,0.0,0.0
2025-11-05 00:00:00-05:00,0.82,0.87,0.82,0.82,3386,0.0,0.0
2025-11-04 00:00:00-05:00,0.8,0.87,0.8,0.82,27971,0.0,0.0
2025-11-03 00:00:00-05:00,0.72,0.73,0.72,0.73,2399,0.0,0.0
2025-10-31 00:00:00-04:00,0.73,0.8,0.72,0.72,3110,0.0,0.0
2025-10-30 00:00:00-04:00,0.7,0.7,0.7,0.7,174,0.0,0.0
2025-10-29 00:00:00-04:00,0.7,0.7,0.7,0.7,937,0.0,0.0
2025-10-28 00:00:00-04:00,0.7,0.7,0.7,0.7,2275,0.0,0.0
2025-10-27 00:00:00-04:00,0.71,0.8,0.7,0.8,1479,0.0,0.0
2025-10-24 00:00:00-04:00,0.75,0.8,0.75,0.8,1170,0.0,0.0
2025-10-23 00:00:00-04:00,0.7,0.7,0.7,0.7,0,0.0,0.0
2025-10-22 00:00:00-04:00,0.7,0.7,0.7,0.7,823,0.0,0.0
2025-10-21 00:00:00-04:00,0.77,0.77,0.77,0.77,7390,0.0,0.0
2025-10-20 00:00:00-04:00,0.77,0.8,0.77,0.77,6950,0.0,0.0
2025-10-17 00:00:00-04:00,0.77,0.79,0.77,0.77,4215,0.0,0.0
2025-10-16 00:00:00-04:00,0.78,0.8,0.78,0.78,11652,0.0,0.0
2025-10-15 00:00:00-04:00,0.78,0.78,0.78,0.78,10882,0.0,0.0
2025-10-14 00:00:00-04:00,0.78,0.8,0.78,0.8,11578,0.0,0.0
2025-10-13 00:00:00-04:00,0.78,0.8,0.77,0.8,7958,0.0,0.0
2025-10-10 00:00:00-04:00,0.77,0.77,0.77,0.77,7140,0.0,0.0
2025-10-09 00:00:00-04:00,0.77,0.81,0.77,0.77,6629,0.0,0.0
