Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,26.8,27.39,26.61,27.28,225384,0.0,0.0
2025-11-20 00:00:00-05:00,27.24,27.48,26.14,26.63,1359100,0.0,0.0
2025-11-19 00:00:00-05:00,27.7,27.78,26.85,27.19,977600,0.0,0.0
2025-11-18 00:00:00-05:00,27.83,28.17,27.3,27.81,1094700,0.0,0.0
2025-11-17 00:00:00-05:00,28.57,28.57,27.89,28.01,1058700,0.0,0.0
2025-11-14 00:00:00-05:00,28.8,28.8,27.89,28.64,1228300,0.0,0.0
2025-11-13 00:00:00-05:00,28.84,29.64,28.58,28.86,1130600,0.0,0.0
2025-11-12 00:00:00-05:00,29.47,29.61,28.64,28.9,1323600,0.0,0.0
2025-11-11 00:00:00-05:00,27.67,29.49,27.67,29.45,1460500,0.0,0.0
2025-11-10 00:00:00-05:00,28.97,28.97,27.59,27.64,1212900,0.0,0.0
2025-11-07 00:00:00-05:00,28.49,28.97,28.31,28.71,897200,0.0,0.0
2025-11-06 00:00:00-05:00,29.62,29.89,28.56,28.6,871800,0.0,0.0
2025-11-05 00:00:00-05:00,30.04,30.35,29.36,29.78,1137400,0.0,0.0
2025-11-04 00:00:00-05:00,30.0,30.72,29.82,29.9,891900,0.0,0.0
2025-11-03 00:00:00-05:00,30.56,30.56,29.77,30.09,1266200,0.0,0.0
2025-10-31 00:00:00-04:00,29.91,30.78,29.39,30.66,1693000,0.0,0.0
2025-10-30 00:00:00-04:00,30.32,30.89,30.0,30.14,1489400,0.0,0.0
2025-10-29 00:00:00-04:00,32.15,32.41,30.59,30.62,1234100,0.0,0.0
2025-10-28 00:00:00-04:00,32.72,33.0,32.02,32.44,1289800,0.0,0.0
2025-10-27 00:00:00-04:00,33.04,33.55,32.68,32.85,1483300,0.0,0.0
2025-10-24 00:00:00-04:00,34.22,34.34,33.07,33.11,738800,0.0,0.0
2025-10-23 00:00:00-04:00,33.48,33.76,32.86,33.63,908300,0.0,0.0
2025-10-22 00:00:00-04:00,34.16,34.38,33.25,33.39,1112700,0.0,0.0
2025-10-21 00:00:00-04:00,33.93,34.87,33.51,34.38,930300,0.0,0.0
2025-10-20 00:00:00-04:00,34.04,34.33,33.56,33.93,1153000,0.0,0.0
2025-10-17 00:00:00-04:00,34.86,35.52,33.26,33.71,1802200,0.0,0.0
2025-10-16 00:00:00-04:00,40.72,40.72,35.08,35.54,1875100,0.0,0.0
2025-10-15 00:00:00-04:00,38.14,38.49,37.58,38.02,1105100,0.0,0.0
2025-10-14 00:00:00-04:00,36.95,38.15,36.19,37.97,1295500,0.0,0.0
2025-10-13 00:00:00-04:00,38.11,39.08,37.98,37.99,886000,0.0,0.0
2025-10-10 00:00:00-04:00,39.4,39.44,37.75,38.02,1050400,0.0,0.0
2025-10-09 00:00:00-04:00,38.71,39.51,38.71,39.13,1296300,0.0,0.0
2025-10-08 00:00:00-04:00,38.02,38.96,38.01,38.84,759500,0.0,0.0
2025-10-07 00:00:00-04:00,39.45,39.45,38.13,38.36,767100,0.0,0.0
2025-10-06 00:00:00-04:00,39.31,39.83,38.77,39.3,922000,0.0,0.0
2025-10-03 00:00:00-04:00,38.85,39.77,38.73,39.21,1186500,0.0,0.0
2025-10-02 00:00:00-04:00,37.92,38.77,37.52,38.63,816600,0.0,0.0
2025-10-01 00:00:00-04:00,38.3,38.68,37.7,38.21,612400,0.0,0.0
2025-09-30 00:00:00-04:00,37.88,38.29,37.4,37.9,507900,0.0,0.0
2025-09-29 00:00:00-04:00,39.2,39.2,37.85,38.08,887100,0.0,0.0
2025-09-26 00:00:00-04:00,37.83,38.81,37.69,38.59,875400,0.0,0.0
2025-09-25 00:00:00-04:00,39.09,39.19,37.58,37.78,766900,0.0,0.0
2025-09-24 00:00:00-04:00,37.12,39.18,37.12,39.12,1196300,0.0,0.0
2025-09-23 00:00:00-04:00,37.91,38.35,37.15,37.33,989900,0.0,0.0
2025-09-22 00:00:00-04:00,37.13,37.98,37.05,37.83,1124800,0.0,0.0
2025-09-19 00:00:00-04:00,38.09,38.11,36.96,37.34,9102700,0.0,0.0
2025-09-18 00:00:00-04:00,38.27,38.3,37.65,38.07,876300,0.0,0.0
2025-09-17 00:00:00-04:00,38.28,39.44,37.52,37.79,737500,0.0,0.0
2025-09-16 00:00:00-04:00,38.18,38.47,37.57,38.28,883600,0.0,0.0
2025-09-15 00:00:00-04:00,38.8,38.93,38.05,38.14,780800,0.0,0.0
2025-09-12 00:00:00-04:00,39.69,39.69,38.39,38.39,885600,0.0,0.0
2025-09-11 00:00:00-04:00,38.12,39.6,37.82,39.58,1011700,0.0,0.0
2025-09-10 00:00:00-04:00,38.04,38.59,37.57,37.9,1118000,0.0,0.0
2025-09-09 00:00:00-04:00,38.4,39.26,38.31,38.44,1014000,0.0,0.0
2025-09-08 00:00:00-04:00,41.1,41.22,38.12,38.49,1583400,0.0,0.0
