Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,1.77,1.94,1.77,1.93,43432,0.0,0.0
2025-11-21 00:00:00-05:00,1.67,1.79,1.63,1.77,25515,0.0,0.0
2025-11-20 00:00:00-05:00,1.87,1.93,1.67,1.68,102700,0.0,0.0
2025-11-19 00:00:00-05:00,1.84,1.95,1.77,1.78,53600,0.0,0.0
2025-11-18 00:00:00-05:00,2.0,2.06,1.71,1.88,139500,0.0,0.0
2025-11-17 00:00:00-05:00,1.98,2.16,1.9,2.05,91700,0.0,0.0
2025-11-14 00:00:00-05:00,1.95,2.07,1.95,2.05,27400,0.0,0.0
2025-11-13 00:00:00-05:00,2.07,2.14,1.95,2.01,54600,0.0,0.0
2025-11-12 00:00:00-05:00,2.15,2.35,2.09,2.13,34800,0.0,0.0
2025-11-11 00:00:00-05:00,2.18,2.28,2.12,2.19,55700,0.0,0.0
2025-11-10 00:00:00-05:00,2.19,2.33,2.15,2.21,42300,0.0,0.0
2025-11-07 00:00:00-05:00,2.15,2.33,2.09,2.15,63800,0.0,0.0
2025-11-06 00:00:00-05:00,2.3,2.32,2.16,2.18,90600,0.0,0.0
2025-11-05 00:00:00-05:00,2.25,2.37,2.2,2.3,73400,0.0,0.0
2025-11-04 00:00:00-05:00,2.48,2.53,2.1,2.19,142500,0.0,0.0
2025-11-03 00:00:00-05:00,2.66,2.69,2.5,2.53,86700,0.0,0.0
2025-10-31 00:00:00-04:00,2.66,2.76,2.63,2.68,63400,0.0,0.0
2025-10-30 00:00:00-04:00,2.7,2.89,2.6,2.71,71800,0.0,0.0
2025-10-29 00:00:00-04:00,2.86,2.91,2.6,2.77,88200,0.0,0.0
2025-10-28 00:00:00-04:00,2.83,3.0,2.79,2.83,86100,0.0,0.0
2025-10-27 00:00:00-04:00,2.94,3.0,2.78,2.82,87500,0.0,0.0
2025-10-24 00:00:00-04:00,3.0,3.09,2.76,2.97,106200,0.0,0.0
2025-10-23 00:00:00-04:00,2.73,3.07,2.69,2.93,219800,0.0,0.0
2025-10-22 00:00:00-04:00,2.68,2.75,2.56,2.68,129200,0.0,0.0
2025-10-21 00:00:00-04:00,2.81,2.84,2.64,2.7,72300,0.0,0.0
2025-10-20 00:00:00-04:00,2.91,2.91,2.77,2.81,56400,0.0,0.0
2025-10-17 00:00:00-04:00,2.85,2.94,2.59,2.79,104600,0.0,0.0
2025-10-16 00:00:00-04:00,2.97,3.12,2.81,2.87,243100,0.0,0.0
2025-10-15 00:00:00-04:00,3.02,3.32,3.01,3.08,200800,0.0,0.0
2025-10-14 00:00:00-04:00,2.79,3.1,2.75,3.09,152100,0.0,0.0
2025-10-13 00:00:00-04:00,2.93,3.0,2.75,2.93,100100,0.0,0.0
2025-10-10 00:00:00-04:00,3.07,3.18,2.83,2.85,158300,0.0,0.0
2025-10-09 00:00:00-04:00,3.27,3.28,3.04,3.16,127800,0.0,0.0
2025-10-08 00:00:00-04:00,2.9,3.4,2.9,3.24,377700,0.0,0.0
2025-10-07 00:00:00-04:00,3.2,3.29,2.8,2.82,274400,0.0,0.0
2025-10-06 00:00:00-04:00,2.75,3.29,2.69,3.24,490800,0.0,0.0
2025-10-03 00:00:00-04:00,2.81,3.1,2.66,2.74,280400,0.0,0.0
2025-10-02 00:00:00-04:00,2.76,2.96,2.51,2.75,410700,0.0,0.0
2025-10-01 00:00:00-04:00,2.28,2.79,2.25,2.75,1425300,0.0,0.0
2025-09-30 00:00:00-04:00,2.32,2.33,2.16,2.26,83000,0.0,0.0
2025-09-29 00:00:00-04:00,2.15,2.3,2.1,2.23,150500,0.0,0.0
2025-09-26 00:00:00-04:00,2.05,2.1,2.02,2.1,25000,0.0,0.0
