Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,58.64,61.0,58.01,60.35,436232,0.0,0.0
2025-11-24 00:00:00-05:00,55.08,59.29,55.08,58.64,940798,0.0,0.0
2025-11-21 00:00:00-05:00,55.3,56.5,53.71,54.66,179418,0.0,0.0
2025-11-20 00:00:00-05:00,60.99,61.41,55.05,55.11,735400,0.0,0.0
2025-11-19 00:00:00-05:00,59.17,61.81,58.27,60.35,636200,0.0,0.0
2025-11-18 00:00:00-05:00,59.19,60.35,57.12,59.17,415500,0.0,0.0
2025-11-17 00:00:00-05:00,57.81,60.8,57.05,59.58,614800,0.0,0.0
2025-11-14 00:00:00-05:00,53.01,57.8,52.5,56.68,675000,0.0,0.0
2025-11-13 00:00:00-05:00,55.9,55.9,52.88,53.95,771800,0.0,0.0
2025-11-12 00:00:00-05:00,58.71,59.18,56.25,57.67,699400,0.0,0.0
2025-11-11 00:00:00-05:00,57.01,59.38,56.7,59.26,716700,0.0,0.0
2025-11-10 00:00:00-05:00,56.72,58.61,54.59,57.97,687400,0.0,0.0
2025-11-07 00:00:00-05:00,56.0,57.99,55.01,55.97,859400,0.0,0.0
2025-11-06 00:00:00-05:00,54.05,57.41,53.6,55.12,884000,0.0,0.0
2025-11-05 00:00:00-05:00,55.99,57.02,53.91,54.26,685800,0.0,0.0
2025-11-04 00:00:00-05:00,57.11,58.51,55.69,56.02,718900,0.0,0.0
2025-11-03 00:00:00-05:00,62.4,63.99,57.33,59.92,955200,0.0,0.0
2025-10-31 00:00:00-04:00,62.79,66.92,61.5,64.93,772400,0.0,0.0
2025-10-30 00:00:00-04:00,59.01,63.88,59.01,62.8,708600,0.0,0.0
2025-10-29 00:00:00-04:00,60.95,61.99,59.01,59.63,365000,0.0,0.0
2025-10-28 00:00:00-04:00,61.66,62.09,59.55,60.92,543000,0.0,0.0
2025-10-27 00:00:00-04:00,60.29,62.99,59.91,62.57,596800,0.0,0.0
2025-10-24 00:00:00-04:00,63.11,64.95,59.23,60.1,1356200,0.0,0.0
2025-10-23 00:00:00-04:00,62.3,65.79,61.7,63.64,1115900,0.0,0.0
2025-10-22 00:00:00-04:00,59.4,62.19,57.91,61.78,696500,0.0,0.0
2025-10-21 00:00:00-04:00,62.0,63.19,59.07,59.38,658800,0.0,0.0
2025-10-20 00:00:00-04:00,61.0,63.79,55.59,62.99,1770700,0.0,0.0
2025-10-17 00:00:00-04:00,54.51,63.92,54.01,57.77,2293100,0.0,0.0
2025-10-16 00:00:00-04:00,57.61,57.61,53.73,54.96,500400,0.0,0.0
2025-10-15 00:00:00-04:00,57.99,58.64,55.16,56.89,943300,0.0,0.0
2025-10-14 00:00:00-04:00,56.21,58.29,55.5,57.08,720100,0.0,0.0
2025-10-13 00:00:00-04:00,55.3,57.87,54.12,57.4,484400,0.0,0.0
2025-10-10 00:00:00-04:00,55.7,56.49,52.91,54.34,533800,0.0,0.0
2025-10-09 00:00:00-04:00,56.32,56.57,53.75,55.64,1122200,0.0,0.0
2025-10-08 00:00:00-04:00,58.9,59.64,56.26,56.56,1011500,0.0,0.0
2025-10-07 00:00:00-04:00,59.84,60.4,57.47,58.0,631500,0.0,0.0
2025-10-06 00:00:00-04:00,61.0,62.95,59.12,59.93,599200,0.0,0.0
2025-10-03 00:00:00-04:00,61.0,61.44,57.5,60.55,776700,0.0,0.0
2025-10-02 00:00:00-04:00,58.8,61.79,58.17,60.5,606300,0.0,0.0
2025-10-01 00:00:00-04:00,57.33,59.99,56.86,58.85,578900,0.0,0.0
2025-09-30 00:00:00-04:00,58.92,59.2,56.85,56.9,1017100,0.0,0.0
2025-09-29 00:00:00-04:00,58.85,60.11,56.81,58.92,1143400,0.0,0.0
2025-09-26 00:00:00-04:00,55.91,59.79,55.35,58.5,1063500,0.0,0.0
2025-09-25 00:00:00-04:00,59.01,59.39,55.51,55.62,961600,0.0,0.0
2025-09-24 00:00:00-04:00,59.82,61.15,57.58,60.33,1876500,0.0,0.0
2025-09-23 00:00:00-04:00,59.1,61.06,58.12,59.6,864600,0.0,0.0
2025-09-22 00:00:00-04:00,56.52,59.39,56.01,58.89,1029200,0.0,0.0
2025-09-19 00:00:00-04:00,58.76,59.58,55.05,55.14,1846700,0.0,0.0
2025-09-18 00:00:00-04:00,55.61,58.81,52.13,58.76,1876500,0.0,0.0
2025-09-17 00:00:00-04:00,50.32,52.75,49.87,51.07,1356600,0.0,0.0
2025-09-16 00:00:00-04:00,49.01,50.34,48.14,49.89,1499200,0.0,0.0
2025-09-15 00:00:00-04:00,49.0,49.75,47.6,49.01,1091700,0.0,0.0
2025-09-12 00:00:00-04:00,47.89,48.84,45.79,48.68,849700,0.0,0.0
2025-09-11 00:00:00-04:00,48.18,50.53,42.12,47.2,2799400,0.0,0.0
2025-09-10 00:00:00-04:00,48.5,49.01,45.74,48.18,1949500,0.0,0.0
2025-09-09 00:00:00-04:00,44.25,48.85,43.45,48.57,1885100,0.0,0.0
2025-09-08 00:00:00-04:00,40.71,44.33,39.1,44.33,1968900,0.0,0.0
