Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,0.65,0.8,0.6,0.73,511220,0.0,0.0
2025-11-20 00:00:00-05:00,0.77,0.77,0.61,0.66,599500,0.0,0.0
2025-11-19 00:00:00-05:00,0.83,0.92,0.81,0.85,808200,0.0,0.0
2025-11-18 00:00:00-05:00,1.0,1.08,0.91,0.95,29069400,0.0,0.0
2025-11-17 00:00:00-05:00,1.04,1.05,0.75,0.85,130900,0.0,0.0
2025-11-14 00:00:00-05:00,1.09,1.09,1.02,1.02,34300,0.0,0.0
2025-11-13 00:00:00-05:00,1.1,1.15,1.1,1.11,24300,0.0,0.0
2025-11-12 00:00:00-05:00,1.12,1.15,1.11,1.11,14900,0.0,0.0
2025-11-11 00:00:00-05:00,1.1,1.14,1.08,1.14,16300,0.0,0.0
2025-11-10 00:00:00-05:00,1.09,1.14,1.06,1.1,29700,0.0,0.0
2025-11-07 00:00:00-05:00,1.15,1.15,1.05,1.08,39400,0.0,0.0
2025-11-06 00:00:00-05:00,1.14,1.18,1.14,1.17,33400,0.0,0.0
2025-11-05 00:00:00-05:00,1.1,1.16,1.09,1.13,17200,0.0,0.0
2025-11-04 00:00:00-05:00,1.1,1.13,1.09,1.11,39900,0.0,0.0
2025-11-03 00:00:00-05:00,1.09,1.11,1.08,1.11,43000,0.0,0.0
2025-10-31 00:00:00-04:00,1.12,1.12,1.07,1.09,11000,0.0,0.0
2025-10-30 00:00:00-04:00,1.1,1.13,1.04,1.06,59400,0.0,0.0
2025-10-29 00:00:00-04:00,1.14,1.14,1.05,1.07,27300,0.0,0.0
2025-10-28 00:00:00-04:00,1.17,1.19,1.13,1.15,43700,0.0,0.0
2025-10-27 00:00:00-04:00,1.05,1.26,1.05,1.19,468200,0.0,0.0
2025-10-24 00:00:00-04:00,1.07,1.09,1.03,1.05,36500,0.0,0.0
2025-10-23 00:00:00-04:00,1.02,1.03,1.01,1.03,5900,0.0,0.0
2025-10-22 00:00:00-04:00,1.04,1.08,1.0,1.03,52600,0.0,0.0
2025-10-21 00:00:00-04:00,1.04,1.1,1.04,1.08,25100,0.0,0.0
2025-10-20 00:00:00-04:00,1.03,1.08,1.01,1.07,41300,0.0,0.0
2025-10-17 00:00:00-04:00,1.08,1.08,1.0,1.01,103900,0.0,0.0
2025-10-16 00:00:00-04:00,1.09,1.11,1.08,1.08,58600,0.0,0.0
2025-10-15 00:00:00-04:00,1.13,1.14,1.07,1.07,20400,0.0,0.0
2025-10-14 00:00:00-04:00,1.09,1.17,1.09,1.15,27600,0.0,0.0
2025-10-13 00:00:00-04:00,1.11,1.19,1.1,1.15,162800,0.0,0.0
2025-10-10 00:00:00-04:00,1.18,1.21,1.09,1.09,61800,0.0,0.0
2025-10-09 00:00:00-04:00,1.3,1.3,1.17,1.18,270900,0.0,0.0
2025-10-08 00:00:00-04:00,1.14,1.3,1.11,1.3,450700,0.0,0.0
2025-10-07 00:00:00-04:00,1.11,1.13,1.06,1.07,46300,0.0,0.0
2025-10-06 00:00:00-04:00,1.12,1.15,1.08,1.11,121700,0.0,0.0
2025-10-03 00:00:00-04:00,1.12,1.16,1.11,1.14,36800,0.0,0.0
