Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,0.74,0.79,0.7,0.79,4167,0.0,0.0
2025-11-21 00:00:00-05:00,0.75,0.75,0.75,0.75,1200,0.0,0.0
2025-11-20 00:00:00-05:00,0.78,0.78,0.78,0.78,4794,0.0,0.0
2025-11-19 00:00:00-05:00,0.78,0.78,0.72,0.72,2300,0.0,0.0
2025-11-18 00:00:00-05:00,0.8,0.8,0.8,0.8,630,0.0,0.0
2025-11-17 00:00:00-05:00,0.83,0.83,0.83,0.83,1800,0.0,0.0
2025-11-14 00:00:00-05:00,0.82,0.82,0.82,0.82,2600,0.0,0.0
2025-11-13 00:00:00-05:00,0.84,0.84,0.84,0.84,0,0.0,0.0
2025-11-12 00:00:00-05:00,0.87,0.87,0.83,0.84,63872,0.0,0.0
2025-11-11 00:00:00-05:00,0.9,0.9,0.9,0.9,0,0.0,0.0
2025-11-10 00:00:00-05:00,0.9,0.9,0.9,0.9,0,0.0,0.0
2025-11-07 00:00:00-05:00,0.9,0.9,0.9,0.9,0,0.0,0.0
2025-11-06 00:00:00-05:00,0.9,0.9,0.9,0.9,2996,0.0,0.0
2025-11-05 00:00:00-05:00,0.86,0.86,0.86,0.86,800,0.0,0.0
2025-11-04 00:00:00-05:00,0.9,0.9,0.87,0.87,2815,0.0,0.0
2025-11-03 00:00:00-05:00,0.87,0.87,0.87,0.87,519,0.0,0.0
2025-10-31 00:00:00-04:00,0.9,0.9,0.9,0.9,928,0.0,0.0
2025-10-30 00:00:00-04:00,0.85,0.91,0.85,0.91,5000,0.0,0.0
2025-10-29 00:00:00-04:00,0.88,0.91,0.88,0.9,7610,0.0,0.0
2025-10-28 00:00:00-04:00,0.93,0.93,0.93,0.93,128,0.0,0.0
2025-10-27 00:00:00-04:00,0.87,0.92,0.87,0.92,1657,0.0,0.0
2025-10-24 00:00:00-04:00,0.87,0.94,0.87,0.92,1836,0.0,0.0
2025-10-23 00:00:00-04:00,0.88,0.91,0.81,0.91,34639,0.0,0.0
2025-10-22 00:00:00-04:00,0.9,0.9,0.9,0.9,1060,0.0,0.0
2025-10-21 00:00:00-04:00,0.91,0.91,0.91,0.91,512,0.0,0.0
2025-10-20 00:00:00-04:00,0.91,0.91,0.91,0.91,549,0.0,0.0
2025-10-17 00:00:00-04:00,0.9,0.9,0.9,0.9,2076,0.0,0.0
2025-10-16 00:00:00-04:00,0.93,0.96,0.93,0.95,2394,0.0,0.0
2025-10-15 00:00:00-04:00,0.87,0.9,0.87,0.9,8204,0.0,0.0
2025-10-14 00:00:00-04:00,0.93,0.93,0.93,0.93,0,0.0,0.0
2025-10-13 00:00:00-04:00,0.91,0.93,0.88,0.93,3312,0.0,0.0
2025-10-10 00:00:00-04:00,0.91,0.91,0.91,0.91,200,0.0,0.0
2025-10-09 00:00:00-04:00,0.9,0.9,0.9,0.9,2800,0.0,0.0
2025-10-08 00:00:00-04:00,0.89,0.92,0.89,0.92,850,0.0,0.0
2025-10-07 00:00:00-04:00,0.92,0.92,0.92,0.92,2246,0.0,0.0
2025-10-06 00:00:00-04:00,0.89,0.89,0.89,0.89,1498,0.0,0.0
2025-10-03 00:00:00-04:00,0.93,0.93,0.93,0.93,162,0.0,0.0
2025-10-02 00:00:00-04:00,0.92,0.92,0.92,0.92,1498,0.0,0.0
2025-10-01 00:00:00-04:00,0.92,0.93,0.92,0.93,1758,0.0,0.0
2025-09-30 00:00:00-04:00,0.94,0.94,0.94,0.94,0,0.0,0.0
2025-09-29 00:00:00-04:00,0.94,0.94,0.94,0.94,0,0.0,0.0
2025-09-26 00:00:00-04:00,0.94,0.94,0.94,0.94,0,0.0,0.0
2025-09-25 00:00:00-04:00,0.93,0.94,0.93,0.94,922,0.0,0.0
