Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,0.75,0.79,0.73,0.76,274777,0.0,0.0
2025-11-21 00:00:00-05:00,0.75,0.79,0.74,0.76,421237,0.0,0.0
2025-11-20 00:00:00-05:00,0.79,0.82,0.74,0.76,646200,0.0,0.0
2025-11-19 00:00:00-05:00,0.79,0.79,0.73,0.75,503800,0.0,0.0
2025-11-18 00:00:00-05:00,0.79,0.84,0.76,0.79,492600,0.0,0.0
2025-11-17 00:00:00-05:00,0.85,0.85,0.76,0.78,1084000,0.0,0.0
2025-11-14 00:00:00-05:00,0.86,0.89,0.84,0.84,475100,0.0,0.0
2025-11-13 00:00:00-05:00,0.95,0.95,0.84,0.85,2156700,0.0,0.0
2025-11-12 00:00:00-05:00,1.06,1.1,0.95,0.96,1460700,0.0,0.0
2025-11-11 00:00:00-05:00,1.0,1.19,0.91,1.06,3671200,0.0,0.0
2025-11-10 00:00:00-05:00,0.96,1.11,0.93,0.98,2864200,0.0,0.0
2025-11-07 00:00:00-05:00,0.92,0.93,0.85,0.91,1008000,0.0,0.0
2025-11-06 00:00:00-05:00,0.92,0.95,0.87,0.89,741900,0.0,0.0
2025-11-05 00:00:00-05:00,0.88,0.93,0.88,0.9,326800,0.0,0.0
2025-11-04 00:00:00-05:00,0.93,0.94,0.87,0.89,482600,0.0,0.0
2025-11-03 00:00:00-05:00,0.93,0.96,0.91,0.93,626200,0.0,0.0
2025-10-31 00:00:00-04:00,0.95,0.95,0.9,0.94,678200,0.0,0.0
2025-10-30 00:00:00-04:00,1.05,1.05,0.93,0.95,1396300,0.0,0.0
2025-10-29 00:00:00-04:00,0.91,1.16,0.91,1.01,6467200,0.0,0.0
2025-10-28 00:00:00-04:00,0.94,0.94,0.92,0.93,250800,0.0,0.0
2025-10-27 00:00:00-04:00,0.92,0.95,0.92,0.93,408800,0.0,0.0
2025-10-24 00:00:00-04:00,0.93,0.94,0.91,0.92,296900,0.0,0.0
2025-10-23 00:00:00-04:00,0.96,0.96,0.89,0.92,645500,0.0,0.0
2025-10-22 00:00:00-04:00,0.97,0.98,0.92,0.94,435300,0.0,0.0
2025-10-21 00:00:00-04:00,0.98,1.0,0.94,0.97,375400,0.0,0.0
2025-10-20 00:00:00-04:00,0.94,1.03,0.94,0.98,552800,0.0,0.0
2025-10-17 00:00:00-04:00,0.96,0.97,0.91,0.93,344200,0.0,0.0
2025-10-16 00:00:00-04:00,0.98,1.02,0.92,0.95,1051200,0.0,0.0
2025-10-15 00:00:00-04:00,0.93,1.0,0.92,0.98,329800,0.0,0.0
2025-10-14 00:00:00-04:00,0.93,0.95,0.9,0.93,389100,0.0,0.0
2025-10-13 00:00:00-04:00,0.95,0.98,0.93,0.96,403800,0.0,0.0
2025-10-10 00:00:00-04:00,1.0,1.0,0.94,0.95,395100,0.0,0.0
2025-10-09 00:00:00-04:00,1.0,1.03,0.98,0.99,451800,0.0,0.0
2025-10-08 00:00:00-04:00,0.96,1.04,0.95,1.0,802600,0.0,0.0
2025-10-07 00:00:00-04:00,0.97,1.0,0.94,0.96,526900,0.0,0.0
2025-10-06 00:00:00-04:00,1.04,1.04,0.96,0.96,910700,0.0,0.0
2025-10-03 00:00:00-04:00,1.04,1.05,1.01,1.02,633200,0.0,0.0
2025-10-02 00:00:00-04:00,1.02,1.03,1.01,1.02,352800,0.0,0.0
2025-10-01 00:00:00-04:00,1.01,1.02,1.01,1.02,191500,0.0,0.0
2025-09-30 00:00:00-04:00,1.04,1.04,1.0,1.01,280000,0.0,0.0
2025-09-29 00:00:00-04:00,1.03,1.05,1.01,1.01,421300,0.0,0.0
2025-09-26 00:00:00-04:00,1.02,1.05,1.0,1.02,445500,0.0,0.0
2025-09-25 00:00:00-04:00,1.06,1.06,1.02,1.03,380500,0.0,0.0
2025-09-24 00:00:00-04:00,1.04,1.08,1.04,1.06,394700,0.0,0.0
2025-09-23 00:00:00-04:00,1.09,1.11,1.04,1.05,386000,0.0,0.0
2025-09-22 00:00:00-04:00,1.08,1.11,1.03,1.08,372500,0.0,0.0
2025-09-19 00:00:00-04:00,1.14,1.15,1.05,1.05,940000,0.0,0.0
2025-09-18 00:00:00-04:00,1.17,1.22,1.13,1.15,1873100,0.0,0.0
2025-09-17 00:00:00-04:00,1.2,1.21,1.15,1.15,331500,0.0,0.0
2025-09-16 00:00:00-04:00,1.14,1.21,1.14,1.2,358300,0.0,0.0
2025-09-15 00:00:00-04:00,1.16,1.18,1.12,1.16,473600,0.0,0.0
2025-09-12 00:00:00-04:00,1.17,1.2,1.15,1.16,384900,0.0,0.0
2025-09-11 00:00:00-04:00,1.22,1.26,1.17,1.18,420500,0.0,0.0
2025-09-10 00:00:00-04:00,1.17,1.26,1.16,1.23,331300,0.0,0.0
2025-09-09 00:00:00-04:00,1.15,1.19,1.13,1.18,298800,0.0,0.0
2025-09-08 00:00:00-04:00,1.2,1.21,1.15,1.17,329700,0.0,0.0
2025-09-05 00:00:00-04:00,1.22,1.24,1.16,1.2,304100,0.0,0.0
2025-09-04 00:00:00-04:00,1.28,1.3,1.16,1.22,584600,0.0,0.0
2025-09-03 00:00:00-04:00,1.25,1.31,1.24,1.3,566200,0.0,0.0
2025-09-02 00:00:00-04:00,1.25,1.28,1.22,1.25,352600,0.0,0.0
2025-08-29 00:00:00-04:00,1.24,1.26,1.18,1.24,401400,0.0,0.0
2025-08-28 00:00:00-04:00,1.29,1.3,1.18,1.24,531900,0.0,0.0
2025-08-27 00:00:00-04:00,1.3,1.33,1.25,1.28,455200,0.0,0.0
2025-08-26 00:00:00-04:00,1.32,1.35,1.28,1.29,751400,0.0,0.0
2025-08-25 00:00:00-04:00,1.25,1.47,1.24,1.3,3777100,0.0,0.0
2025-08-22 00:00:00-04:00,1.18,1.23,1.15,1.19,241400,0.0,0.0
2025-08-21 00:00:00-04:00,1.16,1.18,1.15,1.15,135500,0.0,0.0
2025-08-20 00:00:00-04:00,1.17,1.22,1.15,1.17,367200,0.0,0.0
2025-08-19 00:00:00-04:00,1.23,1.24,1.16,1.17,173200,0.0,0.0
2025-08-18 00:00:00-04:00,1.22,1.25,1.19,1.24,374200,0.0,0.0
2025-08-15 00:00:00-04:00,1.22,1.25,1.18,1.19,340700,0.0,0.0
2025-08-14 00:00:00-04:00,1.16,1.21,1.13,1.2,305300,0.0,0.0
2025-08-13 00:00:00-04:00,1.26,1.32,1.16,1.16,800700,0.0,0.0
2025-08-12 00:00:00-04:00,1.1,1.23,1.08,1.23,631300,0.0,0.0
2025-08-11 00:00:00-04:00,1.11,1.11,1.06,1.08,323700,0.0,0.0
2025-08-08 00:00:00-04:00,1.12,1.17,1.08,1.11,248200,0.0,0.0
2025-08-07 00:00:00-04:00,1.1,1.12,1.06,1.12,363200,0.0,0.0
2025-08-06 00:00:00-04:00,1.13,1.13,1.08,1.11,257400,0.0,0.0
2025-08-05 00:00:00-04:00,1.15,1.15,1.11,1.13,202100,0.0,0.0
2025-08-04 00:00:00-04:00,1.1,1.12,1.08,1.12,212900,0.0,0.0
2025-08-01 00:00:00-04:00,1.08,1.09,1.02,1.09,221900,0.0,0.0
2025-07-31 00:00:00-04:00,1.1,1.12,1.06,1.07,229700,0.0,0.0
2025-07-30 00:00:00-04:00,1.18,1.18,1.08,1.1,386500,0.0,0.0
2025-07-29 00:00:00-04:00,1.21,1.21,1.1,1.14,421700,0.0,0.0
2025-07-28 00:00:00-04:00,1.2,1.21,1.15,1.18,292800,0.0,0.0
2025-07-25 00:00:00-04:00,1.22,1.23,1.15,1.18,243700,0.0,0.0
2025-07-24 00:00:00-04:00,1.25,1.27,1.2,1.21,168500,0.0,0.0
2025-07-23 00:00:00-04:00,1.16,1.25,1.14,1.25,710400,0.0,0.0
2025-07-22 00:00:00-04:00,1.14,1.18,1.12,1.15,339300,0.0,0.0
2025-07-21 00:00:00-04:00,1.16,1.2,1.13,1.15,231500,0.0,0.0
2025-07-18 00:00:00-04:00,1.21,1.22,1.14,1.15,290500,0.0,0.0
2025-07-17 00:00:00-04:00,1.22,1.28,1.02,1.2,2328800,0.0,0.0
2025-07-16 00:00:00-04:00,1.15,1.23,1.14,1.21,265300,0.0,0.0
2025-07-15 00:00:00-04:00,1.22,1.23,1.15,1.17,391700,0.0,0.0
2025-07-14 00:00:00-04:00,1.25,1.27,1.2,1.23,392800,0.0,0.0
2025-07-11 00:00:00-04:00,1.28,1.3,1.23,1.24,449500,0.0,0.0
2025-07-10 00:00:00-04:00,1.37,1.4,1.27,1.3,882200,0.0,0.0
2025-07-09 00:00:00-04:00,1.27,1.38,1.27,1.32,400300,0.0,0.0
2025-07-08 00:00:00-04:00,1.23,1.31,1.23,1.27,400700,0.0,0.0
2025-07-07 00:00:00-04:00,1.32,1.33,1.2,1.22,411800,0.0,0.0
2025-07-03 00:00:00-04:00,1.29,1.34,1.26,1.33,141500,0.0,0.0
2025-07-02 00:00:00-04:00,1.23,1.32,1.18,1.27,644700,0.0,0.0
2025-07-01 00:00:00-04:00,1.31,1.34,1.21,1.22,648500,0.0,0.0
2025-06-30 00:00:00-04:00,1.41,1.43,1.32,1.33,544300,0.0,0.0
2025-06-27 00:00:00-04:00,1.46,1.47,1.39,1.41,313900,0.0,0.0
2025-06-26 00:00:00-04:00,1.51,1.52,1.43,1.45,387800,0.0,0.0
2025-06-25 00:00:00-04:00,1.62,1.62,1.5,1.51,420900,0.0,0.0
2025-06-24 00:00:00-04:00,1.56,1.66,1.55,1.6,454800,0.0,0.0
2025-06-23 00:00:00-04:00,1.59,1.62,1.54,1.54,340100,0.0,0.0
2025-06-20 00:00:00-04:00,1.62,1.66,1.56,1.62,898600,0.0,0.0
2025-06-18 00:00:00-04:00,1.62,1.64,1.53,1.61,398800,0.0,0.0
