Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,1.7,1.77,1.6,1.76,95181,0.0,0.0
2025-11-20 00:00:00-05:00,1.8,1.92,1.66,1.71,502389,0.0,0.0
2025-11-19 00:00:00-05:00,1.96,1.96,1.66,1.68,409854,0.0,0.0
2025-11-18 00:00:00-05:00,1.72,1.9,1.6,1.86,644343,0.0,0.0
2025-11-17 00:00:00-05:00,2.04,2.04,1.72,1.75,900377,0.0,0.0
2025-11-14 00:00:00-05:00,1.84,2.13,1.66,2.05,883546,0.0,0.0
2025-11-13 00:00:00-05:00,2.35,2.35,2.03,2.07,988725,0.0,0.0
2025-11-12 00:00:00-05:00,2.54,2.55,2.37,2.37,624711,0.0,0.0
2025-11-11 00:00:00-05:00,2.55,2.63,2.43,2.54,279494,0.0,0.0
2025-11-10 00:00:00-05:00,2.72,2.78,2.46,2.49,545098,0.0,0.0
2025-11-07 00:00:00-05:00,2.37,2.52,2.19,2.5,733918,0.0,0.0
2025-11-06 00:00:00-05:00,2.78,2.78,2.38,2.46,867469,0.0,0.0
2025-11-05 00:00:00-05:00,2.47,2.7,2.34,2.67,1380707,0.0,0.0
2025-11-04 00:00:00-05:00,2.2,2.44,2.0,2.3,2503923,0.0,0.0
2025-11-03 00:00:00-05:00,3.18,3.31,2.44,2.53,3214061,0.0,0.0
2025-10-31 00:00:00-04:00,3.5,3.62,3.19,3.38,2526700,0.0,0.0
2025-10-30 00:00:00-04:00,3.68,3.68,3.08,3.38,3586852,0.0,0.0
2025-10-29 00:00:00-04:00,2.93,3.55,2.86,3.53,3621894,0.0,0.0
2025-10-28 00:00:00-04:00,2.57,2.88,2.48,2.87,1245454,0.0,0.0
2025-10-27 00:00:00-04:00,2.63,2.7,2.53,2.56,1273417,0.0,0.0
2025-10-24 00:00:00-04:00,2.52,2.55,2.36,2.51,1893915,0.0,0.0
2025-10-23 00:00:00-04:00,2.2,2.48,2.2,2.44,2237162,0.0,0.0
2025-10-22 00:00:00-04:00,2.2,2.26,1.95,2.08,2279747,0.0,0.0
2025-10-21 00:00:00-04:00,2.46,2.46,2.13,2.32,2478118,0.0,0.0
2025-10-20 00:00:00-04:00,1.96,2.25,1.9,2.24,2501989,0.0,0.0
2025-10-17 00:00:00-04:00,1.58,1.88,1.48,1.86,1236742,0.0,0.0
2025-10-16 00:00:00-04:00,1.8,1.83,1.56,1.59,1171138,0.0,0.0
2025-10-15 00:00:00-04:00,1.72,1.87,1.65,1.73,2357276,0.0,0.0
2025-10-14 00:00:00-04:00,1.47,1.75,1.47,1.71,2301499,0.0,0.0
2025-10-13 00:00:00-04:00,1.42,1.5,1.42,1.49,882540,0.0,0.0
2025-10-10 00:00:00-04:00,1.51,1.51,1.32,1.4,1370836,0.0,0.0
2025-10-09 00:00:00-04:00,1.61,1.62,1.36,1.45,2401328,0.0,0.0
2025-10-08 00:00:00-04:00,1.62,1.72,1.52,1.57,2732223,0.0,0.0
2025-10-07 00:00:00-04:00,1.28,1.51,1.22,1.5,3921553,0.0,0.0
2025-10-06 00:00:00-04:00,1.15,1.2,1.15,1.2,1626690,0.0,0.0
2025-10-03 00:00:00-04:00,1.1,1.17,1.06,1.12,1390247,0.0,0.0
2025-10-02 00:00:00-04:00,1.09,1.09,1.01,1.05,733775,0.0,0.0
2025-10-01 00:00:00-04:00,1.12,1.12,1.07,1.09,447180,0.0,0.0
2025-09-30 00:00:00-04:00,1.12,1.12,1.09,1.11,447281,0.0,0.0
2025-09-29 00:00:00-04:00,1.12,1.16,1.09,1.1,391292,0.0,0.0
2025-09-26 00:00:00-04:00,1.03,1.09,1.03,1.06,276310,0.0,0.0
2025-09-25 00:00:00-04:00,1.15,1.15,1.03,1.05,473109,0.0,0.0
2025-09-24 00:00:00-04:00,1.07,1.17,1.06,1.12,728813,0.0,0.0
2025-09-23 00:00:00-04:00,1.12,1.15,1.03,1.07,572382,0.0,0.0
2025-09-22 00:00:00-04:00,1.09,1.15,1.04,1.1,757197,0.0,0.0
2025-09-19 00:00:00-04:00,1.06,1.11,1.0,1.05,727526,0.0,0.0
2025-09-18 00:00:00-04:00,0.97,1.08,0.94,1.06,686591,0.0,0.0
2025-09-17 00:00:00-04:00,0.92,0.98,0.9,0.93,319123,0.0,0.0
2025-09-16 00:00:00-04:00,0.91,0.93,0.89,0.92,130532,0.0,0.0
2025-09-15 00:00:00-04:00,0.91,0.98,0.9,0.91,226538,0.0,0.0
2025-09-12 00:00:00-04:00,0.92,0.94,0.85,0.91,416832,0.0,0.0
