Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,5.95,6.08,5.79,5.95,66951,0.0,0.0
2025-11-24 00:00:00-05:00,5.8,6.07,5.8,6.01,80400,0.0,0.0
2025-11-21 00:00:00-05:00,5.49,5.6,5.41,5.45,49993,0.0,0.0
2025-11-20 00:00:00-05:00,5.95,6.32,5.28,5.49,183200,0.0,0.0
2025-11-19 00:00:00-05:00,5.87,6.12,5.84,5.88,98700,0.0,0.0
2025-11-18 00:00:00-05:00,5.86,5.96,5.69,5.87,165100,0.0,0.0
2025-11-17 00:00:00-05:00,6.02,6.3,5.86,5.95,115200,0.0,0.0
2025-11-14 00:00:00-05:00,5.75,6.21,5.68,6.14,151700,0.0,0.0
2025-11-13 00:00:00-05:00,6.21,6.22,5.7,5.91,236800,0.0,0.0
2025-11-12 00:00:00-05:00,6.76,7.17,6.02,6.22,428600,0.0,0.0
2025-11-11 00:00:00-05:00,7.17,7.3,6.88,7.17,126100,0.0,0.0
2025-11-10 00:00:00-05:00,7.26,7.41,7.03,7.23,113300,0.0,0.0
2025-11-07 00:00:00-05:00,7.0,7.15,6.7,7.15,131800,0.0,0.0
2025-11-06 00:00:00-05:00,7.28,7.35,7.09,7.15,190700,0.0,0.0
2025-11-05 00:00:00-05:00,7.6,7.6,7.13,7.33,144300,0.0,0.0
2025-11-04 00:00:00-05:00,7.13,7.61,6.96,7.6,472700,0.0,0.0
2025-11-03 00:00:00-05:00,7.85,7.88,7.48,7.58,205900,0.0,0.0
2025-10-31 00:00:00-04:00,7.19,7.92,7.16,7.9,308900,0.0,0.0
2025-10-30 00:00:00-04:00,7.2,7.39,7.05,7.1,123100,0.0,0.0
2025-10-29 00:00:00-04:00,6.85,7.62,6.84,7.4,317900,0.0,0.0
2025-10-28 00:00:00-04:00,6.62,6.92,6.61,6.8,97800,0.0,0.0
2025-10-27 00:00:00-04:00,7.03,7.15,6.7,6.72,178200,0.0,0.0
2025-10-24 00:00:00-04:00,6.63,7.27,6.57,7.02,261800,0.0,0.0
2025-10-23 00:00:00-04:00,6.1,6.65,6.1,6.52,137500,0.0,0.0
2025-10-22 00:00:00-04:00,6.53,6.6,5.9,6.13,354300,0.0,0.0
2025-10-21 00:00:00-04:00,7.27,7.33,6.53,6.67,301500,0.0,0.0
2025-10-20 00:00:00-04:00,6.76,7.58,6.75,7.26,645600,0.0,0.0
2025-10-17 00:00:00-04:00,6.95,7.27,6.61,6.7,459700,0.0,0.0
2025-10-16 00:00:00-04:00,7.33,7.47,7.07,7.2,277700,0.0,0.0
2025-10-15 00:00:00-04:00,7.09,7.6,6.94,7.11,414000,0.0,0.0
2025-10-14 00:00:00-04:00,6.63,7.15,6.4,6.83,262900,0.0,0.0
2025-10-13 00:00:00-04:00,6.23,6.69,6.23,6.65,138500,0.0,0.0
2025-10-10 00:00:00-04:00,6.45,6.74,6.08,6.12,224300,0.0,0.0
2025-10-09 00:00:00-04:00,6.5,6.5,6.22,6.43,110900,0.0,0.0
2025-10-08 00:00:00-04:00,6.66,6.7,6.43,6.54,190100,0.0,0.0
2025-10-07 00:00:00-04:00,6.1,6.82,6.07,6.68,564500,0.0,0.0
2025-10-06 00:00:00-04:00,6.24,6.26,6.05,6.06,189200,0.0,0.0
2025-10-03 00:00:00-04:00,6.05,6.36,6.01,6.1,267500,0.0,0.0
2025-10-02 00:00:00-04:00,6.25,6.37,5.96,6.03,341100,0.0,0.0
2025-10-01 00:00:00-04:00,6.0,6.19,5.9,6.17,294300,0.0,0.0
2025-09-30 00:00:00-04:00,5.86,6.23,5.86,6.06,104500,0.0,0.0
2025-09-29 00:00:00-04:00,6.05,6.08,5.88,5.91,80000,0.0,0.0
2025-09-26 00:00:00-04:00,6.05,6.16,6.02,6.12,92000,0.0,0.0
