Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-02,0.19,0.19,0.18,0.19,815453,0.0,0.0
2025-12-31,0.18,0.2,0.17,0.19,725007,0.0,0.0
2025-12-30,0.2,0.21,0.16,0.18,1497594,0.0,0.0
2025-12-29,0.22,0.24,0.18,0.2,1709521,0.0,0.0
2025-12-26,0.25,0.25,0.22,0.23,1145331,0.0,0.0
2025-12-24,0.23,0.25,0.22,0.25,1589687,0.0,0.0
2025-12-23,0.25,0.25,0.2,0.23,2697466,0.0,0.0
2025-12-22,0.27,0.29,0.26,0.27,7311193,0.0,0.0
2025-12-19,0.29,0.29,0.22,0.25,76933200,0.0,0.0
2025-12-18,0.18,0.34,0.18,0.25,38937400,0.0,0.0
2025-12-17,0.21,0.22,0.17,0.18,2297900,0.0,0.0
2025-12-16,0.22,0.22,0.2,0.21,1261800,0.0,0.0
2025-12-15,0.23,0.24,0.22,0.23,790400,0.0,0.0
2025-12-12,0.27,0.3,0.2,0.23,2627600,0.0,0.0
2025-12-11,0.26,0.27,0.23,0.26,3590500,0.0,0.0
2025-12-10,0.28,0.29,0.24,0.27,5252200,0.0,0.0
