Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-20 00:00:00-05:00,2.58,2.58,2.25,2.29,2400,0.0,0.0
2025-11-19 00:00:00-05:00,2.28,2.6,2.25,2.4,9600,0.0,0.0
2025-11-18 00:00:00-05:00,1.83,2.48,1.83,2.25,35300,0.0,0.0
2025-11-17 00:00:00-05:00,2.65,2.65,2.27,2.42,18100,0.0,0.0
2025-11-14 00:00:00-05:00,2.3,2.3,2.3,2.3,3000,0.0,0.0
2025-11-13 00:00:00-05:00,2.3,2.6,2.3,2.35,30400,0.0,0.0
2025-11-12 00:00:00-05:00,2.01,2.4,2.01,2.4,7600,0.0,0.0
2025-11-11 00:00:00-05:00,2.34,2.6,2.34,2.51,11200,0.0,0.0
2025-11-10 00:00:00-05:00,2.3,2.6,2.25,2.34,59900,0.0,0.0
2025-11-07 00:00:00-05:00,2.06,2.34,2.06,2.3,6100,0.0,0.0
2025-11-06 00:00:00-05:00,2.21,2.21,2.08,2.09,7600,0.0,0.0
2025-11-05 00:00:00-05:00,2.1,2.2,2.06,2.2,21300,0.0,0.0
2025-11-04 00:00:00-05:00,2.11,2.15,2.1,2.15,9000,0.0,0.0
2025-11-03 00:00:00-05:00,2.27,2.31,2.11,2.27,4400,0.0,0.0
2025-10-31 00:00:00-04:00,2.25,2.34,2.15,2.28,10000,0.0,0.0
2025-10-30 00:00:00-04:00,2.25,2.36,2.25,2.28,10800,0.0,0.0
2025-10-29 00:00:00-04:00,2.11,2.27,2.1,2.23,16800,0.0,0.0
2025-10-28 00:00:00-04:00,2.12,2.13,2.01,2.11,24600,0.0,0.0
2025-10-27 00:00:00-04:00,2.29,2.29,2.07,2.12,88400,0.0,0.0
2025-10-24 00:00:00-04:00,2.35,2.35,2.2,2.34,44000,0.0,0.0
2025-10-23 00:00:00-04:00,1.93,2.58,1.93,2.38,22600,0.0,0.0
2025-10-22 00:00:00-04:00,2.41,2.45,2.17,2.22,58900,0.0,0.0
2025-10-21 00:00:00-04:00,2.45,2.6,2.4,2.52,36800,0.0,0.0
2025-10-20 00:00:00-04:00,2.32,2.55,2.32,2.51,67700,0.0,0.0
2025-10-17 00:00:00-04:00,2.85,2.85,2.45,2.64,64300,0.0,0.0
2025-10-16 00:00:00-04:00,2.92,2.92,2.64,2.67,44400,0.0,0.0
