Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,2.52,2.73,2.35,2.61,67463,0.0,0.0
2025-11-20 00:00:00-05:00,2.58,2.84,2.32,2.49,78100,0.0,0.0
2025-11-19 00:00:00-05:00,2.73,2.84,2.44,2.49,69100,0.0,0.0
2025-11-18 00:00:00-05:00,2.72,2.85,2.5,2.75,85400,0.0,0.0
2025-11-17 00:00:00-05:00,3.62,3.96,2.78,2.88,307100,0.0,0.0
2025-11-14 00:00:00-05:00,3.14,3.7,3.06,3.6,147500,0.0,0.0
2025-11-13 00:00:00-05:00,3.43,3.82,3.1,3.2,118000,0.0,0.0
2025-11-12 00:00:00-05:00,3.34,3.6,3.24,3.43,35400,0.0,0.0
2025-11-11 00:00:00-05:00,3.39,3.79,3.36,3.36,9900,0.0,0.0
2025-11-10 00:00:00-05:00,3.63,3.79,3.34,3.45,119200,0.0,0.0
2025-11-07 00:00:00-05:00,3.37,3.61,3.07,3.46,66700,0.0,0.0
2025-11-06 00:00:00-05:00,3.59,3.68,3.23,3.41,79400,0.0,0.0
2025-11-05 00:00:00-05:00,3.66,3.7,3.53,3.61,23200,0.0,0.0
2025-11-04 00:00:00-05:00,4.13,4.15,3.51,3.59,118900,0.0,0.0
2025-11-03 00:00:00-05:00,4.37,4.38,4.18,4.22,23000,0.0,0.0
2025-10-31 00:00:00-04:00,4.51,4.58,4.26,4.42,104200,0.0,0.0
2025-10-30 00:00:00-04:00,4.51,4.67,4.42,4.5,30500,0.0,0.0
2025-10-29 00:00:00-04:00,4.68,4.79,4.45,4.58,38700,0.0,0.0
2025-10-28 00:00:00-04:00,4.66,4.78,4.48,4.6,46400,0.0,0.0
2025-10-27 00:00:00-04:00,4.66,4.82,4.55,4.63,39200,0.0,0.0
2025-10-24 00:00:00-04:00,4.75,4.99,4.41,4.66,104600,0.0,0.0
2025-10-23 00:00:00-04:00,4.44,4.84,4.43,4.72,39100,0.0,0.0
2025-10-22 00:00:00-04:00,4.69,4.69,4.4,4.46,67900,0.0,0.0
2025-10-21 00:00:00-04:00,4.8,5.08,4.68,4.77,114900,0.0,0.0
2025-10-20 00:00:00-04:00,5.26,5.38,4.62,4.8,356800,0.0,0.0
2025-10-17 00:00:00-04:00,5.14,5.49,5.13,5.14,97300,0.0,0.0
2025-10-16 00:00:00-04:00,5.54,6.15,5.21,5.24,267400,0.0,0.0
2025-10-15 00:00:00-04:00,5.61,5.79,4.9,5.62,419500,0.0,0.0
2025-10-14 00:00:00-04:00,6.59,7.85,5.38,6.03,8921700,0.0,0.0
2025-10-13 00:00:00-04:00,5.28,5.57,5.23,5.5,54500,0.0,0.0
