Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,20.36,20.86,20.25,20.54,64490,0.0,0.0
2025-11-20 00:00:00-05:00,21.52,21.83,20.3,20.33,83000,0.0,0.0
2025-11-19 00:00:00-05:00,21.37,21.66,20.88,21.18,49100,0.0,0.0
2025-11-18 00:00:00-05:00,21.76,21.76,21.3,21.36,43900,0.0,0.0
2025-11-17 00:00:00-05:00,21.93,22.16,21.56,21.75,54400,0.0,0.0
2025-11-14 00:00:00-05:00,21.64,22.04,21.05,21.75,102200,0.0,0.0
2025-11-13 00:00:00-05:00,23.12,23.12,21.63,21.63,133600,0.0,0.0
2025-11-12 00:00:00-05:00,23.4,23.47,22.9,23.05,93300,0.0,0.0
2025-11-11 00:00:00-05:00,24.08,24.87,22.6,23.28,100900,0.0,0.0
2025-11-10 00:00:00-05:00,23.23,24.23,23.23,24.03,60900,0.0,0.0
2025-11-07 00:00:00-05:00,23.38,23.58,22.87,23.28,108200,0.0,0.0
2025-11-06 00:00:00-05:00,24.24,24.43,23.5,23.77,95600,0.0,0.0
2025-11-05 00:00:00-05:00,23.68,24.26,23.68,24.2,38000,0.0,0.0
2025-11-04 00:00:00-05:00,23.88,24.12,23.55,23.78,76000,0.0,0.0
2025-11-03 00:00:00-05:00,23.84,24.13,23.24,24.0,82400,0.0,0.0
2025-10-31 00:00:00-04:00,24.07,24.41,23.72,24.07,40500,0.0,0.0
2025-10-30 00:00:00-04:00,23.83,24.15,23.37,24.14,51600,0.0,0.0
2025-10-29 00:00:00-04:00,24.49,24.63,23.83,24.0,46800,0.0,0.0
2025-10-28 00:00:00-04:00,24.91,25.06,24.38,24.43,38400,0.0,0.0
2025-10-27 00:00:00-04:00,24.71,25.35,24.69,24.91,75000,0.0,0.0
2025-10-24 00:00:00-04:00,24.92,25.11,24.6,24.64,49800,0.0,0.0
2025-10-23 00:00:00-04:00,24.47,24.75,24.24,24.61,56800,0.0,0.0
2025-10-22 00:00:00-04:00,24.0,24.28,23.97,24.25,82400,0.0,0.0
2025-10-21 00:00:00-04:00,24.41,24.81,24.2,24.21,38700,0.0,0.0
2025-10-20 00:00:00-04:00,24.31,24.66,24.31,24.54,41700,0.0,0.0
2025-10-17 00:00:00-04:00,23.96,24.14,23.56,24.09,41000,0.0,0.0
2025-10-16 00:00:00-04:00,24.23,24.4,23.89,24.18,55200,0.0,0.0
2025-10-15 00:00:00-04:00,24.1,24.58,23.5,24.44,30900,0.0,0.0
2025-10-14 00:00:00-04:00,23.77,24.85,23.36,24.19,99500,0.0,0.0
2025-10-13 00:00:00-04:00,24.23,24.41,23.88,24.09,66200,0.0,0.0
2025-10-10 00:00:00-04:00,23.89,24.37,23.64,24.05,176300,0.0,0.0
2025-10-09 00:00:00-04:00,24.63,24.63,24.06,24.32,42600,0.0,0.0
2025-10-08 00:00:00-04:00,24.49,25.06,24.23,24.46,44300,0.0,0.0
2025-10-07 00:00:00-04:00,24.33,24.53,23.9,24.3,50700,0.0,0.0
2025-10-06 00:00:00-04:00,24.12,24.66,23.53,24.54,60300,0.0,0.0
2025-10-03 00:00:00-04:00,23.85,24.03,23.44,23.76,57700,0.0,0.0
2025-10-02 00:00:00-04:00,23.04,23.79,22.99,23.79,58100,0.0,0.0
2025-10-01 00:00:00-04:00,22.8,23.3,22.8,23.26,73100,0.0,0.0
2025-09-30 00:00:00-04:00,23.75,23.75,22.72,22.92,115600,0.0,0.0
2025-09-29 00:00:00-04:00,23.54,24.0,23.45,23.76,52200,0.0,0.0
2025-09-26 00:00:00-04:00,23.68,23.89,23.32,23.59,47700,0.0,0.0
2025-09-25 00:00:00-04:00,23.36,23.71,23.21,23.48,47300,0.0,0.0
2025-09-24 00:00:00-04:00,23.93,24.05,23.46,23.52,107700,0.0,0.0
2025-09-23 00:00:00-04:00,23.5,24.18,23.43,24.07,77700,0.0,0.0
2025-09-22 00:00:00-04:00,24.01,24.08,23.38,23.45,55900,0.0,0.0
2025-09-19 00:00:00-04:00,24.75,24.75,24.02,24.14,182500,0.0,0.0
2025-09-18 00:00:00-04:00,24.57,24.92,24.27,24.68,50000,0.0,0.0
2025-09-17 00:00:00-04:00,25.0,25.33,24.41,24.46,75900,0.0,0.0
2025-09-16 00:00:00-04:00,25.05,25.63,24.76,24.96,88600,0.0,0.0
2025-09-15 00:00:00-04:00,26.0,26.33,25.04,25.07,79000,0.0,0.0
2025-09-12 00:00:00-04:00,25.38,26.32,24.73,26.0,168100,0.0,0.0
2025-09-11 00:00:00-04:00,24.65,25.5,24.61,25.42,110200,0.0,0.0
2025-09-10 00:00:00-04:00,23.7,24.5,23.0,24.47,122800,0.0,0.0
2025-09-09 00:00:00-04:00,24.23,24.44,23.78,24.04,41300,0.0,0.0
2025-09-08 00:00:00-04:00,24.3,24.67,24.08,24.11,59800,0.0,0.0
2025-09-05 00:00:00-04:00,23.79,24.51,23.79,24.32,50600,0.0,0.0
2025-09-04 00:00:00-04:00,24.55,24.76,23.83,23.84,61000,0.0,0.0
2025-09-03 00:00:00-04:00,24.03,24.5,23.9,24.49,71300,0.0,0.0
2025-09-02 00:00:00-04:00,24.61,24.78,24.1,24.1,118100,0.0,0.0
2025-08-29 00:00:00-04:00,25.06,25.25,24.9,24.96,56300,0.0,0.0
2025-08-28 00:00:00-04:00,24.48,24.89,24.25,24.89,46700,0.0,0.0
2025-08-27 00:00:00-04:00,26.07,26.19,24.57,24.63,51800,0.0,0.0
2025-08-26 00:00:00-04:00,25.31,26.13,25.06,26.07,90100,0.0,0.0
2025-08-25 00:00:00-04:00,26.87,26.87,25.4,25.41,44200,0.0,0.0
2025-08-22 00:00:00-04:00,26.21,27.14,26.21,26.86,147800,0.0,0.0
2025-08-21 00:00:00-04:00,25.86,26.51,25.79,26.21,59700,0.0,0.0
2025-08-20 00:00:00-04:00,26.5,27.01,25.51,26.08,129000,0.0,0.0
2025-08-19 00:00:00-04:00,27.91,28.34,25.72,26.45,243000,0.0,0.0
2025-08-18 00:00:00-04:00,26.57,26.67,25.01,26.15,202100,0.0,0.0
2025-08-15 00:00:00-04:00,26.07,26.56,25.73,26.4,126000,0.0,0.0
2025-08-14 00:00:00-04:00,24.61,25.93,24.29,25.89,109300,0.0,0.0
2025-08-13 00:00:00-04:00,23.66,25.75,23.66,25.02,445000,0.0,0.0
2025-08-12 00:00:00-04:00,23.85,24.2,22.43,23.5,205500,0.0,0.0
2025-08-11 00:00:00-04:00,23.56,24.3,23.32,24.0,188500,0.0,0.0
2025-08-08 00:00:00-04:00,23.14,23.77,22.45,23.52,102900,0.0,0.0
2025-08-07 00:00:00-04:00,23.19,23.83,23.08,23.09,64000,0.0,0.0
2025-08-06 00:00:00-04:00,22.76,23.11,22.48,22.82,77900,0.0,0.0
2025-08-05 00:00:00-04:00,22.49,23.0,22.0,22.87,174400,0.0,0.0
2025-08-04 00:00:00-04:00,22.82,22.97,22.35,22.45,68200,0.0,0.0
2025-08-01 00:00:00-04:00,22.77,23.17,22.28,22.48,118400,0.0,0.0
