Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-18 00:00:00-05:00,0.18,0.34,0.18,0.25,32962267,0.0,0.0
2025-12-17 00:00:00-05:00,0.21,0.21,0.17,0.18,2297934,0.0,0.0
2025-12-16 00:00:00-05:00,0.22,0.22,0.2,0.21,1261832,0.0,0.0
2025-12-15 00:00:00-05:00,0.23,0.24,0.22,0.23,790439,0.0,0.0
2025-12-12 00:00:00-05:00,0.27,0.3,0.2,0.23,2627563,0.0,0.0
2025-12-11 00:00:00-05:00,0.26,0.27,0.23,0.26,3590498,0.0,0.0
2025-12-10 00:00:00-05:00,0.28,0.29,0.24,0.27,5252223,0.0,0.0
2025-12-09 00:00:00-05:00,0.43,0.45,0.27,0.3,16953819,0.0,0.0
2025-12-08 00:00:00-05:00,0.75,0.75,0.64,0.71,1599810,0.0,0.0
2025-12-05 00:00:00-05:00,1.12,1.13,0.75,0.83,2733960,0.0,0.0
2025-12-04 00:00:00-05:00,1.08,1.15,1.0,1.05,572876,0.0,0.0
2025-12-03 00:00:00-05:00,1.14,1.22,1.1,1.16,725333,0.0,0.0
2025-12-02 00:00:00-05:00,1.1,1.13,1.03,1.11,163990,0.0,0.0
2025-12-01 00:00:00-05:00,1.05,1.08,1.02,1.08,96438,0.0,0.0
2025-11-28 00:00:00-05:00,1.01,1.07,1.01,1.06,126779,0.0,0.0
2025-11-26 00:00:00-05:00,1.04,1.05,1.0,1.03,158642,0.0,0.0
2025-11-25 00:00:00-05:00,0.99,1.06,0.96,1.03,301575,0.0,0.0
2025-11-24 00:00:00-05:00,0.85,1.0,0.85,0.99,301516,0.0,0.0
2025-11-21 00:00:00-05:00,0.75,0.92,0.74,0.89,748822,0.0,0.0
2025-11-20 00:00:00-05:00,0.86,0.94,0.8,0.83,1933622,0.0,0.0
2025-11-19 00:00:00-05:00,0.97,0.97,0.91,0.95,2362846,0.0,0.0
2025-11-18 00:00:00-05:00,0.98,0.98,0.9,0.94,142093,0.0,0.0
2025-11-17 00:00:00-05:00,0.94,1.02,0.94,0.95,289650,0.0,0.0
2025-11-14 00:00:00-05:00,1.09,1.13,0.92,0.98,1185584,0.0,0.0
2025-11-13 00:00:00-05:00,1.13,1.14,0.97,1.09,639852,0.0,0.0
2025-11-12 00:00:00-05:00,1.03,1.23,1.01,1.16,483886,0.0,0.0
2025-11-11 00:00:00-05:00,1.05,1.06,0.94,1.03,129600,0.0,0.0
2025-11-10 00:00:00-05:00,0.91,1.04,0.91,1.0,126035,0.0,0.0
2025-11-07 00:00:00-05:00,0.95,0.95,0.91,0.95,73183,0.0,0.0
2025-11-06 00:00:00-05:00,0.95,0.98,0.94,0.95,46473,0.0,0.0
2025-11-05 00:00:00-05:00,0.98,1.0,0.95,0.98,108721,0.0,0.0
2025-11-04 00:00:00-05:00,1.03,1.03,0.97,0.98,118655,0.0,0.0
2025-11-03 00:00:00-05:00,1.04,1.05,0.9,1.02,89576,0.0,0.0
2025-10-31 00:00:00-04:00,0.96,1.06,0.95,1.05,229866,0.0,0.0
2025-10-30 00:00:00-04:00,1.0,1.09,0.9,1.06,750870,0.0,0.0
2025-10-29 00:00:00-04:00,1.02,1.02,0.97,0.98,79401,0.0,0.0
2025-10-28 00:00:00-04:00,1.0,1.03,1.0,1.01,108761,0.0,0.0
2025-10-27 00:00:00-04:00,1.02,1.08,0.99,1.0,148755,0.0,0.0
2025-10-24 00:00:00-04:00,1.0,1.06,1.0,1.04,138664,0.0,0.0
2025-10-23 00:00:00-04:00,1.12,1.12,0.88,1.0,434905,0.0,0.0
2025-10-22 00:00:00-04:00,1.15,1.16,1.08,1.11,667375,0.0,0.0
2025-10-21 00:00:00-04:00,1.15,1.21,1.13,1.16,336317,0.0,0.0
2025-10-20 00:00:00-04:00,1.18,1.26,1.13,1.18,629618,0.0,0.0
2025-10-17 00:00:00-04:00,1.16,1.2,1.07,1.19,492175,0.0,0.0
2025-10-16 00:00:00-04:00,1.25,1.27,1.08,1.12,1458970,0.0,0.0
2025-10-15 00:00:00-04:00,1.58,1.65,1.05,1.21,2439520,0.0,0.0
2025-10-14 00:00:00-04:00,1.37,1.48,1.31,1.42,405869,0.0,0.0
2025-10-13 00:00:00-04:00,1.4,1.45,1.33,1.36,92813,0.0,0.0
