Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,2.33,2.69,2.28,2.6,82167,0.0,0.0
2025-11-24 00:00:00-05:00,2.19,2.28,2.02,2.26,16279,0.0,0.0
2025-11-21 00:00:00-05:00,2.06,2.14,2.04,2.14,9881,0.0,0.0
2025-11-20 00:00:00-05:00,2.07,2.12,2.07,2.07,2800,0.0,0.0
2025-11-19 00:00:00-05:00,2.11,2.14,2.07,2.1,9200,0.0,0.0
2025-11-18 00:00:00-05:00,2.09,2.26,2.05,2.13,26300,0.0,0.0
2025-11-17 00:00:00-05:00,2.4,2.4,2.01,2.15,66300,0.0,0.0
2025-11-14 00:00:00-05:00,2.76,2.76,2.25,2.47,102100,0.0,0.0
2025-11-13 00:00:00-05:00,2.26,2.74,2.26,2.52,115600,0.0,0.0
2025-11-12 00:00:00-05:00,2.15,2.29,2.12,2.22,39500,0.0,0.0
2025-11-11 00:00:00-05:00,2.1,2.12,2.08,2.11,4500,0.0,0.0
2025-11-10 00:00:00-05:00,1.99,2.1,1.95,2.09,21600,0.0,0.0
2025-11-07 00:00:00-05:00,2.15,2.15,2.02,2.05,28600,0.0,0.0
2025-11-06 00:00:00-05:00,2.21,2.22,2.13,2.17,8000,0.0,0.0
2025-11-05 00:00:00-05:00,2.23,2.24,2.22,2.24,2900,0.0,0.0
2025-11-04 00:00:00-05:00,2.26,2.41,2.26,2.29,7200,0.0,0.0
2025-11-03 00:00:00-05:00,2.28,2.33,2.16,2.22,21700,0.0,0.0
2025-10-31 00:00:00-04:00,2.35,2.36,2.21,2.33,17400,0.0,0.0
2025-10-30 00:00:00-04:00,2.35,2.35,2.28,2.34,5100,0.0,0.0
2025-10-29 00:00:00-04:00,2.25,2.35,2.04,2.35,23400,0.0,0.0
2025-10-28 00:00:00-04:00,2.34,2.34,2.26,2.26,6000,0.0,0.0
2025-10-27 00:00:00-04:00,2.35,2.35,2.12,2.26,5100,0.0,0.0
2025-10-24 00:00:00-04:00,2.36,2.36,2.25,2.31,16600,0.0,0.0
2025-10-23 00:00:00-04:00,2.39,2.39,2.28,2.34,9300,0.0,0.0
2025-10-22 00:00:00-04:00,2.26,2.36,2.26,2.36,5000,0.0,0.0
2025-10-21 00:00:00-04:00,2.44,2.44,2.4,2.41,9200,0.0,0.0
2025-10-20 00:00:00-04:00,2.37,2.45,2.37,2.43,12600,0.0,0.0
2025-10-17 00:00:00-04:00,2.37,2.5,2.37,2.4,17200,0.0,0.0
2025-10-16 00:00:00-04:00,2.39,2.46,2.3,2.46,15900,0.0,0.0
2025-10-15 00:00:00-04:00,2.43,2.5,2.36,2.37,15400,0.0,0.0
2025-10-14 00:00:00-04:00,2.45,2.59,2.39,2.42,7300,0.0,0.0
2025-10-13 00:00:00-04:00,2.57,2.57,2.49,2.49,10300,0.0,0.0
2025-10-10 00:00:00-04:00,2.62,2.67,2.5,2.64,14600,0.0,0.0
2025-10-09 00:00:00-04:00,2.77,2.77,2.53,2.65,16100,0.0,0.0
2025-10-08 00:00:00-04:00,2.72,2.85,2.68,2.68,14300,0.0,0.0
2025-10-07 00:00:00-04:00,2.84,2.87,2.7,2.7,22200,0.0,0.0
2025-10-06 00:00:00-04:00,2.81,2.95,2.75,2.84,18200,0.0,0.0
2025-10-03 00:00:00-04:00,2.8,2.86,2.67,2.83,9200,0.0,0.0
2025-10-02 00:00:00-04:00,2.93,2.98,2.76,2.9,12100,0.0,0.0
2025-10-01 00:00:00-04:00,2.61,3.1,2.6,2.93,74500,0.0,0.0
2025-09-30 00:00:00-04:00,2.63,2.66,2.6,2.61,11400,0.0,0.0
