Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,1.55,1.62,1.41,1.51,4777376,0.0,0.0
2025-11-20 00:00:00-05:00,1.92,1.99,1.57,1.6,5692400,0.0,0.0
2025-11-19 00:00:00-05:00,1.95,1.97,1.73,1.82,3135000,0.0,0.0
2025-11-18 00:00:00-05:00,1.7,2.02,1.7,1.94,4999900,0.0,0.0
2025-11-17 00:00:00-05:00,1.73,1.84,1.61,1.79,4624900,0.0,0.0
2025-11-14 00:00:00-05:00,1.58,1.83,1.58,1.67,6958000,0.0,0.0
2025-11-13 00:00:00-05:00,1.97,2.04,1.78,1.85,6206400,0.0,0.0
2025-11-12 00:00:00-05:00,2.43,2.49,1.98,2.11,7672300,0.0,0.0
2025-11-11 00:00:00-05:00,2.51,2.55,2.33,2.37,4116200,0.0,0.0
2025-11-10 00:00:00-05:00,2.76,2.76,2.47,2.56,3881000,0.0,0.0
2025-11-07 00:00:00-05:00,2.78,2.88,2.31,2.61,11210000,0.0,0.0
2025-11-06 00:00:00-05:00,3.42,3.45,2.86,3.04,7073700,0.0,0.0
2025-11-05 00:00:00-05:00,3.22,3.55,3.02,3.44,4106300,0.0,0.0
2025-11-04 00:00:00-05:00,3.25,3.61,2.94,3.03,6059200,0.0,0.0
2025-11-03 00:00:00-05:00,3.62,4.04,3.31,3.49,9276400,0.0,0.0
2025-10-31 00:00:00-04:00,3.16,3.58,3.04,3.49,8427600,0.0,0.0
2025-10-30 00:00:00-04:00,3.03,3.13,2.9,3.03,4736100,0.0,0.0
2025-10-29 00:00:00-04:00,2.85,3.42,2.73,3.22,10368500,0.0,0.0
2025-10-28 00:00:00-04:00,2.81,3.25,2.66,2.91,8702400,0.0,0.0
2025-10-27 00:00:00-04:00,3.02,3.25,2.88,2.9,8557000,0.0,0.0
2025-10-24 00:00:00-04:00,3.58,3.84,2.95,3.05,18567100,0.0,0.0
2025-10-23 00:00:00-04:00,3.38,3.73,3.27,3.58,5502900,0.0,0.0
2025-10-22 00:00:00-04:00,3.2,3.68,2.93,3.41,13975800,0.0,0.0
2025-10-21 00:00:00-04:00,3.79,3.85,3.28,3.48,11576700,0.0,0.0
2025-10-20 00:00:00-04:00,4.73,4.83,3.62,3.95,15097900,0.0,0.0
2025-10-17 00:00:00-04:00,3.48,4.6,3.34,4.42,19812300,0.0,0.0
2025-10-16 00:00:00-04:00,4.77,5.14,4.03,4.19,36284800,0.0,0.0
2025-10-15 00:00:00-04:00,3.48,4.37,3.16,4.29,47166300,0.0,0.0
2025-10-14 00:00:00-04:00,2.22,3.09,2.06,2.79,21754100,0.0,0.0
2025-10-13 00:00:00-04:00,2.37,2.41,2.1,2.26,10486600,0.0,0.0
2025-10-10 00:00:00-04:00,2.7,2.71,2.18,2.41,15154400,0.0,0.0
2025-10-09 00:00:00-04:00,2.79,2.87,2.4,2.57,11957300,0.0,0.0
2025-10-08 00:00:00-04:00,2.23,2.9,2.13,2.83,26396000,0.0,0.0
2025-10-07 00:00:00-04:00,2.0,2.34,1.81,2.03,19130900,0.0,0.0
2025-10-06 00:00:00-04:00,2.09,2.15,1.79,1.8,20234100,0.0,0.0
