Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,8.28,8.59,8.19,8.59,28100,0.0,0.0
2025-11-24 00:00:00-05:00,8.34,8.36,8.09,8.15,24200,0.0,0.0
2025-11-21 00:00:00-05:00,7.93,8.39,7.76,8.34,32107,0.0,0.0
2025-11-20 00:00:00-05:00,8.01,8.23,7.84,7.93,29800,0.0,0.0
2025-11-19 00:00:00-05:00,7.8,7.92,7.7,7.86,25200,0.0,0.0
2025-11-18 00:00:00-05:00,7.75,7.89,7.75,7.79,15200,0.0,0.0
2025-11-17 00:00:00-05:00,8.15,8.24,7.75,7.76,44800,0.0,0.0
2025-11-14 00:00:00-05:00,8.23,8.39,8.09,8.19,22100,0.0,0.0
2025-11-13 00:00:00-05:00,8.06,8.35,8.06,8.27,14600,0.0,0.0
2025-11-12 00:00:00-05:00,8.18,8.22,8.11,8.15,16400,0.0,0.0
2025-11-11 00:00:00-05:00,8.18,8.18,8.06,8.18,5700,0.0,0.0
2025-11-10 00:00:00-05:00,8.1,8.11,7.99,8.09,7400,0.0,0.0
2025-11-07 00:00:00-05:00,7.98,8.04,7.9,7.97,23300,0.0,0.0
2025-11-06 00:00:00-05:00,8.1,8.2,7.91,8.02,39200,0.0,0.0
2025-11-05 00:00:00-05:00,8.04,8.14,7.99,8.11,19600,0.0,0.0
2025-11-04 00:00:00-05:00,8.0,8.13,7.92,7.96,21100,0.0,0.0
2025-11-03 00:00:00-05:00,8.01,8.23,7.9,8.1,36400,0.0,0.0
2025-10-31 00:00:00-04:00,7.96,8.13,7.92,7.97,22700,0.0,0.0
2025-10-30 00:00:00-04:00,8.04,8.14,8.02,8.02,11700,0.0,0.0
2025-10-29 00:00:00-04:00,8.28,8.32,7.97,8.03,22500,0.0,0.0
2025-10-28 00:00:00-04:00,8.24,8.38,8.23,8.26,24600,0.0,0.0
2025-10-27 00:00:00-04:00,8.36,8.53,8.26,8.28,14400,0.0,0.0
2025-10-24 00:00:00-04:00,8.3,8.43,8.15,8.32,21500,0.0,0.0
2025-10-23 00:00:00-04:00,8.42,8.42,8.24,8.3,9700,0.0,0.0
2025-10-22 00:00:00-04:00,8.15,8.34,8.02,8.33,31700,0.0,0.0
2025-10-21 00:00:00-04:00,7.96,8.25,7.91,8.18,14600,0.0,0.0
2025-10-20 00:00:00-04:00,8.06,8.51,7.98,8.23,42800,0.0,0.0
2025-10-17 00:00:00-04:00,8.04,8.28,7.9,7.95,32300,0.0,0.0
2025-10-16 00:00:00-04:00,8.36,8.36,8.01,8.07,19200,0.0,0.0
2025-10-15 00:00:00-04:00,8.27,8.42,8.11,8.34,23900,0.0,0.0
2025-10-14 00:00:00-04:00,7.97,8.35,7.97,8.26,19800,0.0,0.0
2025-10-13 00:00:00-04:00,8.06,8.22,8.02,8.11,28700,0.0,0.0
2025-10-10 00:00:00-04:00,8.15,8.55,7.93,7.93,44300,0.0,0.0
2025-10-09 00:00:00-04:00,8.31,8.57,8.18,8.22,24600,0.0,0.0
2025-10-08 00:00:00-04:00,8.78,8.78,8.35,8.39,25800,0.0,0.0
2025-10-07 00:00:00-04:00,8.4,8.68,8.29,8.33,25800,0.0,0.0
2025-10-06 00:00:00-04:00,8.74,8.96,8.42,8.47,28200,0.0,0.0
2025-10-03 00:00:00-04:00,8.73,8.75,8.55,8.58,17000,0.0,0.0
2025-10-02 00:00:00-04:00,8.54,8.77,8.38,8.57,22000,0.0,0.0
2025-10-01 00:00:00-04:00,8.67,8.71,8.47,8.54,116900,0.0,0.0
2025-09-30 00:00:00-04:00,8.54,8.96,8.46,8.67,32600,0.0,0.0
2025-09-29 00:00:00-04:00,8.75,8.77,8.58,8.59,14800,0.0,0.0
2025-09-26 00:00:00-04:00,8.9,8.9,8.72,8.76,15200,0.0,0.0
2025-09-25 00:00:00-04:00,8.71,8.85,8.71,8.73,16600,0.0,0.0
2025-09-24 00:00:00-04:00,8.73,8.96,8.73,8.83,24000,0.0,0.0
2025-09-23 00:00:00-04:00,8.67,8.81,8.67,8.76,35600,0.0,0.0
2025-09-22 00:00:00-04:00,8.79,8.95,8.65,8.71,27900,0.0,0.0
2025-09-19 00:00:00-04:00,9.09,9.09,8.83,8.87,274600,0.0,0.0
2025-09-18 00:00:00-04:00,9.08,9.17,8.97,9.09,45600,0.0,0.0
2025-09-17 00:00:00-04:00,8.99,9.1,8.8,8.85,52300,0.0,0.0
2025-09-16 00:00:00-04:00,8.59,9.03,8.59,8.92,50300,0.0,0.0
2025-09-15 00:00:00-04:00,8.74,8.82,8.6,8.61,34900,0.0,0.0
2025-09-12 00:00:00-04:00,8.7,8.87,8.55,8.68,45900,0.0,0.0
2025-09-11 00:00:00-04:00,8.38,8.7,8.38,8.68,33000,0.0,0.0
2025-09-10 00:00:00-04:00,8.46,8.63,8.44,8.46,30900,0.0,0.0
2025-09-09 00:00:00-04:00,8.58,8.65,8.5,8.53,32200,0.0,0.0
2025-09-08 00:00:00-04:00,8.5,8.62,8.38,8.54,45700,0.0,0.0
2025-09-05 00:00:00-04:00,8.37,8.48,8.25,8.42,42400,0.0,0.0
2025-09-04 00:00:00-04:00,8.4,8.54,8.31,8.39,31100,0.0,0.0
2025-09-03 00:00:00-04:00,8.67,8.89,8.34,8.4,47600,0.0,0.0
2025-09-02 00:00:00-04:00,8.86,9.03,8.72,8.79,50300,0.0,0.0
2025-08-29 00:00:00-04:00,8.78,9.05,8.77,9.0,79100,0.0,0.0
2025-08-28 00:00:00-04:00,8.9,8.95,8.63,8.78,28600,0.0,0.0
2025-08-27 00:00:00-04:00,8.66,8.88,8.66,8.79,30000,0.0,0.0
2025-08-26 00:00:00-04:00,8.71,8.89,8.65,8.7,25500,0.0,0.0
2025-08-25 00:00:00-04:00,8.94,9.11,8.63,8.71,31400,0.0,0.0
2025-08-22 00:00:00-04:00,8.53,9.06,8.31,9.03,55400,0.0,0.0
2025-08-21 00:00:00-04:00,8.5,8.81,8.34,8.35,17400,0.0,0.0
2025-08-20 00:00:00-04:00,8.7,8.7,8.38,8.41,37700,0.0,0.0
2025-08-19 00:00:00-04:00,8.42,8.73,8.3,8.4,23100,0.0,0.0
2025-08-18 00:00:00-04:00,8.5,8.63,8.32,8.45,32700,0.0,0.0
2025-08-15 00:00:00-04:00,9.24,9.24,8.26,8.47,124700,0.0,0.0
2025-08-14 00:00:00-04:00,8.92,9.29,8.92,9.13,29900,0.0,0.0
2025-08-13 00:00:00-04:00,9.38,9.49,9.24,9.3,47200,0.0,0.0
2025-08-12 00:00:00-04:00,9.02,9.34,9.01,9.27,41000,0.0,0.0
2025-08-11 00:00:00-04:00,8.91,8.95,8.67,8.94,46000,0.0,0.0
2025-08-08 00:00:00-04:00,8.79,9.01,8.77,8.8,15700,0.0,0.0
2025-08-07 00:00:00-04:00,8.91,8.95,8.72,8.8,22800,0.0,0.0
2025-08-06 00:00:00-04:00,8.91,9.02,8.85,8.9,24200,0.0,0.0
2025-08-05 00:00:00-04:00,8.69,8.98,8.59,8.92,43500,0.0,0.0
2025-08-04 00:00:00-04:00,8.48,8.67,8.41,8.64,28900,0.0,0.0
2025-08-01 00:00:00-04:00,8.4,8.45,8.31,8.41,47400,0.0,0.0
2025-07-31 00:00:00-04:00,8.39,8.71,8.31,8.48,40900,0.0,0.0
2025-07-30 00:00:00-04:00,8.63,8.78,8.31,8.4,46900,0.0,0.0
2025-07-29 00:00:00-04:00,8.81,8.82,8.55,8.63,30000,0.0,0.0
2025-07-28 00:00:00-04:00,8.88,8.9,8.65,8.77,57000,0.0,0.0
2025-07-25 00:00:00-04:00,8.89,8.95,8.79,8.87,26900,0.0,0.0
2025-07-24 00:00:00-04:00,9.25,9.25,8.86,8.88,27500,0.0,0.0
2025-07-23 00:00:00-04:00,8.73,9.11,8.73,9.07,52000,0.0,0.0
2025-07-22 00:00:00-04:00,8.75,8.86,8.71,8.75,38900,0.0,0.0
2025-07-21 00:00:00-04:00,8.68,8.8,8.66,8.75,47700,0.0,0.0
