Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,1.81,2.0,1.76,1.94,233663,0.0,0.0
2025-11-20 00:00:00-05:00,1.75,1.84,1.66,1.81,88500,0.0,0.0
2025-11-19 00:00:00-05:00,1.75,1.79,1.61,1.76,114300,0.0,0.0
2025-11-18 00:00:00-05:00,1.53,1.76,1.48,1.71,136600,0.0,0.0
2025-11-17 00:00:00-05:00,1.67,1.68,1.44,1.45,116200,0.0,0.0
2025-11-14 00:00:00-05:00,1.74,1.8,1.61,1.61,128800,0.0,0.0
2025-11-13 00:00:00-05:00,1.84,1.99,1.75,1.79,87800,0.0,0.0
2025-11-12 00:00:00-05:00,1.94,1.97,1.84,1.89,65800,0.0,0.0
2025-11-11 00:00:00-05:00,1.88,1.93,1.82,1.83,58700,0.0,0.0
2025-11-10 00:00:00-05:00,1.98,1.98,1.91,1.93,83700,0.0,0.0
2025-11-07 00:00:00-05:00,1.82,1.95,1.8,1.95,66200,0.0,0.0
2025-11-06 00:00:00-05:00,1.92,1.97,1.81,1.81,87000,0.0,0.0
2025-11-05 00:00:00-05:00,1.85,2.04,1.85,1.94,71400,0.0,0.0
2025-11-04 00:00:00-05:00,1.92,2.03,1.8,1.81,123700,0.0,0.0
2025-11-03 00:00:00-05:00,2.03,2.09,1.95,2.0,84500,0.0,0.0
2025-10-31 00:00:00-04:00,2.15,2.15,2.0,2.03,67700,0.0,0.0
2025-10-30 00:00:00-04:00,2.12,2.15,2.05,2.12,42400,0.0,0.0
2025-10-29 00:00:00-04:00,2.24,2.27,2.1,2.15,105600,0.0,0.0
2025-10-28 00:00:00-04:00,2.2,2.28,2.13,2.23,104700,0.0,0.0
2025-10-27 00:00:00-04:00,2.1,2.29,2.07,2.24,92300,0.0,0.0
2025-10-24 00:00:00-04:00,2.0,2.17,2.0,2.08,117400,0.0,0.0
2025-10-23 00:00:00-04:00,2.0,2.06,1.95,2.0,41700,0.0,0.0
2025-10-22 00:00:00-04:00,2.05,2.1,1.92,1.98,133000,0.0,0.0
2025-10-21 00:00:00-04:00,2.11,2.16,2.05,2.05,64700,0.0,0.0
2025-10-20 00:00:00-04:00,2.19,2.28,2.12,2.14,167900,0.0,0.0
2025-10-17 00:00:00-04:00,2.1,2.19,2.07,2.15,135300,0.0,0.0
2025-10-16 00:00:00-04:00,2.31,2.55,2.1,2.18,404600,0.0,0.0
