Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,40.68,40.97,40.02,40.74,1205113,0.0,0.0
2025-11-21 00:00:00-05:00,39.97,41.6,39.83,41.05,1030290,0.0,0.0
2025-11-20 00:00:00-05:00,39.86,40.27,39.6,39.77,1127900,0.0,0.0
2025-11-19 00:00:00-05:00,39.97,40.13,39.27,39.86,814300,0.0,0.0
2025-11-18 00:00:00-05:00,40.27,40.52,39.67,40.05,1067600,0.0,0.0
2025-11-17 00:00:00-05:00,40.97,41.0,40.12,40.31,1008300,0.0,0.0
2025-11-14 00:00:00-05:00,41.41,41.69,40.64,40.93,854700,0.0,0.0
2025-11-13 00:00:00-05:00,40.4,42.44,40.38,41.57,1736200,0.0,0.0
2025-11-12 00:00:00-05:00,40.73,41.02,40.26,40.29,774100,0.0,0.0
2025-11-11 00:00:00-05:00,40.84,41.3,40.41,40.65,830100,0.0,0.0
2025-11-10 00:00:00-05:00,40.25,40.79,39.75,40.54,1177000,0.53,0.0
2025-11-07 00:00:00-05:00,39.74,40.23,39.63,40.15,922900,0.0,0.0
2025-11-06 00:00:00-05:00,40.45,40.75,39.82,39.92,1039000,0.0,0.0
2025-11-05 00:00:00-05:00,39.73,40.36,39.53,40.32,1199100,0.0,0.0
2025-11-04 00:00:00-05:00,39.13,39.91,39.07,39.55,1148000,0.0,0.0
2025-11-03 00:00:00-05:00,39.7,39.8,39.19,39.37,1864600,0.0,0.0
2025-10-31 00:00:00-04:00,38.54,40.13,38.26,40.04,2635000,0.0,0.0
2025-10-30 00:00:00-04:00,38.85,39.03,38.15,38.76,2373500,0.0,0.0
2025-10-29 00:00:00-04:00,39.18,39.78,38.76,39.18,2903600,0.0,0.0
2025-10-28 00:00:00-04:00,38.99,40.0,38.65,39.63,1745000,0.0,0.0
2025-10-27 00:00:00-04:00,39.83,39.88,38.83,38.95,2948700,0.0,0.0
2025-10-24 00:00:00-04:00,40.91,41.13,39.7,39.83,2015400,0.0,0.0
2025-10-23 00:00:00-04:00,41.36,42.8,40.45,40.89,2743200,0.0,0.0
2025-10-22 00:00:00-04:00,40.62,41.54,40.39,40.95,1701400,0.0,0.0
2025-10-21 00:00:00-04:00,40.34,40.66,40.0,40.63,1710500,0.0,0.0
2025-10-20 00:00:00-04:00,39.59,40.18,39.53,39.99,1330600,0.0,0.0
2025-10-17 00:00:00-04:00,38.98,39.81,38.92,39.51,1541500,0.0,0.0
2025-10-16 00:00:00-04:00,39.61,39.9,39.31,39.64,1252900,0.0,0.0
2025-10-15 00:00:00-04:00,39.09,39.56,38.98,39.43,1149600,0.0,0.0
2025-10-14 00:00:00-04:00,38.79,39.37,38.62,39.06,972300,0.0,0.0
2025-10-13 00:00:00-04:00,39.48,40.02,38.87,38.98,1227900,0.0,0.0
2025-10-10 00:00:00-04:00,39.97,40.13,39.01,39.09,1803800,0.0,0.0
2025-10-09 00:00:00-04:00,41.7,41.82,39.64,39.9,1815700,0.0,0.0
2025-10-08 00:00:00-04:00,42.09,42.22,41.85,42.06,698500,0.0,0.0
2025-10-07 00:00:00-04:00,42.27,42.54,41.52,41.92,745400,0.0,0.0
2025-10-06 00:00:00-04:00,42.67,42.67,42.04,42.12,792200,0.0,0.0
2025-10-03 00:00:00-04:00,42.58,42.99,42.51,42.76,814700,0.0,0.0
2025-10-02 00:00:00-04:00,42.38,42.66,42.2,42.52,700700,0.0,0.0
2025-10-01 00:00:00-04:00,42.43,42.87,42.21,42.48,933500,0.0,0.0
2025-09-30 00:00:00-04:00,42.04,42.57,41.81,42.53,1271200,0.0,0.0
2025-09-29 00:00:00-04:00,43.55,43.55,41.38,42.21,1712500,0.0,0.0
2025-09-26 00:00:00-04:00,43.55,43.73,43.11,43.34,1142300,0.0,0.0
2025-09-25 00:00:00-04:00,44.25,44.48,43.42,43.54,1495500,0.0,0.0
2025-09-24 00:00:00-04:00,45.41,45.59,44.42,44.49,1043700,0.0,0.0
2025-09-23 00:00:00-04:00,45.3,46.03,45.03,45.05,868700,0.0,0.0
2025-09-22 00:00:00-04:00,45.84,45.84,45.05,45.34,985600,0.0,0.0
2025-09-19 00:00:00-04:00,46.44,46.44,45.4,45.71,1544200,0.0,0.0
2025-09-18 00:00:00-04:00,46.68,46.85,46.16,46.41,659900,0.0,0.0
2025-09-17 00:00:00-04:00,46.86,47.74,46.54,46.77,805700,0.0,0.0
2025-09-16 00:00:00-04:00,47.11,47.24,46.43,46.56,904500,0.0,0.0
2025-09-15 00:00:00-04:00,47.76,49.11,47.02,47.1,1690500,0.0,0.0
2025-09-12 00:00:00-04:00,46.67,47.27,46.29,47.17,853000,0.0,0.0
2025-09-11 00:00:00-04:00,45.35,46.61,45.15,46.59,884100,0.0,0.0
2025-09-10 00:00:00-04:00,44.87,45.47,44.8,45.46,896200,0.0,0.0
2025-09-09 00:00:00-04:00,45.56,45.58,44.95,45.1,849700,0.0,0.0
2025-09-08 00:00:00-04:00,45.64,45.79,44.81,45.57,969700,0.0,0.0
2025-09-05 00:00:00-04:00,45.12,45.85,44.93,45.62,1251800,0.0,0.0
2025-09-04 00:00:00-04:00,45.36,45.6,44.23,44.92,1279400,0.0,0.0
2025-09-03 00:00:00-04:00,45.97,46.13,45.17,45.34,817800,0.0,0.0
2025-09-02 00:00:00-04:00,46.09,46.42,45.81,46.1,1426600,0.0,0.0
2025-08-29 00:00:00-04:00,46.24,46.67,46.1,46.63,1733000,0.0,0.0
2025-08-28 00:00:00-04:00,46.44,46.44,45.74,46.13,674200,0.0,0.0
2025-08-27 00:00:00-04:00,45.89,46.54,45.86,46.17,638500,0.0,0.0
2025-08-26 00:00:00-04:00,46.24,46.48,46.02,46.12,691600,0.0,0.0
2025-08-25 00:00:00-04:00,46.75,46.76,46.22,46.24,664900,0.0,0.0
2025-08-22 00:00:00-04:00,46.27,47.48,46.13,46.93,773700,0.0,0.0
2025-08-21 00:00:00-04:00,45.07,46.34,45.07,45.97,529300,0.0,0.0
2025-08-20 00:00:00-04:00,45.67,45.85,45.07,45.38,730400,0.0,0.0
2025-08-19 00:00:00-04:00,45.13,45.89,45.12,45.79,756500,0.0,0.0
2025-08-18 00:00:00-04:00,45.65,45.84,44.88,44.89,1031400,0.0,0.0
2025-08-15 00:00:00-04:00,45.63,45.83,45.27,45.65,978600,0.0,0.0
2025-08-14 00:00:00-04:00,45.37,45.73,44.68,45.41,731200,0.0,0.0
2025-08-13 00:00:00-04:00,44.85,46.02,44.67,46.01,655700,0.0,0.0
2025-08-12 00:00:00-04:00,44.54,45.13,44.46,44.78,599600,0.0,0.0
2025-08-11 00:00:00-04:00,44.87,45.05,44.04,44.42,570400,0.0,0.0
2025-08-08 00:00:00-04:00,44.77,45.02,44.42,44.84,536800,0.53,0.0
2025-08-07 00:00:00-04:00,44.58,44.93,44.16,44.81,826100,0.0,0.0
2025-08-06 00:00:00-04:00,43.95,44.3,43.61,44.27,707000,0.0,0.0
2025-08-05 00:00:00-04:00,43.82,44.06,43.25,43.76,644100,0.0,0.0
2025-08-04 00:00:00-04:00,43.12,43.76,43.01,43.68,603900,0.0,0.0
2025-08-01 00:00:00-04:00,43.79,44.13,42.8,43.16,1661000,0.0,0.0
2025-07-31 00:00:00-04:00,44.0,44.45,43.6,43.97,2339700,0.0,0.0
2025-07-30 00:00:00-04:00,45.96,45.96,44.49,44.71,1058700,0.0,0.0
2025-07-29 00:00:00-04:00,46.73,46.91,46.01,46.15,1066600,0.0,0.0
2025-07-28 00:00:00-04:00,46.99,47.09,46.24,46.54,1033800,0.0,0.0
2025-07-25 00:00:00-04:00,47.41,47.8,46.61,47.15,1189900,0.0,0.0
2025-07-24 00:00:00-04:00,47.01,48.87,46.19,47.39,2419500,0.0,0.0
2025-07-23 00:00:00-04:00,46.76,47.58,46.56,47.49,1428700,0.0,0.0
2025-07-22 00:00:00-04:00,45.09,46.57,44.61,46.49,1099800,0.0,0.0
2025-07-21 00:00:00-04:00,44.88,45.25,44.76,44.91,1027400,0.0,0.0
2025-07-18 00:00:00-04:00,45.21,45.27,44.48,44.75,598700,0.0,0.0
2025-07-17 00:00:00-04:00,44.47,45.21,44.47,45.12,632400,0.0,0.0
2025-07-16 00:00:00-04:00,44.26,44.67,44.0,44.55,670700,0.0,0.0
2025-07-15 00:00:00-04:00,45.13,45.33,44.16,44.18,962600,0.0,0.0
2025-07-14 00:00:00-04:00,44.96,45.23,44.65,44.97,715000,0.0,0.0
2025-07-11 00:00:00-04:00,45.39,45.9,44.9,45.14,799000,0.0,0.0
2025-07-10 00:00:00-04:00,45.72,46.59,45.67,45.86,879000,0.0,0.0
2025-07-09 00:00:00-04:00,45.46,45.79,45.12,45.66,898900,0.0,0.0
2025-07-08 00:00:00-04:00,45.32,46.04,45.15,45.41,802800,0.0,0.0
2025-07-07 00:00:00-04:00,45.34,45.72,45.12,45.22,744100,0.0,0.0
2025-07-03 00:00:00-04:00,45.7,45.89,45.26,45.37,761200,0.0,0.0
2025-07-02 00:00:00-04:00,44.92,45.54,44.55,45.51,933100,0.0,0.0
2025-07-01 00:00:00-04:00,42.5,44.89,42.48,44.62,1807200,0.0,0.0
2025-06-30 00:00:00-04:00,42.65,42.79,42.15,42.5,1398900,0.0,0.0
2025-06-27 00:00:00-04:00,43.08,43.31,42.53,42.75,1059700,0.0,0.0
2025-06-26 00:00:00-04:00,42.76,43.19,42.67,42.82,803900,0.0,0.0
2025-06-25 00:00:00-04:00,43.16,43.16,42.41,42.5,1107700,0.0,0.0
2025-06-24 00:00:00-04:00,42.94,43.45,42.86,43.18,1130600,0.0,0.0
2025-06-23 00:00:00-04:00,41.95,42.87,41.9,42.64,762300,0.0,0.0
2025-06-20 00:00:00-04:00,42.49,42.74,41.99,42.0,1100700,0.0,0.0
2025-06-18 00:00:00-04:00,42.76,43.08,42.35,42.4,574900,0.0,0.0
2025-06-17 00:00:00-04:00,43.18,43.47,42.68,42.71,622400,0.0,0.0
2025-06-16 00:00:00-04:00,43.47,43.79,43.2,43.42,732300,0.0,0.0
2025-06-13 00:00:00-04:00,44.11,44.32,43.17,43.32,618300,0.0,0.0
2025-06-12 00:00:00-04:00,43.97,44.55,43.76,44.53,631100,0.0,0.0
2025-06-11 00:00:00-04:00,44.87,44.91,43.99,44.07,553200,0.0,0.0
2025-06-10 00:00:00-04:00,44.6,45.22,44.39,44.9,706800,0.0,0.0
2025-06-09 00:00:00-04:00,44.07,44.81,43.75,44.39,530900,0.0,0.0
