Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,4.02,4.05,3.84,3.88,10009,0.0,0.0
2025-11-21 00:00:00-05:00,3.94,4.08,3.94,4.08,5483,0.0,0.0
2025-11-20 00:00:00-05:00,3.97,4.05,3.9,3.99,11900,0.0,0.0
2025-11-19 00:00:00-05:00,3.91,4.07,3.91,3.97,9100,0.0,0.0
2025-11-18 00:00:00-05:00,4.16,4.16,3.93,3.93,10800,0.0,0.0
2025-11-17 00:00:00-05:00,4.29,4.35,4.11,4.11,19300,0.0,0.0
2025-11-14 00:00:00-05:00,4.41,4.53,4.29,4.29,4900,0.0,0.0
2025-11-13 00:00:00-05:00,4.38,4.48,4.38,4.4,12400,0.0,0.0
2025-11-12 00:00:00-05:00,4.35,4.55,4.34,4.42,81900,0.0,0.0
2025-11-11 00:00:00-05:00,4.37,4.38,4.3,4.36,17500,0.0,0.0
2025-11-10 00:00:00-05:00,4.5,4.66,4.41,4.41,21500,0.0,0.0
2025-11-07 00:00:00-05:00,4.59,4.74,4.53,4.53,14800,0.0,0.0
2025-11-06 00:00:00-05:00,4.57,4.67,4.52,4.58,5500,0.0,0.0
2025-11-05 00:00:00-05:00,4.67,4.88,4.55,4.6,5400,0.0,0.0
2025-11-04 00:00:00-05:00,4.86,4.86,4.5,4.61,42100,0.0,0.0
2025-11-03 00:00:00-05:00,4.6,4.96,4.56,4.66,22200,0.0,0.0
2025-10-31 00:00:00-04:00,4.52,4.63,4.41,4.52,31200,0.0,0.0
2025-10-30 00:00:00-04:00,4.69,4.84,4.36,4.6,50200,0.0,0.0
2025-10-29 00:00:00-04:00,4.59,4.96,4.48,4.73,22700,0.0,0.0
2025-10-28 00:00:00-04:00,4.55,4.75,4.55,4.59,53500,0.0,0.0
2025-10-27 00:00:00-04:00,4.59,4.75,4.49,4.62,72100,0.0,0.0
2025-10-24 00:00:00-04:00,4.54,4.9,4.42,4.56,65400,0.0,0.0
2025-10-23 00:00:00-04:00,4.58,5.0,4.46,4.59,37000,0.0,0.0
2025-10-22 00:00:00-04:00,4.59,5.08,4.42,4.58,96600,0.0,0.0
2025-10-21 00:00:00-04:00,4.35,5.15,4.31,4.62,176200,0.0,0.0
2025-10-20 00:00:00-04:00,4.31,4.38,4.11,4.11,52800,0.0,0.0
2025-10-17 00:00:00-04:00,4.2,4.2,4.14,4.15,7400,0.0,0.0
2025-10-16 00:00:00-04:00,4.32,4.48,4.15,4.2,39000,0.0,0.0
2025-10-15 00:00:00-04:00,4.13,4.35,4.12,4.13,51200,0.0,0.0
2025-10-14 00:00:00-04:00,4.41,4.41,4.05,4.05,55500,0.0,0.0
2025-10-13 00:00:00-04:00,4.35,4.67,4.13,4.2,98100,0.0,0.0
2025-10-10 00:00:00-04:00,4.38,4.48,4.08,4.35,10100,0.0,0.0
2025-10-09 00:00:00-04:00,4.31,4.43,4.1,4.39,13400,0.0,0.0
2025-10-08 00:00:00-04:00,4.45,4.53,4.31,4.44,15200,0.0,0.0
2025-10-07 00:00:00-04:00,4.45,4.55,4.44,4.45,9500,0.0,0.0
2025-10-06 00:00:00-04:00,4.56,4.56,4.45,4.5,3500,0.0,0.0
2025-10-03 00:00:00-04:00,4.5,4.56,4.47,4.52,5400,0.0,0.0
2025-10-02 00:00:00-04:00,4.57,4.7,4.47,4.49,5100,0.0,0.0
2025-10-01 00:00:00-04:00,4.43,4.61,4.41,4.46,15100,0.0,0.0
2025-09-30 00:00:00-04:00,4.25,4.5,4.21,4.43,45000,0.0,0.0
2025-09-29 00:00:00-04:00,4.25,4.35,4.24,4.29,20400,0.0,0.0
2025-09-26 00:00:00-04:00,4.11,4.25,4.09,4.24,8800,0.0,0.0
2025-09-25 00:00:00-04:00,4.24,4.28,4.18,4.18,2800,0.0,0.0
2025-09-24 00:00:00-04:00,4.29,4.29,4.14,4.18,15600,0.0,0.0
2025-09-23 00:00:00-04:00,4.3,4.3,4.19,4.2,4900,0.0,0.0
2025-09-22 00:00:00-04:00,4.18,4.35,4.18,4.28,8900,0.0,0.0
2025-09-19 00:00:00-04:00,4.09,4.2,4.09,4.17,23900,0.0,0.0
2025-09-18 00:00:00-04:00,4.05,4.18,4.03,4.09,34900,0.0,0.0
2025-09-17 00:00:00-04:00,3.87,4.14,3.87,4.1,34800,0.0,0.0
2025-09-16 00:00:00-04:00,3.77,3.89,3.76,3.83,14800,0.0,0.0
2025-09-15 00:00:00-04:00,3.9,4.04,3.65,3.78,39500,0.0,0.0
2025-09-12 00:00:00-04:00,4.08,4.15,3.91,3.91,21600,0.0,0.0
2025-09-11 00:00:00-04:00,4.16,4.16,4.07,4.08,23300,0.0,0.0
2025-09-10 00:00:00-04:00,4.04,4.23,4.01,4.11,35700,0.0,0.0
2025-09-09 00:00:00-04:00,4.02,4.05,3.82,3.99,30400,0.0,0.0
2025-09-08 00:00:00-04:00,3.92,4.08,3.92,4.02,36900,0.0,0.0
2025-09-05 00:00:00-04:00,3.59,4.07,3.58,3.92,114800,0.0,0.0
2025-09-04 00:00:00-04:00,3.53,3.67,3.52,3.66,58900,0.0,0.0
2025-09-03 00:00:00-04:00,3.5,3.74,3.37,3.59,134000,0.0,0.0
2025-09-02 00:00:00-04:00,3.36,3.38,3.35,3.35,11000,0.0,0.0
2025-08-29 00:00:00-04:00,3.45,3.45,3.36,3.4,11400,0.0,0.0
2025-08-28 00:00:00-04:00,3.43,3.43,3.35,3.35,7900,0.0,0.0
2025-08-27 00:00:00-04:00,3.41,3.48,3.35,3.35,13500,0.0,0.0
2025-08-26 00:00:00-04:00,3.3,3.5,3.3,3.43,18100,0.0,0.0
2025-08-25 00:00:00-04:00,3.33,3.36,3.3,3.31,3500,0.0,0.0
2025-08-22 00:00:00-04:00,3.3,3.38,3.3,3.3,6600,0.0,0.0
2025-08-21 00:00:00-04:00,3.34,3.34,3.23,3.25,3900,0.0,0.0
2025-08-20 00:00:00-04:00,3.27,3.36,3.25,3.33,3200,0.0,0.0
2025-08-19 00:00:00-04:00,3.29,3.34,3.26,3.27,2600,0.0,0.0
2025-08-18 00:00:00-04:00,3.33,3.37,3.26,3.29,13600,0.0,0.0
2025-08-15 00:00:00-04:00,3.23,3.31,3.23,3.3,9300,0.0,0.0
2025-08-14 00:00:00-04:00,3.23,3.3,3.23,3.26,4500,0.0,0.0
2025-08-13 00:00:00-04:00,3.26,3.28,3.23,3.23,1800,0.0,0.0
2025-08-12 00:00:00-04:00,3.3,3.3,3.26,3.26,2900,0.0,0.0
2025-08-11 00:00:00-04:00,3.27,3.38,3.26,3.26,4100,0.0,0.0
2025-08-08 00:00:00-04:00,3.26,3.36,3.25,3.29,6500,0.0,0.0
2025-08-07 00:00:00-04:00,3.31,3.32,3.27,3.27,5300,0.0,0.0
2025-08-06 00:00:00-04:00,3.29,3.36,3.25,3.33,3000,0.0,0.0
2025-08-05 00:00:00-04:00,3.25,3.39,3.25,3.27,6300,0.0,0.0
2025-08-04 00:00:00-04:00,3.38,3.39,3.27,3.27,11900,0.0,0.0
2025-08-01 00:00:00-04:00,3.35,3.36,3.29,3.31,4800,0.0,0.0
2025-07-31 00:00:00-04:00,3.26,3.35,3.25,3.31,6900,0.0,0.0
2025-07-30 00:00:00-04:00,3.35,3.39,3.28,3.28,5500,0.0,0.0
2025-07-29 00:00:00-04:00,3.37,3.4,3.3,3.3,4200,0.0,0.0
2025-07-28 00:00:00-04:00,3.38,3.4,3.32,3.32,10500,0.0,0.0
2025-07-25 00:00:00-04:00,3.39,3.4,3.34,3.39,5300,0.0,0.0
2025-07-24 00:00:00-04:00,3.55,3.55,3.34,3.34,18200,0.0,0.0
2025-07-23 00:00:00-04:00,3.56,3.61,3.51,3.52,7800,0.0,0.0
2025-07-22 00:00:00-04:00,3.58,3.61,3.55,3.55,11100,0.0,0.0
2025-07-21 00:00:00-04:00,3.59,3.72,3.58,3.58,9000,0.0,0.0
2025-07-18 00:00:00-04:00,3.6,3.6,3.56,3.59,4100,0.0,0.0
2025-07-17 00:00:00-04:00,3.58,3.61,3.56,3.61,15400,0.0,0.0
2025-07-16 00:00:00-04:00,3.65,3.65,3.56,3.56,9300,0.0,0.0
2025-07-15 00:00:00-04:00,3.63,3.69,3.6,3.69,3300,0.0,0.0
2025-07-14 00:00:00-04:00,3.6,3.69,3.6,3.61,5400,0.0,0.0
2025-07-11 00:00:00-04:00,3.74,3.74,3.62,3.63,9000,0.0,0.0
2025-07-10 00:00:00-04:00,3.76,3.82,3.69,3.74,7900,0.0,0.0
2025-07-09 00:00:00-04:00,3.72,3.77,3.71,3.76,4000,0.0,0.0
2025-07-08 00:00:00-04:00,3.71,3.78,3.63,3.63,10500,0.0,0.0
2025-07-07 00:00:00-04:00,3.66,3.77,3.66,3.67,5000,0.0,0.0
2025-07-03 00:00:00-04:00,3.64,3.82,3.64,3.65,7000,0.0,0.0
2025-07-02 00:00:00-04:00,3.65,3.84,3.64,3.64,4900,0.0,0.0
2025-07-01 00:00:00-04:00,3.64,3.8,3.64,3.73,4200,0.0,0.0
2025-06-30 00:00:00-04:00,3.74,3.79,3.72,3.75,5700,0.0,0.0
