Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,6.15,6.46,6.15,6.45,205159,0.0,0.0
2025-11-20 00:00:00-05:00,6.43,6.55,6.13,6.14,635900,0.0,0.0
2025-11-19 00:00:00-05:00,6.44,6.52,6.24,6.3,615300,0.0,0.0
2025-11-18 00:00:00-05:00,6.31,6.5,6.2,6.4,532500,0.0,0.0
2025-11-17 00:00:00-05:00,6.49,6.51,6.19,6.36,1180900,0.0,0.0
2025-11-14 00:00:00-05:00,6.52,6.55,6.33,6.5,1027200,0.0,0.0
2025-11-13 00:00:00-05:00,6.79,6.81,6.52,6.6,474800,0.0,0.0
2025-11-12 00:00:00-05:00,6.8,6.96,6.72,6.82,325300,0.0,0.0
2025-11-11 00:00:00-05:00,6.74,6.89,6.71,6.77,399000,0.0,0.0
2025-11-10 00:00:00-05:00,6.92,7.09,6.7,6.73,364500,0.0,0.0
2025-11-07 00:00:00-05:00,6.57,6.89,6.53,6.83,1459700,0.0,0.0
2025-11-06 00:00:00-05:00,6.96,7.12,6.56,6.6,1484000,0.0,0.0
2025-11-05 00:00:00-05:00,6.74,7.3,6.55,6.95,1032700,0.0,0.0
2025-11-04 00:00:00-05:00,7.03,7.44,7.03,7.2,486100,0.0,0.0
2025-11-03 00:00:00-05:00,7.2,7.27,7.04,7.27,728500,0.0,0.0
2025-10-31 00:00:00-04:00,7.18,7.36,7.03,7.25,685600,0.0,0.0
2025-10-30 00:00:00-04:00,7.26,7.49,7.2,7.25,1017500,0.0,0.0
2025-10-29 00:00:00-04:00,7.56,7.56,7.26,7.35,401200,0.0,0.0
2025-10-28 00:00:00-04:00,7.58,7.68,7.46,7.49,608100,0.0,0.0
2025-10-27 00:00:00-04:00,8.07,8.1,7.61,7.61,237200,0.0,0.0
2025-10-24 00:00:00-04:00,7.83,8.02,7.74,7.98,463500,0.0,0.0
2025-10-23 00:00:00-04:00,7.6,7.74,7.57,7.72,254900,0.0,0.0
2025-10-22 00:00:00-04:00,7.69,7.72,7.57,7.59,232600,0.0,0.0
2025-10-21 00:00:00-04:00,7.56,7.71,7.49,7.69,328000,0.0,0.0
2025-10-20 00:00:00-04:00,7.47,7.65,7.45,7.57,264300,0.0,0.0
2025-10-17 00:00:00-04:00,7.36,7.44,7.07,7.41,338600,0.0,0.0
2025-10-16 00:00:00-04:00,7.8,7.84,7.39,7.44,264900,0.0,0.0
2025-10-15 00:00:00-04:00,7.73,7.85,7.67,7.8,417800,0.0,0.0
2025-10-14 00:00:00-04:00,7.13,7.77,7.07,7.64,726400,0.0,0.0
2025-10-13 00:00:00-04:00,7.38,7.49,6.69,7.25,508600,0.0,0.0
2025-10-10 00:00:00-04:00,7.51,7.62,7.13,7.23,984000,0.0,0.0
2025-10-09 00:00:00-04:00,7.67,7.68,7.45,7.46,296700,0.0,0.0
2025-10-08 00:00:00-04:00,7.48,7.72,7.34,7.68,361700,0.0,0.0
2025-10-07 00:00:00-04:00,7.42,7.43,7.32,7.4,385500,0.0,0.0
