Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,5.83,5.8,5.27,5.79,3045132,0.0,0.0
2025-11-24 00:00:00-05:00,5.61,5.91,5.35,5.76,412414,0.0,0.0
2025-11-21 00:00:00-05:00,5.48,5.82,5.16,5.61,1624900,0.0,0.0
2025-11-20 00:00:00-05:00,5.43,5.55,5.17,5.33,714500,0.0,0.0
2025-11-19 00:00:00-05:00,5.22,5.5,5.17,5.29,222300,0.0,0.0
2025-11-18 00:00:00-05:00,5.16,5.32,5.05,5.22,302800,0.0,0.0
2025-11-17 00:00:00-05:00,5.35,5.35,5.11,5.2,307900,0.0,0.0
2025-11-14 00:00:00-05:00,5.0,5.45,5.0,5.36,1909500,0.0,0.0
2025-11-13 00:00:00-05:00,4.98,5.37,4.9,5.1,835500,0.0,0.0
2025-11-12 00:00:00-05:00,5.1,5.24,4.91,5.11,1185300,0.0,0.0
2025-11-11 00:00:00-05:00,5.32,5.45,5.15,5.15,81100,0.0,0.0
2025-11-10 00:00:00-05:00,5.3,5.47,5.02,5.32,244400,0.0,0.0
2025-11-07 00:00:00-05:00,4.96,5.35,4.7,5.35,954600,0.0,0.0
2025-11-06 00:00:00-05:00,4.95,5.1,4.86,4.91,71000,0.0,0.0
2025-11-05 00:00:00-05:00,4.9,5.05,4.78,4.95,173000,0.0,0.0
2025-11-04 00:00:00-05:00,4.85,5.21,4.8,4.9,225000,0.0,0.0
2025-11-03 00:00:00-05:00,4.85,5.08,4.74,5.0,849400,0.0,0.0
2025-10-31 00:00:00-04:00,4.91,5.2,4.78,4.91,332800,0.0,0.0
2025-10-30 00:00:00-04:00,4.79,4.9,4.45,4.87,1079700,0.0,0.0
2025-10-29 00:00:00-04:00,4.88,4.88,4.4,4.79,834100,0.0,0.0
2025-10-28 00:00:00-04:00,4.46,5.04,4.45,4.82,206900,0.0,0.0
2025-10-27 00:00:00-04:00,4.6,4.8,4.42,4.56,73800,0.0,0.0
2025-10-24 00:00:00-04:00,4.69,4.9,4.39,4.65,475700,0.0,0.0
2025-10-23 00:00:00-04:00,4.65,5.11,4.37,4.74,509400,0.0,0.0
2025-10-22 00:00:00-04:00,4.4,4.99,4.4,4.65,160500,0.0,0.0
2025-10-21 00:00:00-04:00,4.5,4.52,4.35,4.45,59300,0.0,0.0
2025-10-20 00:00:00-04:00,4.32,4.64,4.3,4.5,566700,0.0,0.0
2025-10-17 00:00:00-04:00,4.07,4.48,4.07,4.27,113800,0.0,0.0
2025-10-16 00:00:00-04:00,4.0,4.64,3.95,4.11,535000,0.0,0.0
2025-10-15 00:00:00-04:00,4.5,5.43,4.26,4.93,2748300,0.0,0.0
