Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-09 00:00:00-05:00,40.2,45.17,40.0,42.57,7962471,0.0,0.0
2025-12-08 00:00:00-05:00,31.53,45.0,30.12,40.23,13539100,0.0,0.0
2025-12-05 00:00:00-05:00,27.73,30.25,27.42,29.36,6237700,0.0,0.0
2025-12-04 00:00:00-05:00,27.22,28.17,26.53,27.13,3626100,0.0,0.0
2025-12-03 00:00:00-05:00,25.92,27.88,25.75,27.49,3750200,0.0,0.0
2025-12-02 00:00:00-05:00,27.79,27.9,25.67,25.79,2766900,0.0,0.0
2025-12-01 00:00:00-05:00,27.9,28.15,26.87,27.53,2656500,0.0,0.0
2025-11-28 00:00:00-05:00,28.99,29.0,28.11,28.11,1027000,0.0,0.0
2025-11-26 00:00:00-05:00,29.51,29.51,28.27,28.75,1952200,0.0,0.0
2025-11-25 00:00:00-05:00,28.8,29.38,27.41,29.34,4345500,0.0,0.0
2025-11-24 00:00:00-05:00,27.0,28.27,26.13,28.04,3442000,0.0,0.0
2025-11-21 00:00:00-05:00,25.99,26.51,25.31,26.32,2486600,0.0,0.0
2025-11-20 00:00:00-05:00,27.2,28.49,26.02,26.11,3405300,0.0,0.0
2025-11-19 00:00:00-05:00,27.48,28.25,26.44,27.12,4201700,0.0,0.0
2025-11-18 00:00:00-05:00,25.27,27.58,25.11,27.56,5335100,0.0,0.0
2025-11-17 00:00:00-05:00,22.63,26.12,22.63,25.56,8270200,0.0,0.0
2025-11-14 00:00:00-05:00,20.51,23.31,20.3,22.56,3930200,0.0,0.0
2025-11-13 00:00:00-05:00,20.48,21.48,20.24,20.73,2622000,0.0,0.0
2025-11-12 00:00:00-05:00,20.63,21.12,19.9,20.3,2541100,0.0,0.0
2025-11-11 00:00:00-05:00,18.8,21.03,18.75,20.58,3016000,0.0,0.0
2025-11-10 00:00:00-05:00,18.72,19.98,18.3,19.12,3375500,0.0,0.0
2025-11-07 00:00:00-05:00,18.0,18.5,17.39,18.47,3463500,0.0,0.0
2025-11-06 00:00:00-05:00,17.81,18.41,17.39,18.25,2748600,0.0,0.0
2025-11-05 00:00:00-05:00,17.16,18.6,16.83,18.19,4380400,0.0,0.0
2025-11-04 00:00:00-05:00,15.5,18.75,15.5,17.43,14162600,0.0,0.0
2025-11-03 00:00:00-05:00,14.05,16.27,12.77,14.03,33971800,0.0,0.0
2025-10-31 00:00:00-04:00,8.08,8.35,8.06,8.26,1029600,0.0,0.0
2025-10-30 00:00:00-04:00,7.91,8.59,7.87,8.16,2067300,0.0,0.0
2025-10-29 00:00:00-04:00,8.58,8.58,7.88,8.02,3109000,0.0,0.0
2025-10-28 00:00:00-04:00,8.03,8.87,7.78,8.59,2089200,0.0,0.0
2025-10-27 00:00:00-04:00,7.85,8.17,7.65,8.06,1605700,0.0,0.0
2025-10-24 00:00:00-04:00,7.41,7.86,7.12,7.77,1843200,0.0,0.0
2025-10-23 00:00:00-04:00,7.72,8.77,7.47,7.5,2044600,0.0,0.0
2025-10-22 00:00:00-04:00,7.14,8.23,6.99,8.14,4249700,0.0,0.0
2025-10-21 00:00:00-04:00,8.63,8.63,7.9,8.12,3235000,0.0,0.0
2025-10-20 00:00:00-04:00,8.53,8.74,8.44,8.62,664800,0.0,0.0
2025-10-17 00:00:00-04:00,8.44,8.74,8.22,8.41,787000,0.0,0.0
