Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-24 00:00:00-05:00,4.29,4.79,4.29,4.63,187007,0.0,0.0
2025-11-21 00:00:00-05:00,4.35,4.53,4.28,4.3,239290,0.0,0.0
2025-11-20 00:00:00-05:00,4.54,4.61,4.16,4.43,227700,0.0,0.0
2025-11-19 00:00:00-05:00,4.41,4.61,4.3,4.42,128600,0.0,0.0
2025-11-18 00:00:00-05:00,4.24,4.52,4.15,4.41,227700,0.0,0.0
2025-11-17 00:00:00-05:00,4.41,4.55,4.25,4.28,284400,0.0,0.0
2025-11-14 00:00:00-05:00,4.36,4.54,4.31,4.45,159300,0.0,0.0
2025-11-13 00:00:00-05:00,4.46,4.5,4.26,4.43,120900,0.0,0.0
2025-11-12 00:00:00-05:00,4.92,4.92,4.43,4.46,132200,0.0,0.0
2025-11-11 00:00:00-05:00,4.53,5.0,4.53,4.9,176200,0.0,0.0
2025-11-10 00:00:00-05:00,4.84,4.86,4.53,4.61,217100,0.0,0.0
2025-11-07 00:00:00-05:00,4.51,4.96,4.36,4.71,256000,0.0,0.0
2025-11-06 00:00:00-05:00,4.92,5.05,4.77,4.81,354600,0.0,0.0
2025-11-05 00:00:00-05:00,4.79,4.96,4.56,4.95,205400,0.0,0.0
2025-11-04 00:00:00-05:00,4.93,5.01,4.61,4.75,232400,0.0,0.0
2025-11-03 00:00:00-05:00,5.2,5.32,4.69,5.08,529000,0.0,0.0
2025-10-31 00:00:00-04:00,5.12,5.26,5.08,5.25,62300,0.0,0.0
2025-10-30 00:00:00-04:00,5.33,5.38,5.03,5.06,76500,0.0,0.0
2025-10-29 00:00:00-04:00,5.37,5.67,5.3,5.38,130700,0.0,0.0
2025-10-28 00:00:00-04:00,5.45,5.63,5.32,5.38,69600,0.0,0.0
2025-10-27 00:00:00-04:00,5.71,5.89,5.38,5.45,136000,0.0,0.0
2025-10-24 00:00:00-04:00,5.76,5.88,5.64,5.68,135700,0.0,0.0
2025-10-23 00:00:00-04:00,5.61,5.79,5.52,5.76,195400,0.0,0.0
2025-10-22 00:00:00-04:00,5.63,5.72,5.41,5.55,182800,0.0,0.0
2025-10-21 00:00:00-04:00,5.78,5.88,5.58,5.62,159100,0.0,0.0
2025-10-20 00:00:00-04:00,5.23,5.79,5.22,5.75,273900,0.0,0.0
2025-10-17 00:00:00-04:00,5.17,5.22,4.96,5.13,146000,0.0,0.0
2025-10-16 00:00:00-04:00,5.46,5.53,5.19,5.26,128600,0.0,0.0
2025-10-15 00:00:00-04:00,5.21,5.54,5.2,5.39,188000,0.0,0.0
2025-10-14 00:00:00-04:00,4.94,5.24,4.9,5.15,176200,0.0,0.0
2025-10-13 00:00:00-04:00,5.04,5.08,4.89,5.01,129400,0.0,0.0
2025-10-10 00:00:00-04:00,5.1,5.18,4.84,4.96,215800,0.0,0.0
2025-10-09 00:00:00-04:00,5.3,5.32,4.78,5.05,654000,0.0,0.0
2025-10-08 00:00:00-04:00,5.21,5.41,5.12,5.31,156100,0.0,0.0
2025-10-07 00:00:00-04:00,5.65,5.74,5.21,5.24,314300,0.0,0.0
2025-10-06 00:00:00-04:00,5.6,5.93,5.2,5.65,484000,0.0,0.0
2025-10-03 00:00:00-04:00,6.19,6.68,5.41,5.64,1035000,0.0,0.0
2025-10-02 00:00:00-04:00,6.42,6.53,5.99,6.15,196300,0.0,0.0
2025-10-01 00:00:00-04:00,6.12,6.43,6.08,6.37,251600,0.0,0.0
2025-09-30 00:00:00-04:00,5.65,6.24,5.53,6.19,263200,0.0,0.0
2025-09-29 00:00:00-04:00,6.1,6.18,5.61,5.65,296400,0.0,0.0
2025-09-26 00:00:00-04:00,5.86,6.17,5.64,6.07,354700,0.0,0.0
2025-09-25 00:00:00-04:00,5.76,6.4,5.45,5.79,826700,0.0,0.0
2025-09-24 00:00:00-04:00,5.19,6.03,4.96,5.67,804200,0.0,0.0
2025-09-23 00:00:00-04:00,5.42,5.5,5.1,5.17,325300,0.0,0.0
2025-09-22 00:00:00-04:00,4.84,5.44,4.79,5.32,493300,0.0,0.0
2025-09-19 00:00:00-04:00,4.65,4.79,4.56,4.64,231300,0.0,0.0
2025-09-18 00:00:00-04:00,4.44,4.75,4.27,4.64,234900,0.0,0.0
2025-09-17 00:00:00-04:00,4.52,4.66,4.24,4.4,266100,0.0,0.0
2025-09-16 00:00:00-04:00,4.53,4.72,4.35,4.52,248700,0.0,0.0
2025-09-15 00:00:00-04:00,4.45,4.59,4.23,4.53,200400,0.0,0.0
2025-09-12 00:00:00-04:00,4.58,4.58,4.2,4.45,215400,0.0,0.0
2025-09-11 00:00:00-04:00,3.97,4.54,3.94,4.47,322200,0.0,0.0
2025-09-10 00:00:00-04:00,4.25,4.25,3.95,3.96,167400,0.0,0.0
2025-09-09 00:00:00-04:00,4.33,4.41,4.13,4.25,153600,0.0,0.0
2025-09-08 00:00:00-04:00,4.37,4.37,4.28,4.35,86200,0.0,0.0
