Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-02 00:00:00-05:00,53.81,53.81,52.96,53.22,4339682,0.0,0.0
2025-12-01 00:00:00-05:00,54.37,54.94,53.52,53.66,5810100,0.0,0.0
2025-11-28 00:00:00-05:00,54.67,54.86,54.14,54.78,2111700,0.0,0.0
2025-11-26 00:00:00-05:00,54.27,55.03,54.2,54.63,3594900,0.0,0.0
2025-11-25 00:00:00-05:00,53.11,54.88,53.01,54.42,5930500,0.0,0.0
2025-11-24 00:00:00-05:00,53.57,54.09,52.58,53.03,16174200,0.23,0.0
2025-11-21 00:00:00-05:00,52.43,53.74,52.21,52.69,5548400,0.0,0.0
2025-11-20 00:00:00-05:00,52.34,53.14,52.02,52.41,4282900,0.0,0.0
2025-11-19 00:00:00-05:00,53.33,53.55,51.86,52.31,5590200,0.0,0.0
2025-11-18 00:00:00-05:00,52.62,53.63,51.79,53.3,7977400,0.0,0.0
2025-11-17 00:00:00-05:00,54.99,55.51,53.14,53.45,5655200,0.0,0.0
2025-11-14 00:00:00-05:00,55.75,56.13,55.11,55.18,4955300,0.0,0.0
2025-11-13 00:00:00-05:00,55.67,56.69,55.56,55.94,4264400,0.0,0.0
2025-11-12 00:00:00-05:00,55.64,55.88,54.69,55.74,4601900,0.0,0.0
2025-11-11 00:00:00-05:00,55.2,56.69,55.2,55.7,7143000,0.0,0.0
2025-11-10 00:00:00-05:00,53.97,55.72,53.69,55.22,6493100,0.0,0.0
2025-11-07 00:00:00-05:00,52.99,54.06,52.92,54.03,3585800,0.0,0.0
2025-11-06 00:00:00-05:00,53.14,53.49,52.65,52.87,4611900,0.0,0.0
2025-11-05 00:00:00-05:00,52.98,54.12,52.89,53.69,5992600,0.0,0.0
2025-11-04 00:00:00-05:00,52.26,53.04,51.84,52.82,4674300,0.0,0.0
2025-11-03 00:00:00-05:00,53.97,53.97,51.67,52.26,7643300,0.0,0.0
2025-10-31 00:00:00-04:00,53.69,54.02,53.21,53.87,3834800,0.0,0.0
2025-10-30 00:00:00-04:00,53.98,54.69,53.29,53.88,4235000,0.0,0.0
2025-10-29 00:00:00-04:00,54.94,55.04,53.75,54.0,4040900,0.0,0.0
2025-10-28 00:00:00-04:00,55.73,55.93,55.1,55.25,4042500,0.0,0.0
2025-10-27 00:00:00-04:00,56.03,56.29,55.51,56.13,4952800,0.0,0.0
2025-10-24 00:00:00-04:00,57.25,57.95,55.75,56.04,6354300,0.0,0.0
2025-10-23 00:00:00-04:00,52.97,57.96,52.92,56.11,14800100,0.0,0.0
2025-10-22 00:00:00-04:00,54.5,54.96,54.22,54.59,5468800,0.0,0.0
2025-10-21 00:00:00-04:00,54.76,55.32,54.4,54.53,4686200,0.0,0.0
2025-10-20 00:00:00-04:00,55.22,55.36,54.41,55.05,4503200,0.0,0.0
2025-10-17 00:00:00-04:00,55.15,55.37,54.66,54.96,3386300,0.0,0.0
2025-10-16 00:00:00-04:00,55.76,55.89,54.65,54.92,3952700,0.0,0.0
2025-10-15 00:00:00-04:00,55.3,56.33,55.26,55.57,6635500,0.0,0.0
2025-10-14 00:00:00-04:00,54.4,55.48,54.21,55.24,3767400,0.0,0.0
2025-10-13 00:00:00-04:00,54.13,55.03,54.06,54.67,5175600,0.0,0.0
2025-10-10 00:00:00-04:00,54.22,54.49,53.27,54.0,6006900,0.0,0.0
2025-10-09 00:00:00-04:00,55.1,55.91,53.48,53.98,6383400,0.0,0.0
2025-10-08 00:00:00-04:00,53.46,54.11,53.04,53.69,4646400,0.0,0.0
2025-10-07 00:00:00-04:00,54.35,54.54,53.03,53.48,4918800,0.0,0.0
2025-10-06 00:00:00-04:00,55.57,55.82,54.42,54.45,3802300,0.0,0.0
2025-10-03 00:00:00-04:00,55.86,56.04,55.19,55.59,3016000,0.0,0.0
2025-10-02 00:00:00-04:00,55.47,56.24,55.28,55.99,3875400,0.0,0.0
2025-10-01 00:00:00-04:00,56.67,57.24,55.65,55.68,5747500,0.0,0.0
2025-09-30 00:00:00-04:00,56.44,56.83,55.79,56.62,5084400,0.0,0.0
2025-09-29 00:00:00-04:00,56.41,56.54,55.74,56.44,3572000,0.0,0.0
2025-09-26 00:00:00-04:00,56.25,56.56,55.94,56.27,2999500,0.0,0.0
2025-09-25 00:00:00-04:00,56.85,56.95,55.99,56.17,4254600,0.0,0.0
2025-09-24 00:00:00-04:00,58.0,58.03,56.97,57.1,4808900,0.0,0.0
2025-09-23 00:00:00-04:00,58.06,58.42,57.81,58.31,3024500,0.0,0.0
2025-09-22 00:00:00-04:00,59.23,59.38,57.86,57.89,4335700,0.0,0.0
2025-09-19 00:00:00-04:00,59.78,59.89,58.78,59.4,6769900,0.0,0.0
2025-09-18 00:00:00-04:00,59.35,60.11,59.04,59.61,4153800,0.0,0.0
2025-09-17 00:00:00-04:00,58.93,59.75,58.63,58.84,3551300,0.0,0.0
2025-09-16 00:00:00-04:00,59.29,59.57,58.23,58.73,5254500,0.0,0.0
2025-09-15 00:00:00-04:00,60.27,60.6,59.29,59.35,6271000,0.0,0.0
2025-09-12 00:00:00-04:00,59.44,60.39,59.32,60.35,4395300,0.0,0.0
2025-09-11 00:00:00-04:00,58.29,60.0,58.22,59.76,3798700,0.0,0.0
2025-09-10 00:00:00-04:00,58.48,58.89,58.0,58.2,3129300,0.0,0.0
2025-09-09 00:00:00-04:00,59.54,59.7,58.56,58.82,3722000,0.0,0.0
2025-09-08 00:00:00-04:00,60.1,60.2,58.86,59.83,5475400,0.0,0.0
2025-09-05 00:00:00-04:00,60.52,60.61,59.8,60.26,3211800,0.0,0.0
2025-09-04 00:00:00-04:00,60.1,60.57,59.91,60.38,4677100,0.0,0.0
2025-09-03 00:00:00-04:00,61.04,61.28,59.73,59.88,6107600,0.0,0.0
2025-09-02 00:00:00-04:00,61.44,61.99,61.08,61.25,3230500,0.0,0.0
2025-08-29 00:00:00-04:00,62.38,62.6,61.36,61.49,5217400,0.0,0.0
2025-08-28 00:00:00-04:00,62.03,62.47,61.37,62.38,3708300,0.0,0.0
2025-08-27 00:00:00-04:00,61.58,62.62,61.53,62.11,3587600,0.0,0.0
2025-08-26 00:00:00-04:00,61.26,61.6,60.85,61.42,4276400,0.0,0.0
2025-08-25 00:00:00-04:00,61.19,61.94,60.74,61.25,3261800,0.23,0.0
2025-08-22 00:00:00-04:00,60.86,61.19,60.52,61.11,3230200,0.0,0.0
2025-08-21 00:00:00-04:00,60.31,60.79,60.01,60.51,2627500,0.0,0.0
2025-08-20 00:00:00-04:00,61.8,61.8,60.46,60.54,3477500,0.0,0.0
2025-08-19 00:00:00-04:00,60.75,62.14,60.75,61.78,4393100,0.0,0.0
2025-08-18 00:00:00-04:00,60.16,61.23,60.16,60.61,5652900,0.0,0.0
2025-08-15 00:00:00-04:00,59.35,60.06,59.31,60.0,3901500,0.0,0.0
2025-08-14 00:00:00-04:00,58.42,59.41,58.05,59.21,3984200,0.0,0.0
2025-08-13 00:00:00-04:00,58.97,59.46,58.58,59.25,5140700,0.0,0.0
2025-08-12 00:00:00-04:00,58.98,59.69,58.43,58.82,4822200,0.0,0.0
2025-08-11 00:00:00-04:00,58.89,59.44,58.38,59.05,4850000,0.0,0.0
2025-08-08 00:00:00-04:00,59.55,59.68,58.69,58.78,3277600,0.0,0.0
2025-08-07 00:00:00-04:00,60.01,60.31,59.01,59.54,2961500,0.0,0.0
2025-08-06 00:00:00-04:00,59.24,59.92,58.67,59.76,3831500,0.0,0.0
2025-08-05 00:00:00-04:00,59.03,59.58,58.74,59.29,3357400,0.0,0.0
2025-08-04 00:00:00-04:00,57.17,59.05,57.02,59.02,5391300,0.0,0.0
2025-08-01 00:00:00-04:00,56.56,57.2,55.04,57.17,5505300,0.0,0.0
2025-07-31 00:00:00-04:00,56.97,57.7,56.27,56.49,4179200,0.0,0.0
2025-07-30 00:00:00-04:00,58.27,58.27,57.04,57.36,4556400,0.0,0.0
2025-07-29 00:00:00-04:00,57.64,58.71,57.46,58.12,6466900,0.0,0.0
2025-07-28 00:00:00-04:00,58.52,58.77,57.31,57.64,7983200,0.0,0.0
2025-07-25 00:00:00-04:00,59.08,59.34,58.05,58.85,7589200,0.0,0.0
2025-07-24 00:00:00-04:00,63.44,63.47,57.51,58.86,15356100,0.0,0.0
2025-07-23 00:00:00-04:00,58.77,59.95,57.94,59.14,10420300,0.0,0.0
2025-07-22 00:00:00-04:00,56.89,58.67,56.71,58.5,4773800,0.0,0.0
2025-07-21 00:00:00-04:00,56.39,57.49,56.38,56.95,4681500,0.0,0.0
2025-07-18 00:00:00-04:00,56.63,56.66,55.53,56.12,4284600,0.0,0.0
2025-07-17 00:00:00-04:00,55.65,56.49,55.65,56.37,3863900,0.0,0.0
2025-07-16 00:00:00-04:00,56.2,56.21,54.25,55.59,6088800,0.0,0.0
2025-07-15 00:00:00-04:00,57.56,57.89,55.87,55.89,7496300,0.0,0.0
2025-07-14 00:00:00-04:00,56.09,57.6,55.99,57.57,4502300,0.0,0.0
2025-07-11 00:00:00-04:00,56.6,56.85,56.24,56.33,5881100,0.0,0.0
2025-07-10 00:00:00-04:00,56.56,57.59,56.35,56.98,5024100,0.0,0.0
2025-07-09 00:00:00-04:00,56.38,56.86,55.89,56.75,4659800,0.0,0.0
2025-07-08 00:00:00-04:00,56.1,56.4,55.01,56.31,5314600,0.0,0.0
2025-07-07 00:00:00-04:00,54.21,56.44,54.2,56.3,8825400,0.0,0.0
2025-07-03 00:00:00-04:00,54.7,54.7,53.74,54.19,2938400,0.0,0.0
2025-07-02 00:00:00-04:00,53.72,55.0,53.57,54.7,6040000,0.0,0.0
2025-07-01 00:00:00-04:00,52.04,54.14,51.83,53.64,7108300,0.0,0.0
2025-06-30 00:00:00-04:00,51.3,52.47,50.87,52.34,5371700,0.0,0.0
2025-06-27 00:00:00-04:00,51.58,52.09,50.93,51.29,9816900,0.0,0.0
2025-06-26 00:00:00-04:00,52.57,52.6,51.15,51.42,5582100,0.0,0.0
2025-06-25 00:00:00-04:00,52.97,52.98,52.01,52.37,7495900,0.0,0.0
2025-06-24 00:00:00-04:00,52.02,53.19,51.78,53.08,10189600,0.0,0.0
2025-06-23 00:00:00-04:00,52.25,53.31,52.07,53.23,4457500,0.0,0.0
2025-06-20 00:00:00-04:00,51.95,52.26,51.46,52.1,5733400,0.0,0.0
2025-06-18 00:00:00-04:00,50.68,51.96,50.6,51.61,4237600,0.0,0.0
2025-06-17 00:00:00-04:00,50.9,51.63,50.25,50.57,4923700,0.0,0.0
2025-06-16 00:00:00-04:00,51.69,51.73,50.98,51.27,4224000,0.0,0.0
2025-06-13 00:00:00-04:00,51.06,51.47,50.68,51.12,3688300,0.0,0.0
2025-06-12 00:00:00-04:00,50.8,51.67,50.58,51.32,4552000,0.0,0.0
2025-06-11 00:00:00-04:00,51.13,51.48,50.47,50.9,4278900,0.0,0.0
2025-06-10 00:00:00-04:00,50.23,51.1,50.09,51.06,5136600,0.0,0.0
2025-06-09 00:00:00-04:00,50.54,50.66,49.8,50.1,4970100,0.0,0.0
2025-06-06 00:00:00-04:00,51.35,51.56,50.2,50.53,6995100,0.0,0.0
2025-06-05 00:00:00-04:00,48.96,51.61,48.96,51.04,10694300,0.0,0.0
2025-06-04 00:00:00-04:00,48.85,49.82,48.68,48.94,7022200,0.0,0.0
2025-06-03 00:00:00-04:00,47.54,48.82,47.46,48.65,7440800,0.0,0.0
2025-06-02 00:00:00-04:00,47.65,47.69,46.86,47.47,6610800,0.0,0.0
2025-05-30 00:00:00-04:00,48.6,48.86,47.86,48.01,7785200,0.0,0.0
