Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,0.2,0.2,0.2,0.2,2967,0.0,0.0
2025-11-24 00:00:00-05:00,0.21,0.21,0.2,0.21,11100,0.0,0.0
2025-11-21 00:00:00-05:00,0.21,0.21,0.2,0.21,13400,0.0,0.0
2025-11-20 00:00:00-05:00,0.2,0.22,0.2,0.21,40500,0.0,0.0
2025-11-19 00:00:00-05:00,0.19,0.2,0.19,0.19,28200,0.0,0.0
2025-11-18 00:00:00-05:00,0.21,0.21,0.19,0.2,29900,0.0,0.0
2025-11-17 00:00:00-05:00,0.21,0.23,0.21,0.22,7300,0.0,0.0
2025-11-14 00:00:00-05:00,0.21,0.22,0.21,0.22,3900,0.0,0.0
2025-11-13 00:00:00-05:00,0.22,0.22,0.2,0.22,33500,0.0,0.0
2025-11-12 00:00:00-05:00,0.2,0.23,0.2,0.2,5400,0.0,0.0
2025-11-11 00:00:00-05:00,0.19,0.21,0.19,0.21,5400,0.0,0.0
2025-11-10 00:00:00-05:00,0.22,0.23,0.19,0.22,20900,0.0,0.0
2025-11-07 00:00:00-05:00,0.2,0.22,0.2,0.21,5100,0.0,0.0
2025-11-06 00:00:00-05:00,0.21,0.22,0.21,0.21,3600,0.0,0.0
2025-11-05 00:00:00-05:00,0.23,0.23,0.21,0.22,18200,0.0,0.0
2025-11-04 00:00:00-05:00,0.21,0.22,0.21,0.22,21400,0.0,0.0
2025-11-03 00:00:00-05:00,0.22,0.26,0.22,0.23,136300,0.0,0.0
2025-10-31 00:00:00-04:00,0.22,0.24,0.22,0.24,5600,0.0,0.0
2025-10-30 00:00:00-04:00,0.25,0.25,0.21,0.22,19700,0.0,0.0
2025-10-29 00:00:00-04:00,0.26,0.26,0.23,0.24,13100,0.0,0.0
2025-10-28 00:00:00-04:00,0.26,0.29,0.22,0.23,32300,0.0,0.0
2025-10-27 00:00:00-04:00,0.23,0.32,0.23,0.25,76600,0.0,0.0
2025-10-24 00:00:00-04:00,0.22,0.24,0.2,0.24,20300,0.0,0.0
2025-10-23 00:00:00-04:00,0.2,0.21,0.18,0.19,26800,0.0,0.0
2025-10-22 00:00:00-04:00,0.19,0.21,0.18,0.19,56500,0.0,0.0
2025-10-21 00:00:00-04:00,0.18,0.21,0.18,0.2,62500,0.0,0.0
2025-10-20 00:00:00-04:00,0.16,0.24,0.16,0.18,163100,0.0,0.0
2025-10-17 00:00:00-04:00,0.16,0.16,0.16,0.16,0,0.0,0.0
2025-10-16 00:00:00-04:00,0.15,0.17,0.15,0.16,57700,0.0,0.0
2025-10-15 00:00:00-04:00,0.14,0.17,0.14,0.14,95700,0.0,0.0
2025-10-14 00:00:00-04:00,0.16,0.19,0.15,0.15,171000,0.0,0.0
2025-10-13 00:00:00-04:00,0.14,0.17,0.14,0.17,108400,0.0,0.0
2025-10-10 00:00:00-04:00,0.14,0.14,0.13,0.14,16200,0.0,0.0
2025-10-09 00:00:00-04:00,0.15,0.15,0.13,0.13,28400,0.0,0.0
2025-10-08 00:00:00-04:00,0.17,0.19,0.15,0.15,53600,0.0,0.0
2025-10-07 00:00:00-04:00,0.18,0.18,0.15,0.16,24300,0.0,0.0
2025-10-06 00:00:00-04:00,0.15,0.2,0.14,0.15,32000,0.0,0.0
2025-10-03 00:00:00-04:00,0.13,0.15,0.13,0.15,13100,0.0,0.0
2025-10-02 00:00:00-04:00,0.12,0.15,0.11,0.13,25400,0.0,0.0
2025-10-01 00:00:00-04:00,0.1,0.12,0.1,0.12,34400,0.0,0.0
2025-09-30 00:00:00-04:00,0.1,0.12,0.1,0.11,62600,0.0,0.0
2025-09-29 00:00:00-04:00,0.11,0.11,0.11,0.11,12200,0.0,0.0
2025-09-26 00:00:00-04:00,0.1,0.11,0.09,0.11,37600,0.0,0.0
2025-09-25 00:00:00-04:00,0.09,0.1,0.09,0.09,24100,0.0,0.0
2025-09-24 00:00:00-04:00,0.1,0.12,0.09,0.09,15900,0.0,0.0
2025-09-23 00:00:00-04:00,0.09,0.11,0.09,0.11,5000,0.0,0.0
