Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-12-24 00:00:00-05:00,4.65,4.69,4.61,4.65,4285627,0.0,0.0
2025-12-23 00:00:00-05:00,4.82,4.86,4.62,4.63,9127900,0.0,0.0
2025-12-22 00:00:00-05:00,4.9,4.96,4.85,4.87,5695000,0.0,0.0
2025-12-19 00:00:00-05:00,4.8,4.93,4.77,4.87,24711700,0.0,0.0
2025-12-18 00:00:00-05:00,4.82,4.88,4.76,4.85,30738500,0.1,0.0
2025-12-17 00:00:00-05:00,4.71,4.91,4.64,4.75,42108800,0.0,0.0
2025-12-16 00:00:00-05:00,5.11,5.14,4.91,5.01,10710200,0.0,0.0
2025-12-15 00:00:00-05:00,5.32,5.32,4.99,5.16,12576000,0.0,0.0
2025-12-12 00:00:00-05:00,5.46,5.5,5.26,5.27,4558200,0.0,0.0
2025-12-11 00:00:00-05:00,5.57,5.7,5.45,5.46,7176900,0.0,0.0
2025-12-10 00:00:00-05:00,5.41,5.58,5.38,5.49,10048700,0.0,0.0
2025-12-09 00:00:00-05:00,5.52,5.53,5.38,5.44,5671800,0.0,0.0
2025-12-08 00:00:00-05:00,5.61,5.64,5.47,5.52,8175200,0.0,0.0
2025-12-05 00:00:00-05:00,5.65,5.81,5.53,5.61,8417600,0.0,0.0
2025-12-04 00:00:00-05:00,5.52,5.69,5.51,5.68,6679300,0.0,0.0
2025-12-03 00:00:00-05:00,5.56,5.68,5.51,5.55,5473500,0.0,0.0
2025-12-02 00:00:00-05:00,5.79,5.85,5.51,5.52,7999700,0.0,0.0
2025-12-01 00:00:00-05:00,5.57,5.8,5.54,5.74,9650700,0.0,0.0
2025-11-28 00:00:00-05:00,5.69,5.78,5.65,5.73,3712200,0.0,0.0
2025-11-26 00:00:00-05:00,5.58,5.77,5.56,5.65,6586000,0.0,0.0
2025-11-25 00:00:00-05:00,5.17,5.62,5.17,5.6,11486400,0.0,0.0
2025-11-24 00:00:00-05:00,5.11,5.15,5.02,5.14,6557700,0.0,0.0
2025-11-21 00:00:00-05:00,4.8,5.07,4.8,5.04,9706700,0.0,0.0
2025-11-20 00:00:00-05:00,4.97,5.12,4.74,4.75,8910900,0.0,0.0
2025-11-19 00:00:00-05:00,4.89,4.92,4.77,4.9,7262200,0.0,0.0
2025-11-18 00:00:00-05:00,4.8,4.92,4.71,4.86,8429600,0.0,0.0
2025-11-17 00:00:00-05:00,4.99,5.0,4.72,4.8,12410800,0.0,0.0
2025-11-14 00:00:00-05:00,4.96,5.07,4.91,4.99,7611600,0.0,0.0
2025-11-13 00:00:00-05:00,5.39,5.42,5.01,5.03,10896500,0.0,0.0
2025-11-12 00:00:00-05:00,5.41,5.45,5.26,5.4,8213000,0.0,0.0
2025-11-11 00:00:00-05:00,5.34,5.41,5.24,5.36,11959100,0.0,0.0
