Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-25 00:00:00-05:00,10.11,10.15,10.1,10.14,727115,0.0,0.0
2025-11-24 00:00:00-05:00,10.12,10.13,10.12,10.13,37019,0.0,0.0
2025-11-21 00:00:00-05:00,10.13,10.15,10.11,10.11,61815,0.0,0.0
2025-11-20 00:00:00-05:00,10.16,10.17,10.13,10.14,160900,0.0,0.0
2025-11-19 00:00:00-05:00,10.18,10.22,10.17,10.17,173500,0.0,0.0
2025-11-18 00:00:00-05:00,10.18,10.2,10.18,10.19,3500,0.0,0.0
2025-11-17 00:00:00-05:00,10.2,10.2,10.18,10.19,74500,0.0,0.0
2025-11-14 00:00:00-05:00,10.25,10.25,10.19,10.2,37900,0.0,0.0
2025-11-13 00:00:00-05:00,10.25,10.25,10.21,10.22,500,0.0,0.0
2025-11-12 00:00:00-05:00,10.22,10.24,10.21,10.23,553800,0.0,0.0
2025-11-11 00:00:00-05:00,10.24,10.24,10.21,10.21,19300,0.0,0.0
2025-11-10 00:00:00-05:00,10.25,10.25,10.21,10.24,32800,0.0,0.0
2025-11-07 00:00:00-05:00,10.23,10.25,10.23,10.25,200,0.0,0.0
2025-11-06 00:00:00-05:00,10.26,10.26,10.21,10.23,49600,0.0,0.0
2025-11-05 00:00:00-05:00,10.26,10.26,10.22,10.22,400,0.0,0.0
2025-11-04 00:00:00-05:00,10.25,10.25,10.22,10.22,10100,0.0,0.0
2025-11-03 00:00:00-05:00,10.25,10.29,10.23,10.23,40500,0.0,0.0
2025-10-31 00:00:00-04:00,10.24,10.24,10.24,10.24,2200,0.0,0.0
2025-10-30 00:00:00-04:00,10.29,10.29,10.24,10.25,100600,0.0,0.0
2025-10-29 00:00:00-04:00,10.25,10.26,10.24,10.25,88000,0.0,0.0
2025-10-28 00:00:00-04:00,10.29,10.29,10.25,10.25,400,0.0,0.0
2025-10-27 00:00:00-04:00,10.28,10.31,10.25,10.25,800,0.0,0.0
2025-10-24 00:00:00-04:00,10.3,10.31,10.26,10.27,89800,0.0,0.0
2025-10-23 00:00:00-04:00,10.29,10.29,10.24,10.24,600,0.0,0.0
2025-10-22 00:00:00-04:00,10.33,10.33,10.22,10.23,32100,0.0,0.0
2025-10-21 00:00:00-04:00,10.33,10.33,10.28,10.28,3500,0.0,0.0
2025-10-20 00:00:00-04:00,10.35,10.35,10.29,10.3,18100,0.0,0.0
2025-10-17 00:00:00-04:00,10.35,10.35,10.33,10.33,700,0.0,0.0
2025-10-16 00:00:00-04:00,10.35,10.35,10.28,10.28,21400,0.0,0.0
2025-10-15 00:00:00-04:00,10.21,10.37,10.21,10.34,58700,0.0,0.0
2025-10-14 00:00:00-04:00,10.17,10.23,10.17,10.2,39600,0.0,0.0
2025-10-13 00:00:00-04:00,10.2,10.2,10.17,10.19,73000,0.0,0.0
2025-10-10 00:00:00-04:00,10.2,10.2,10.2,10.2,0,0.0,0.0
2025-10-09 00:00:00-04:00,10.21,10.23,10.18,10.2,1600,0.0,0.0
2025-10-08 00:00:00-04:00,10.2,10.2,10.18,10.18,9900,0.0,0.0
2025-10-07 00:00:00-04:00,10.2,10.23,10.15,10.19,26800,0.0,0.0
2025-10-06 00:00:00-04:00,10.15,10.2,10.15,10.19,5300,0.0,0.0
2025-10-03 00:00:00-04:00,10.2,10.2,10.15,10.15,27700,0.0,0.0
2025-10-02 00:00:00-04:00,10.16,10.19,10.16,10.16,9700,0.0,0.0
2025-10-01 00:00:00-04:00,10.15,10.19,10.15,10.17,27600,0.0,0.0
2025-09-30 00:00:00-04:00,10.14,10.15,10.12,10.12,14800,0.0,0.0
2025-09-29 00:00:00-04:00,10.14,10.15,10.1,10.13,112500,0.0,0.0
2025-09-26 00:00:00-04:00,10.11,10.15,10.11,10.11,7900,0.0,0.0
2025-09-25 00:00:00-04:00,10.11,10.12,10.1,10.11,89600,0.0,0.0
2025-09-24 00:00:00-04:00,10.13,10.13,10.12,10.13,14900,0.0,0.0
2025-09-23 00:00:00-04:00,10.15,10.15,10.11,10.12,30600,0.0,0.0
2025-09-22 00:00:00-04:00,10.15,10.16,10.1,10.12,314800,0.0,0.0
2025-09-19 00:00:00-04:00,10.19,10.19,10.15,10.16,1100,0.0,0.0
2025-09-18 00:00:00-04:00,10.19,10.19,10.15,10.16,1800,0.0,0.0
2025-09-17 00:00:00-04:00,10.18,10.19,10.15,10.16,1100,0.0,0.0
2025-09-16 00:00:00-04:00,10.15,10.17,10.14,10.15,173900,0.0,0.0
2025-09-15 00:00:00-04:00,10.14,10.18,10.14,10.17,25600,0.0,0.0
2025-09-12 00:00:00-04:00,10.18,10.18,10.16,10.18,5700,0.0,0.0
2025-09-11 00:00:00-04:00,10.15,10.16,10.14,10.14,27700,0.0,0.0
2025-09-10 00:00:00-04:00,10.2,10.2,10.14,10.14,2400,0.0,0.0
2025-09-09 00:00:00-04:00,10.15,10.16,10.14,10.15,185000,0.0,0.0
2025-09-08 00:00:00-04:00,10.14,10.15,10.14,10.14,432800,0.0,0.0
2025-09-05 00:00:00-04:00,10.13,10.13,10.12,10.12,5500,0.0,0.0
2025-09-04 00:00:00-04:00,10.13,10.13,10.13,10.13,83800,0.0,0.0
2025-09-03 00:00:00-04:00,10.15,10.15,10.13,10.13,2400,0.0,0.0
2025-09-02 00:00:00-04:00,10.13,10.14,10.13,10.13,16900,0.0,0.0
2025-08-29 00:00:00-04:00,10.18,10.18,10.13,10.13,8700,0.0,0.0
2025-08-28 00:00:00-04:00,10.17,10.18,10.13,10.14,30300,0.0,0.0
2025-08-27 00:00:00-04:00,10.13,10.15,10.12,10.13,499700,0.0,0.0
2025-08-26 00:00:00-04:00,10.12,10.14,10.12,10.13,257100,0.0,0.0
2025-08-25 00:00:00-04:00,10.12,10.14,10.12,10.14,1700,0.0,0.0
2025-08-22 00:00:00-04:00,10.11,10.14,10.1,10.13,46800,0.0,0.0
2025-08-21 00:00:00-04:00,10.14,10.15,10.11,10.14,495100,0.0,0.0
2025-08-20 00:00:00-04:00,10.1,10.14,10.1,10.14,105500,0.0,0.0
2025-08-19 00:00:00-04:00,10.1,10.11,10.09,10.11,437300,0.0,0.0
2025-08-18 00:00:00-04:00,10.18,10.18,10.09,10.1,196200,0.0,0.0
2025-08-15 00:00:00-04:00,10.11,10.17,10.11,10.13,28100,0.0,0.0
2025-08-14 00:00:00-04:00,10.11,10.25,10.11,10.17,50500,0.0,0.0
2025-08-13 00:00:00-04:00,10.16,10.21,10.06,10.08,366700,0.0,0.0
2025-08-12 00:00:00-04:00,10.16,10.17,10.15,10.15,44400,0.0,0.0
2025-08-11 00:00:00-04:00,10.15,10.22,10.15,10.21,117000,0.0,0.0
2025-08-08 00:00:00-04:00,10.19,10.22,10.19,10.19,34300,0.0,0.0
2025-08-07 00:00:00-04:00,10.23,10.3,9.67,10.22,107600,0.0,0.0
