Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,88.01,90.94,87.28,90.51,355058,0.0,0.0
2025-11-20 00:00:00-05:00,89.29,89.6,87.43,87.81,433700,0.0,0.0
2025-11-19 00:00:00-05:00,90.47,91.1,88.76,88.82,630600,0.0,0.0
2025-11-18 00:00:00-05:00,88.92,90.7,88.36,90.7,596900,0.0,0.0
2025-11-17 00:00:00-05:00,91.02,91.02,88.69,89.05,530100,0.0,0.0
2025-11-14 00:00:00-05:00,90.24,91.77,89.98,91.03,500600,0.0,0.0
2025-11-13 00:00:00-05:00,91.88,93.43,90.48,91.23,846700,0.0,0.0
2025-11-12 00:00:00-05:00,93.11,95.0,91.71,93.08,807500,0.0,0.0
2025-11-11 00:00:00-05:00,89.09,93.71,88.68,93.31,829900,0.0,0.0
2025-11-10 00:00:00-05:00,90.0,90.31,88.21,89.15,660200,0.0,0.0
2025-11-07 00:00:00-05:00,85.13,89.12,84.48,89.0,894900,0.0,0.0
2025-11-06 00:00:00-05:00,95.16,97.1,86.68,86.91,1499700,0.0,0.0
2025-11-05 00:00:00-05:00,82.18,83.22,81.05,82.11,904200,0.0,0.0
2025-11-04 00:00:00-05:00,84.16,84.43,81.43,81.87,633800,0.0,0.0
2025-11-03 00:00:00-05:00,85.32,85.38,83.63,84.83,646600,0.0,0.0
2025-10-31 00:00:00-04:00,86.21,87.07,84.0,85.01,959200,0.0,0.0
2025-10-30 00:00:00-04:00,86.15,87.81,85.9,86.53,471500,0.0,0.0
2025-10-29 00:00:00-04:00,88.69,89.54,85.55,86.72,694000,0.0,0.0
2025-10-28 00:00:00-04:00,88.75,89.74,88.49,88.97,672100,0.0,0.0
2025-10-27 00:00:00-04:00,89.23,90.46,87.99,88.52,542300,0.0,0.0
2025-10-24 00:00:00-04:00,90.57,91.69,89.15,89.19,435900,0.0,0.0
2025-10-23 00:00:00-04:00,88.48,89.76,86.16,89.68,354400,0.0,0.0
2025-10-22 00:00:00-04:00,90.56,91.22,88.53,88.53,828600,0.0,0.0
2025-10-21 00:00:00-04:00,89.25,91.52,89.25,91.05,536400,0.0,0.0
2025-10-20 00:00:00-04:00,88.5,89.73,88.27,89.53,611000,0.0,0.0
2025-10-17 00:00:00-04:00,86.2,88.26,86.2,87.79,486500,0.0,0.0
2025-10-16 00:00:00-04:00,86.87,88.5,86.36,87.25,1023300,0.0,0.0
2025-10-15 00:00:00-04:00,88.26,88.48,85.56,86.28,786800,0.0,0.0
2025-10-14 00:00:00-04:00,87.44,88.94,85.52,87.48,1075900,0.0,0.0
2025-10-13 00:00:00-04:00,86.52,89.23,85.03,88.5,1098500,0.0,0.0
2025-10-10 00:00:00-04:00,87.81,88.0,86.04,86.96,1893200,0.0,0.0
2025-10-09 00:00:00-04:00,88.26,88.65,86.5,87.11,707200,0.0,0.0
2025-10-08 00:00:00-04:00,86.25,88.82,84.81,88.75,460100,0.0,0.0
2025-10-07 00:00:00-04:00,89.07,89.34,84.81,85.57,1237400,0.0,0.0
2025-10-06 00:00:00-04:00,88.33,89.19,86.51,88.91,675000,0.0,0.0
2025-10-03 00:00:00-04:00,87.5,88.37,86.69,87.8,582700,0.0,0.0
2025-10-02 00:00:00-04:00,84.23,87.47,83.81,87.46,817900,0.0,0.0
2025-10-01 00:00:00-04:00,86.08,86.59,82.68,84.08,864000,0.0,0.0
2025-09-30 00:00:00-04:00,86.52,86.52,83.81,86.08,863700,0.0,0.0
2025-09-29 00:00:00-04:00,86.2,93.0,84.96,85.21,1019500,0.0,0.0
2025-09-26 00:00:00-04:00,83.86,85.92,83.5,85.79,773200,0.0,0.0
2025-09-25 00:00:00-04:00,83.12,84.21,81.88,83.73,846500,0.0,0.0
2025-09-24 00:00:00-04:00,83.86,85.14,83.08,83.88,758800,0.0,0.0
2025-09-23 00:00:00-04:00,82.95,84.02,82.36,83.37,733500,0.0,0.0
2025-09-22 00:00:00-04:00,79.55,83.71,78.55,82.76,748800,0.0,0.0
2025-09-19 00:00:00-04:00,79.83,80.41,78.97,79.66,1335200,0.0,0.0
2025-09-18 00:00:00-04:00,82.07,83.07,80.4,80.54,643000,0.0,0.0
2025-09-17 00:00:00-04:00,79.7,82.24,79.36,81.39,733400,0.0,0.0
2025-09-16 00:00:00-04:00,78.26,79.46,77.54,79.16,816100,0.0,0.0
2025-09-15 00:00:00-04:00,77.58,79.17,77.33,78.26,1028900,0.0,0.0
2025-09-12 00:00:00-04:00,78.14,78.68,76.47,77.48,645100,0.0,0.0
2025-09-11 00:00:00-04:00,76.62,78.6,75.82,78.44,424700,0.0,0.0
2025-09-10 00:00:00-04:00,77.92,78.38,75.07,75.62,802600,0.0,0.0
2025-09-09 00:00:00-04:00,81.01,81.19,77.18,77.18,754700,0.0,0.0
2025-09-08 00:00:00-04:00,79.77,81.67,78.96,81.37,876000,0.0,0.0
2025-09-05 00:00:00-04:00,77.46,80.16,77.24,79.93,855400,0.0,0.0
2025-09-04 00:00:00-04:00,76.79,77.54,75.9,76.05,658300,0.0,0.0
2025-09-03 00:00:00-04:00,77.25,78.26,76.65,77.78,686700,0.0,0.0
2025-09-02 00:00:00-04:00,80.48,82.1,76.29,77.29,1608400,0.0,0.0
2025-08-29 00:00:00-04:00,81.22,82.66,81.21,82.24,651600,0.0,0.0
2025-08-28 00:00:00-04:00,80.67,81.03,80.0,80.75,930600,0.0,0.0
2025-08-27 00:00:00-04:00,78.82,80.58,78.52,80.37,749200,0.0,0.0
2025-08-26 00:00:00-04:00,78.7,79.75,78.49,78.49,567300,0.0,0.0
2025-08-25 00:00:00-04:00,79.79,80.11,78.04,78.57,632600,0.0,0.0
2025-08-22 00:00:00-04:00,77.17,80.17,76.29,79.98,974200,0.0,0.0
2025-08-21 00:00:00-04:00,76.06,76.84,75.23,76.83,437100,0.0,0.0
2025-08-20 00:00:00-04:00,76.93,77.58,75.66,76.46,634900,0.0,0.0
2025-08-19 00:00:00-04:00,77.22,78.0,76.31,77.09,554100,0.0,0.0
2025-08-18 00:00:00-04:00,75.07,76.92,74.19,76.82,860700,0.0,0.0
2025-08-15 00:00:00-04:00,73.22,74.88,72.94,74.75,707400,0.0,0.0
2025-08-14 00:00:00-04:00,74.25,74.46,72.63,72.92,530000,0.0,0.0
2025-08-13 00:00:00-04:00,73.54,75.68,73.11,74.84,1109400,0.0,0.0
2025-08-12 00:00:00-04:00,72.25,73.7,71.11,72.92,1014200,0.0,0.0
2025-08-11 00:00:00-04:00,73.69,75.43,71.9,71.98,723800,0.0,0.0
2025-08-08 00:00:00-04:00,75.49,76.54,73.1,73.56,946800,0.0,0.0
2025-08-07 00:00:00-04:00,78.28,79.32,75.24,75.94,981900,0.0,0.0
2025-08-06 00:00:00-04:00,79.18,80.29,77.66,77.95,953800,0.0,0.0
2025-08-05 00:00:00-04:00,82.83,84.0,78.48,78.84,1268600,0.0,0.0
2025-08-04 00:00:00-04:00,85.0,85.7,81.64,82.84,1704700,0.0,0.0
