Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,29.85,31.27,29.76,30.69,2602900,0.0,0.0
2025-11-20 00:00:00-05:00,28.99,30.8,28.0,29.69,4264000,0.0,0.0
2025-11-19 00:00:00-05:00,29.94,31.07,29.85,30.5,3797400,0.19,0.0
2025-11-18 00:00:00-05:00,30.04,30.27,29.76,29.81,2628600,0.0,0.0
2025-11-17 00:00:00-05:00,30.19,30.51,29.87,30.25,1675200,0.0,0.0
2025-11-14 00:00:00-05:00,30.04,30.23,29.82,30.16,1274200,0.0,0.0
2025-11-13 00:00:00-05:00,30.45,30.58,30.02,30.15,948900,0.0,0.0
2025-11-12 00:00:00-05:00,30.2,30.59,29.96,30.55,983100,0.0,0.0
2025-11-11 00:00:00-05:00,29.73,30.5,29.67,30.23,1921200,0.0,0.0
2025-11-10 00:00:00-05:00,30.03,30.05,29.48,29.61,1452800,0.0,0.0
2025-11-07 00:00:00-05:00,29.36,30.05,29.31,30.04,1420600,0.0,0.0
2025-11-06 00:00:00-05:00,29.58,29.77,29.32,29.56,1516600,0.0,0.0
2025-11-05 00:00:00-05:00,30.13,30.3,29.56,29.63,1339300,0.0,0.0
2025-11-04 00:00:00-05:00,30.01,30.46,29.54,30.17,1623500,0.0,0.0
2025-11-03 00:00:00-05:00,31.53,31.58,30.47,30.62,1811000,0.0,0.0
2025-10-31 00:00:00-04:00,31.49,31.95,31.37,31.76,1600800,0.0,0.0
2025-10-30 00:00:00-04:00,31.12,31.81,30.76,31.59,2655400,0.0,0.0
2025-10-29 00:00:00-04:00,31.74,31.74,31.0,31.12,2055200,0.0,0.0
2025-10-28 00:00:00-04:00,32.05,32.16,31.39,31.89,2108800,0.0,0.0
2025-10-27 00:00:00-04:00,32.8,32.8,31.46,32.12,2823200,0.0,0.0
2025-10-24 00:00:00-04:00,33.34,33.38,32.48,32.61,1428500,0.0,0.0
2025-10-23 00:00:00-04:00,33.14,33.5,33.1,33.14,1118100,0.0,0.0
2025-10-22 00:00:00-04:00,33.11,33.53,32.99,33.0,1037700,0.0,0.0
2025-10-21 00:00:00-04:00,33.09,33.7,32.49,33.23,2894100,0.0,0.0
2025-10-20 00:00:00-04:00,32.69,33.18,32.65,33.09,1732500,0.0,0.0
2025-10-17 00:00:00-04:00,32.17,32.8,31.67,32.79,2753600,0.0,0.0
2025-10-16 00:00:00-04:00,32.29,32.44,31.72,32.27,1815300,0.0,0.0
2025-10-15 00:00:00-04:00,32.46,33.28,32.2,32.22,1844400,0.0,0.0
2025-10-14 00:00:00-04:00,32.15,32.44,31.63,32.37,2559400,0.0,0.0
2025-10-13 00:00:00-04:00,31.95,32.38,31.83,31.95,1307400,0.0,0.0
2025-10-10 00:00:00-04:00,31.99,32.19,31.5,31.88,1781100,0.0,0.0
2025-10-09 00:00:00-04:00,32.33,32.45,31.55,31.9,2761800,0.0,0.0
2025-10-08 00:00:00-04:00,32.62,33.1,32.42,32.44,1419600,0.0,0.0
2025-10-07 00:00:00-04:00,33.33,33.33,32.28,32.51,1783000,0.0,0.0
2025-10-06 00:00:00-04:00,33.65,34.09,33.18,33.44,1688900,0.0,0.0
2025-10-03 00:00:00-04:00,33.9,34.0,33.43,33.64,1493400,0.0,0.0
2025-10-02 00:00:00-04:00,34.1,34.23,33.78,33.97,961800,0.0,0.0
2025-10-01 00:00:00-04:00,33.84,34.41,33.68,34.02,1893700,0.0,0.0
2025-09-30 00:00:00-04:00,33.57,33.97,33.42,33.84,1935800,0.0,0.0
2025-09-29 00:00:00-04:00,33.28,33.65,33.0,33.58,1760200,0.0,0.0
2025-09-26 00:00:00-04:00,33.15,33.26,32.97,33.09,1534800,0.0,0.0
2025-09-25 00:00:00-04:00,33.22,33.22,32.76,33.08,842900,0.0,0.0
2025-09-24 00:00:00-04:00,33.12,33.54,33.08,33.22,1289800,0.0,0.0
2025-09-23 00:00:00-04:00,32.93,33.23,32.81,33.1,2286800,0.0,0.0
2025-09-22 00:00:00-04:00,33.19,33.26,32.79,32.95,2338500,0.0,0.0
2025-09-19 00:00:00-04:00,33.6,33.65,32.96,33.33,2996400,0.0,0.0
2025-09-18 00:00:00-04:00,33.0,34.01,32.87,33.6,2535500,0.0,0.0
2025-09-17 00:00:00-04:00,33.11,33.29,32.83,33.0,1735800,0.0,0.0
2025-09-16 00:00:00-04:00,33.2,33.31,33.01,33.15,1510900,0.0,0.0
2025-09-15 00:00:00-04:00,33.46,33.67,33.21,33.31,1133800,0.0,0.0
2025-09-12 00:00:00-04:00,34.02,34.18,33.31,33.41,1572100,0.0,0.0
2025-09-11 00:00:00-04:00,33.47,34.09,33.47,34.02,1123600,0.0,0.0
2025-09-10 00:00:00-04:00,33.29,33.68,33.09,33.63,1153900,0.0,0.0
2025-09-09 00:00:00-04:00,33.77,33.77,33.26,33.27,1192000,0.0,0.0
2025-09-08 00:00:00-04:00,32.59,33.64,32.4,33.5,1662800,0.0,0.0
2025-09-05 00:00:00-04:00,32.63,32.91,32.34,32.48,2289900,0.0,0.0
2025-09-04 00:00:00-04:00,33.09,33.25,32.55,32.6,1860200,0.0,0.0
2025-09-03 00:00:00-04:00,33.01,33.15,32.69,32.93,1196100,0.0,0.0
2025-09-02 00:00:00-04:00,32.84,33.09,32.37,32.9,1883900,0.0,0.0
2025-08-29 00:00:00-04:00,33.17,33.26,33.02,33.14,918600,0.0,0.0
2025-08-28 00:00:00-04:00,33.76,33.77,32.92,33.19,1136100,0.0,0.0
2025-08-27 00:00:00-04:00,33.13,33.81,33.13,33.71,2191400,0.0,0.0
2025-08-26 00:00:00-04:00,33.83,34.09,33.16,33.23,1796100,0.0,0.0
2025-08-25 00:00:00-04:00,33.49,34.23,33.49,33.85,2080000,0.0,0.0
2025-08-22 00:00:00-04:00,32.61,33.79,32.4,33.56,4293800,0.0,0.0
2025-08-21 00:00:00-04:00,32.23,32.54,32.23,32.34,2600400,0.0,0.0
2025-08-20 00:00:00-04:00,32.15,32.59,32.04,32.23,1906500,0.19,0.0
2025-08-19 00:00:00-04:00,32.01,32.27,32.0,32.05,1643900,0.0,0.0
2025-08-18 00:00:00-04:00,32.13,32.18,31.77,31.98,1501400,0.0,0.0
2025-08-15 00:00:00-04:00,31.99,32.62,31.77,32.13,2472700,0.0,0.0
2025-08-14 00:00:00-04:00,31.55,32.21,31.41,31.86,2107200,0.0,0.0
2025-08-13 00:00:00-04:00,31.21,31.98,31.17,31.7,2311900,0.0,0.0
2025-08-12 00:00:00-04:00,31.31,31.38,30.95,31.17,2479800,0.0,0.0
2025-08-11 00:00:00-04:00,31.27,31.9,30.96,31.26,2542200,0.0,0.0
2025-08-08 00:00:00-04:00,30.8,31.52,30.5,31.32,2555900,0.0,0.0
2025-08-07 00:00:00-04:00,30.38,31.01,29.52,30.77,6255100,0.0,0.0
2025-08-06 00:00:00-04:00,29.52,29.83,29.24,29.67,3591200,0.0,0.0
