Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,3.73,3.78,3.58,3.75,249746,0.0,0.0
2025-11-20 00:00:00-05:00,3.71,3.85,3.57,3.7,644700,0.0,0.0
2025-11-19 00:00:00-05:00,3.6,3.79,3.5,3.65,575400,0.0,0.0
2025-11-18 00:00:00-05:00,3.63,3.66,3.5,3.6,528000,0.0,0.0
2025-11-17 00:00:00-05:00,3.64,3.86,3.61,3.66,579200,0.0,0.0
2025-11-14 00:00:00-05:00,3.62,3.73,3.61,3.66,282100,0.0,0.0
2025-11-13 00:00:00-05:00,3.81,3.85,3.66,3.73,278000,0.0,0.0
2025-11-12 00:00:00-05:00,3.53,3.89,3.5,3.87,620700,0.0,0.0
2025-11-11 00:00:00-05:00,3.6,3.63,3.49,3.53,573800,0.0,0.0
2025-11-10 00:00:00-05:00,3.71,3.86,3.6,3.63,517900,0.0,0.0
2025-11-07 00:00:00-05:00,3.48,3.76,3.26,3.71,638400,0.0,0.0
2025-11-06 00:00:00-05:00,3.62,3.69,3.43,3.51,528100,0.0,0.0
2025-11-05 00:00:00-05:00,3.72,3.9,3.55,3.55,720900,0.0,0.0
2025-11-04 00:00:00-05:00,4.0,4.12,3.94,3.97,694200,0.0,0.0
2025-11-03 00:00:00-05:00,4.03,4.15,3.95,4.09,815200,0.0,0.0
2025-10-31 00:00:00-04:00,3.99,4.11,3.91,4.04,649300,0.0,0.0
2025-10-30 00:00:00-04:00,3.74,4.02,3.72,3.99,1745900,0.0,0.0
2025-10-29 00:00:00-04:00,3.82,3.89,3.72,3.74,1300300,0.0,0.0
2025-10-28 00:00:00-04:00,3.95,3.96,3.67,3.81,1612400,0.0,0.0
2025-10-27 00:00:00-04:00,3.73,3.97,3.66,3.74,677900,0.0,0.0
2025-10-24 00:00:00-04:00,3.35,4.54,3.28,3.8,22120400,0.0,0.0
2025-10-23 00:00:00-04:00,3.09,3.19,3.05,3.09,270300,0.0,0.0
2025-10-22 00:00:00-04:00,3.13,3.18,2.96,3.1,177700,0.0,0.0
2025-10-21 00:00:00-04:00,3.15,3.2,3.07,3.14,107600,0.0,0.0
2025-10-20 00:00:00-04:00,2.96,3.21,2.95,3.14,450500,0.0,0.0
2025-10-17 00:00:00-04:00,2.97,2.99,2.89,2.97,123700,0.0,0.0
2025-10-16 00:00:00-04:00,2.87,3.01,2.82,2.97,394200,0.0,0.0
2025-10-15 00:00:00-04:00,3.0,3.06,2.8,2.86,499800,0.0,0.0
2025-10-14 00:00:00-04:00,3.01,3.03,2.91,2.97,377700,0.0,0.0
2025-10-13 00:00:00-04:00,3.11,3.19,3.03,3.06,140000,0.0,0.0
2025-10-10 00:00:00-04:00,3.3,3.42,3.07,3.09,583600,0.0,0.0
2025-10-09 00:00:00-04:00,3.35,3.5,3.26,3.43,442800,0.0,0.0
2025-10-08 00:00:00-04:00,3.44,3.57,3.27,3.32,438500,0.0,0.0
2025-10-07 00:00:00-04:00,3.36,3.6,3.31,3.44,605700,0.0,0.0
2025-10-06 00:00:00-04:00,3.54,3.64,3.35,3.37,343200,0.0,0.0
2025-10-03 00:00:00-04:00,3.45,3.59,3.41,3.48,212100,0.0,0.0
2025-10-02 00:00:00-04:00,3.66,3.66,3.35,3.48,310700,0.0,0.0
2025-10-01 00:00:00-04:00,3.4,3.7,3.4,3.62,395200,0.0,0.0
2025-09-30 00:00:00-04:00,3.32,3.44,3.23,3.42,149600,0.0,0.0
2025-09-29 00:00:00-04:00,3.41,3.58,3.24,3.35,403600,0.0,0.0
2025-09-26 00:00:00-04:00,3.39,3.65,3.36,3.46,410100,0.0,0.0
2025-09-25 00:00:00-04:00,3.53,3.53,3.31,3.38,194800,0.0,0.0
2025-09-24 00:00:00-04:00,3.46,3.68,3.38,3.57,412500,0.0,0.0
2025-09-23 00:00:00-04:00,3.42,3.72,3.3,3.45,578000,0.0,0.0
2025-09-22 00:00:00-04:00,3.13,3.5,3.11,3.38,472200,0.0,0.0
2025-09-19 00:00:00-04:00,3.25,3.42,3.01,3.17,518200,0.0,0.0
2025-09-18 00:00:00-04:00,3.1,3.45,3.04,3.24,636800,0.0,0.0
2025-09-17 00:00:00-04:00,3.2,3.37,3.04,3.04,665400,0.0,0.0
2025-09-16 00:00:00-04:00,3.08,3.23,2.88,3.21,333000,0.0,0.0
2025-09-15 00:00:00-04:00,3.14,3.17,2.95,2.99,540400,0.0,0.0
2025-09-12 00:00:00-04:00,3.31,3.4,3.2,3.26,267900,0.0,0.0
2025-09-11 00:00:00-04:00,3.22,3.4,3.08,3.3,542700,0.0,0.0
2025-09-10 00:00:00-04:00,3.31,3.42,3.09,3.39,482000,0.0,0.0
2025-09-09 00:00:00-04:00,3.39,3.49,3.05,3.28,516600,0.0,0.0
2025-09-08 00:00:00-04:00,3.6,3.6,3.21,3.39,520600,0.0,0.0
2025-09-05 00:00:00-04:00,3.55,3.64,3.27,3.5,540900,0.0,0.0
2025-09-04 00:00:00-04:00,3.04,3.79,3.02,3.64,1315600,0.0,0.0
2025-09-03 00:00:00-04:00,3.49,3.49,3.1,3.12,806300,0.0,0.0
2025-09-02 00:00:00-04:00,3.65,3.75,3.28,3.47,674800,0.0,0.0
2025-08-29 00:00:00-04:00,4.01,4.09,3.7,3.76,898800,0.0,0.0
2025-08-28 00:00:00-04:00,4.34,4.37,4.01,4.12,595600,0.0,0.0
2025-08-27 00:00:00-04:00,4.51,4.83,4.22,4.23,1366900,0.0,0.0
2025-08-26 00:00:00-04:00,3.97,4.65,3.57,4.58,1977900,0.0,0.0
2025-08-25 00:00:00-04:00,3.81,4.36,3.81,3.97,1887100,0.0,0.0
2025-08-22 00:00:00-04:00,3.15,3.93,3.12,3.92,3287300,0.0,0.0
2025-08-21 00:00:00-04:00,2.82,3.21,2.71,3.18,1654700,0.0,0.0
2025-08-20 00:00:00-04:00,2.84,3.0,2.69,2.8,1758200,0.0,0.0
2025-08-19 00:00:00-04:00,2.58,3.42,2.45,2.93,9357600,0.0,0.0
2025-08-18 00:00:00-04:00,2.82,3.22,2.49,2.49,2778900,0.0,0.0
2025-08-15 00:00:00-04:00,2.89,3.11,2.66,2.85,1851400,0.0,0.0
2025-08-14 00:00:00-04:00,2.5,3.25,2.47,3.14,5793800,0.0,0.0
2025-08-13 00:00:00-04:00,3.19,3.45,2.72,2.93,77370200,0.0,0.0
2025-08-12 00:00:00-04:00,1.73,2.64,1.65,2.58,97762800,0.0,0.0
2025-08-11 00:00:00-04:00,1.47,1.53,1.35,1.42,874800,0.0,0.0
2025-08-08 00:00:00-04:00,1.5,1.51,1.4,1.49,647900,0.0,0.0
2025-08-07 00:00:00-04:00,1.59,1.64,1.45,1.46,994100,0.0,0.0
2025-08-06 00:00:00-04:00,1.67,1.73,1.57,1.58,771000,0.0,0.0
2025-08-05 00:00:00-04:00,1.58,1.63,1.54,1.61,435700,0.0,0.0
2025-08-04 00:00:00-04:00,1.6,1.67,1.58,1.58,368600,0.0,0.0
2025-08-01 00:00:00-04:00,1.58,1.71,1.55,1.6,442000,0.0,0.0
2025-07-31 00:00:00-04:00,1.73,1.8,1.65,1.68,787700,0.0,0.0
2025-07-30 00:00:00-04:00,1.9,1.95,1.76,1.77,848700,0.0,0.0
2025-07-29 00:00:00-04:00,2.13,2.19,1.85,1.92,1578700,0.0,0.0
2025-07-28 00:00:00-04:00,1.87,2.22,1.86,2.13,3699900,0.0,0.0
2025-07-25 00:00:00-04:00,1.81,1.85,1.67,1.82,1550100,0.0,0.0
2025-07-24 00:00:00-04:00,1.51,2.25,1.51,1.83,15755800,0.0,0.0
2025-07-23 00:00:00-04:00,1.51,1.52,1.47,1.5,763300,0.0,0.0
2025-07-22 00:00:00-04:00,1.51,1.52,1.45,1.49,519700,0.0,0.0
2025-07-21 00:00:00-04:00,1.48,1.58,1.45,1.53,1266700,0.0,0.0
2025-07-18 00:00:00-04:00,1.53,1.54,1.38,1.43,1258600,0.0,0.0
2025-07-17 00:00:00-04:00,1.52,1.56,1.47,1.49,2339400,0.0,0.0
2025-07-16 00:00:00-04:00,1.5,1.71,1.49,1.52,2404300,0.0,0.0
2025-07-15 00:00:00-04:00,1.5,1.52,1.45,1.47,540200,0.0,0.0
2025-07-14 00:00:00-04:00,1.43,1.49,1.4,1.48,411000,0.0,0.0
2025-07-11 00:00:00-04:00,1.56,1.56,1.41,1.43,645900,0.0,0.0
2025-07-10 00:00:00-04:00,1.66,1.73,1.54,1.57,612900,0.0,0.0
2025-07-09 00:00:00-04:00,1.7,1.79,1.63,1.66,594600,0.0,0.0
2025-07-08 00:00:00-04:00,1.72,1.8,1.64,1.66,482600,0.0,0.0
2025-07-07 00:00:00-04:00,1.88,1.93,1.68,1.68,568600,0.0,0.0
2025-07-03 00:00:00-04:00,2.0,2.03,1.85,1.89,380100,0.0,0.0
2025-07-02 00:00:00-04:00,1.91,2.12,1.88,1.98,701300,0.0,0.0
2025-07-01 00:00:00-04:00,1.93,1.93,1.82,1.86,408500,0.0,0.0
2025-06-30 00:00:00-04:00,1.88,1.97,1.82,1.9,454000,0.0,0.0
2025-06-27 00:00:00-04:00,2.05,2.08,1.81,1.83,966500,0.0,0.0
