Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-11-21 00:00:00-05:00,0.12,0.17,0.12,0.15,38670,0.0,0.0
2025-11-20 00:00:00-05:00,0.15,0.18,0.14,0.14,194936,0.0,0.0
2025-11-19 00:00:00-05:00,0.17,0.17,0.13,0.15,7381,0.0,0.0
2025-11-18 00:00:00-05:00,0.15,0.17,0.12,0.17,96044,0.0,0.0
2025-11-17 00:00:00-05:00,0.12,0.17,0.12,0.14,79658,0.0,0.0
2025-11-14 00:00:00-05:00,0.15,0.15,0.12,0.12,273241,0.0,0.0
2025-11-13 00:00:00-05:00,0.13,0.15,0.13,0.14,98949,0.0,0.0
2025-11-12 00:00:00-05:00,0.14,0.15,0.13,0.14,77921,0.0,0.0
2025-11-11 00:00:00-05:00,0.13,0.15,0.13,0.14,117819,0.0,0.0
2025-11-10 00:00:00-05:00,0.1,0.15,0.1,0.14,110645,0.0,0.0
2025-11-07 00:00:00-05:00,0.15,0.15,0.13,0.14,121124,0.0,0.0
2025-11-06 00:00:00-05:00,0.13,0.14,0.13,0.14,83549,0.0,0.0
2025-11-05 00:00:00-05:00,0.13,0.14,0.12,0.13,51493,0.0,0.0
2025-11-04 00:00:00-05:00,0.14,0.14,0.14,0.14,1111,0.0,0.0
2025-11-03 00:00:00-05:00,0.13,0.15,0.1,0.12,26095,0.0,0.0
2025-10-31 00:00:00-04:00,0.1,0.15,0.1,0.12,12466,0.0,0.0
2025-10-30 00:00:00-04:00,0.1,0.15,0.1,0.1,119422,0.0,0.0
2025-10-29 00:00:00-04:00,0.11,0.12,0.11,0.12,12965,0.0,0.0
2025-10-28 00:00:00-04:00,0.1,0.13,0.1,0.11,2829,0.0,0.0
2025-10-27 00:00:00-04:00,0.17,0.17,0.11,0.11,8312,0.0,0.0
2025-10-24 00:00:00-04:00,0.12,0.17,0.12,0.17,38847,0.0,0.0
2025-10-23 00:00:00-04:00,0.13,0.2,0.13,0.15,52089,0.0,0.0
2025-10-22 00:00:00-04:00,0.1,0.12,0.1,0.12,11993,0.0,0.0
2025-10-21 00:00:00-04:00,0.14,0.2,0.14,0.2,83496,0.0,0.0
2025-10-20 00:00:00-04:00,0.15,0.2,0.1,0.2,84314,0.0,0.0
2025-10-17 00:00:00-04:00,0.14,0.2,0.1,0.2,148026,0.0,0.0
2025-10-16 00:00:00-04:00,0.1,0.2,0.08,0.14,991062,0.0,0.0
2025-10-15 00:00:00-04:00,0.09,0.13,0.09,0.09,210856,0.0,0.0
2025-10-14 00:00:00-04:00,0.09,0.12,0.08,0.12,119176,0.0,0.0
2025-10-13 00:00:00-04:00,0.12,0.12,0.08,0.09,36299,0.0,0.0
2025-10-10 00:00:00-04:00,0.12,0.12,0.08,0.09,25635,0.0,0.0
2025-10-09 00:00:00-04:00,0.12,0.12,0.09,0.09,10979,0.0,0.0
2025-10-08 00:00:00-04:00,0.08,0.12,0.08,0.08,21456,0.0,0.0
2025-10-07 00:00:00-04:00,0.09,0.11,0.08,0.08,75302,0.0,0.0
2025-10-06 00:00:00-04:00,0.08,0.11,0.08,0.11,25164,0.0,0.0
2025-10-03 00:00:00-04:00,0.07,0.14,0.05,0.11,720134,0.0,0.0
2025-10-02 00:00:00-04:00,0.06,0.09,0.04,0.05,29831,0.0,0.0
2025-10-01 00:00:00-04:00,0.06,0.09,0.05,0.09,3460,0.0,0.0
2025-09-30 00:00:00-04:00,0.05,0.1,0.04,0.06,33961,0.0,0.0
2025-09-29 00:00:00-04:00,0.1,0.11,0.04,0.05,186718,0.0,0.0
2025-09-26 00:00:00-04:00,0.05,0.1,0.04,0.07,18865,0.0,0.0
2025-09-25 00:00:00-04:00,0.05,0.1,0.05,0.05,29145,0.0,0.0
2025-09-24 00:00:00-04:00,0.05,0.11,0.05,0.05,76201,0.0,0.0
2025-09-23 00:00:00-04:00,0.05,0.08,0.03,0.07,128252,0.0,0.0
2025-09-22 00:00:00-04:00,0.05,0.08,0.04,0.08,340231,0.0,0.0
2025-09-19 00:00:00-04:00,0.05,0.05,0.01,0.05,227303,0.0,0.0
2025-09-18 00:00:00-04:00,0.02,0.04,0.01,0.04,151884,0.0,0.0
2025-09-17 00:00:00-04:00,0.04,0.04,0.01,0.01,29774,0.0,0.0
2025-09-16 00:00:00-04:00,0.01,0.04,0.01,0.02,355432,0.0,0.0
2025-09-15 00:00:00-04:00,0.03,0.03,0.01,0.01,22074,0.0,0.0
2025-09-12 00:00:00-04:00,0.0,0.03,0.0,0.01,8631,0.0,0.0
2025-09-11 00:00:00-04:00,0.05,0.05,0.01,0.03,105020,0.0,0.0
2025-09-10 00:00:00-04:00,0.05,0.05,0.01,0.01,8858,0.0,0.0
2025-09-09 00:00:00-04:00,0.01,0.02,0.01,0.01,486310,0.0,0.0
2025-09-08 00:00:00-04:00,0.02,0.02,0.0,0.01,70239,0.0,0.0
2025-09-05 00:00:00-04:00,0.01,0.02,0.01,0.02,71356,0.0,0.0
2025-09-04 00:00:00-04:00,0.01,0.02,0.0,0.01,509897,0.0,0.0
2025-09-03 00:00:00-04:00,0.0,0.01,0.0,0.01,17053,0.0,0.0
