symbol,volume,avg_volume,market_cap,price,rank
SOXS,78503100,314736779,0.0,2.990000009536743,1
SLV,58826000,42104743,22269368320.0,65.22000122070312,2
TSLL,49860200,116542870,0.0,22.350000381469727,3
TZA,42462900,66306485,0.0,6.940000057220459,4
SPY,39445600,81721200,633618366464.0,690.3800048828125,5
SOXL,30717800,92708685,0.0,44.209999084472656,6
TLT,25942000,32459130,9656890368.0,88.02999877929688,7
DUST,25887100,21446143,92320656.0,6.880000114440918,8
TQQQ,25855000,114035519,0.0,55.36000061035156,9
JDST,25326400,38624879,0.0,2.430000066757202,10
BITO,24081600,30776043,0.0,12.130000114440918,11
IBIT,22759300,66117941,0.0,49.459999084472656,12
ZSL,22566800,4729940,0.0,5.690000057220459,13
TSLS,19499500,52562309,0.0,4.699999809265137,14
ETHA,19176000,51903627,0.0,22.170000076293945,15
NVD,18581700,29510856,0.0,7.849999904632568,16
QQQ,18468700,58297472,245266874368.0,623.9299926757812,17
XLF,15685800,41919885,49234391040.0,55.72999954223633,18
TSLQ,14861200,20084687,0.0,15.649999618530273,19
MSTX,14572500,22887746,0.0,4.230000019073486,20
GDX,14136200,26637291,0.0,89.69999694824219,21
TSDD,12861300,16294783,0.0,7.269999980926514,22
IWM,12103000,41003920,71024140288.0,252.7100067138672,23
XLE,11293900,29809929,8271632896.0,44.369998931884766,24
SQQQ,10762000,35506128,0.0,65.22000122070312,25
HYG,10533500,43531638,15773184000.0,80.63999938964844,26
UNG,10352500,13948314,149728192.0,12.390000343322754,27
PLTD,9662000,26860435,0.0,6.019999980926514,28
EEM,9565300,26508222,40945606656.0,54.41999816894531,29
VEA,9490500,13739716,0.0,62.68000030517578,30
CRWG,9279500,9321680,0.0,3.5399999618530273,31
SCHD,9031900,18011093,0.0,27.65999984741211,32
QID,8406200,22130453,0.0,19.540000915527344,33
RWM,8096900,15277722,0.0,15.9399995803833,34
SGOV,7791300,15627293,0.0,100.30999755859375,35
FXI,7330700,31705717,4990297600.0,38.54999923706055,36
TSLG,7152200,10943050,0.0,11.59000015258789,37
RKLZ,6849500,1681360,0.0,4.289999961853027,38
GLD,6718400,15756082,107225374720.0,411.92999267578125,39
KWEB,6654100,21052974,0.0,34.5099983215332,40
IRE,6568000,11407544,0.0,7.409999847412109,41
IAU,6549300,11067408,81822449664.0,84.33999633789062,42
LQD,6400600,32620814,32475774976.0,110.6500015258789,43
GLDM,6161300,7178493,0.0,88.69999694824219,44
SILJ,6027300,8160646,0.0,29.329999923706055,45
XLU,5761000,20773941,6989760000.0,42.810001373291016,46
CRCG,5674100,6075441,0.0,2.809999942779541,47
BKLN,5636400,9877904,0.0,20.969999313354492,48
EFA,5609700,16899019,90471145472.0,96.41000366210938,49
BOIL,5554300,8513340,0.0,23.8700008392334,50
BND,5341700,7740175,0.0,74.19000244140625,51
QBTZ,5245800,3850858,0.0,8.869999885559082,52
VTEB,5083100,5302954,0.0,50.22999954223633,53
BIL,5073500,9489491,0.0,91.33000183105469,54
VWO,4991600,9189104,76124676096.0,53.68000030517578,55
CRCA,4990600,8402811,0.0,4.380000114440918,56
NVDL,4974500,13126682,0.0,90.27999877929688,57
VXUS,4794700,5378230,0.0,75.61000061035156,58
XLP,4697100,14105638,16418636800.0,78.12000274658203,59
EWZ,4508100,29529290,6327352320.0,31.549999237060547,60
AGG,4483900,8846585,57271451648.0,100.0199966430664,61
SCHX,4482000,19698709,0.0,27.25,62
VCSH,4409200,4880841,0.0,79.63999938964844,63
TNA,4409100,12830433,0.0,49.33000183105469,64
IEMG,4268900,12275320,77034553344.0,66.94000244140625,65
RSP,4193200,17254037,30144612352.0,193.7899932861328,66
FNGD,4177500,20393951,3260499968.0,5.0,67
PLTM,4153600,808188,0.0,21.6200008392334,68
SPXS,4097600,6896528,0.0,34.11000061035156,69
SCHH,4095700,10388735,0.0,20.93000030517578,70
SCHG,4049500,11852729,0.0,33.11000061035156,71
SOLT,4014000,10497970,0.0,6.179999828338623,72
MSOS,4011800,14443969,0.0,4.75,73
VTI,4006500,4132712,704815955968.0,339.8800048828125,74
VCIT,3987800,10444304,0.0,83.9000015258789,75
BITU,3974900,3935835,0.0,22.010000228881836,76
IEF,3967700,8875746,14067099648.0,96.3499984741211,77
JPST,3962700,5828574,7528331776.0,50.72999954223633,78
AGQ,3891900,3691685,0.0,167.67999267578125,79
SCHF,3882300,9803941,0.0,24.139999389648438,80
NVDY,3733800,7023972,0.0,14.8100004196167,81
IJH,3723800,10291988,17328166912.0,67.31999969482422,82
XLK,3676300,18046653,39801794560.0,146.3000030517578,83
ETH,3627000,7636209,0.0,27.709999084472656,84
BNDX,3565300,3994272,0.0,48.41999816894531,85
PSQ,3562500,9572382,0.0,29.709999084472656,86
PPLT,3548200,509172,0.0,204.52000427246094,87
SGOL,3522600,6521400,0.0,42.68000030517578,88
KRE,3480600,17009832,0.0,66.7300033569336,89
SPYM,3478400,10497066,0.0,81.45999908447266,90
EWY,3461500,6592979,7151759872.0,94.5999984741211,91
ETHE,3451800,7174856,0.0,24.079999923706055,92
KOLD,3341300,6024777,0.0,34.5,93
XBI,3303100,10646606,0.0,126.30000305175781,94
VOO,3275200,9107890,0.0,634.780029296875,95
XLRE,3242600,7362835,0.0,40.439998626708984,96
RGTZ,3242400,17961990,0.0,18.479999542236328,97
TMF,3238400,5238645,0.0,38.45000076293945,98
GDXJ,3188700,6422882,0.0,118.97000122070312,99
IJR,3144200,5306196,69666455552.0,123.13999938964844,100
BMNG,3097400,2494853,0.0,3.740000009536743,101
XLV,3085700,12966022,30757259264.0,155.8000030517578,102
SIL,3073900,2654095,0.0,87.66999816894531,103
IYR,2939100,6689916,4649757184.0,94.22000122070312,104
SPTL,2936600,7136000,0.0,26.6299991607666,105
UGL,2905600,3795819,0.0,60.34000015258789,106
XLB,2767600,13245329,3296982272.0,45.84000015258789,107
AMDL,2753400,19224190,0.0,15.710000038146973,108
JEPQ,2746900,5655211,0.0,59.290000915527344,109
VNQ,2730800,3728927,32857266176.0,88.76000213623047,110
MUD,2691900,2232675,0.0,5.820000171661377,111
XRT,2667300,5145850,1055984384.0,87.2699966430664,112
SPDN,2655100,28296290,0.0,9.300000190734863,113
CGDV,2639800,3866329,0.0,44.220001220703125,114
GGLS,2634900,4179540,0.0,6.75,115
RGTX,2633900,3617822,0.0,15.239999771118164,116
PDBC,2622900,5801209,0.0,13.420000076293945,117
ASHR,2587100,6680414,0.0,32.81999969482422,118
SPLV,2569300,3491164,0.0,71.9000015258789,119
QLD,2534000,5830243,0.0,72.7300033569336,120
QYLD,2527500,6443546,0.0,17.729999542236328,121
QQQM,2482100,5033340,0.0,256.8699951171875,122
USFR,2480800,4205485,0.0,50.43000030517578,123
JEPI,2459300,5150700,0.0,57.970001220703125,124
SCHP,2455300,3709709,3073668096.0,26.520000457763672,125
MUB,2426900,3656950,0.0,106.95999908447266,126
SH,2391300,7432883,0.0,35.54999923706055,127
CONL,2390100,6213508,0.0,16.549999237060547,128
QQQI,2386800,4581648,0.0,54.54999923706055,129
SPDW,2385200,4527840,0.0,44.54999923706055,130
GDXD,2380700,2136285,0.0,7.590000152587891,131
EWA,2376600,4334990,1691760000.0,26.600000381469727,132
IVV,2348200,9259488,430976565248.0,693.3900146484375,133
JAAA,2312400,5679409,0.0,50.4900016784668,134
PYLD,2290000,3078838,0.0,26.84000015258789,135
SHY,2287200,4207850,17315389440.0,82.7300033569336,136
XLY,2250000,11478154,14741815296.0,122.58999633789062,137
XLI,2238500,10954230,21518594048.0,157.5,138
FENY,2139900,4140090,0.0,24.59000015258789,139
ICLN,2112700,3318119,0.0,16.579999923706055,140
ORCX,2096600,3383287,0.0,17.75,141
SIVR,2083500,2269941,0.0,68.48999786376953,142
VTV,2062800,3876433,81825292288.0,192.8699951171875,143
PGX,2056400,2948769,0.0,11.239999771118164,144
XLC,2044400,5498714,0.0,118.08999633789062,145
BMNZ,2012300,3920810,0.0,20.59000015258789,146
SCHA,2010400,3545229,0.0,29.170000076293945,147
VEU,1980600,2502104,34116399104.0,73.73999786376953,148
JETS,1945800,3425564,0.0,28.540000915527344,149
FNDX,1898000,6505530,0.0,27.459999084472656,150
SCHB,1894400,8336708,0.0,26.579999923706055,151
DRIP,1874200,4226864,0.0,9.0600004196167,152
SJNK,1808400,4329667,0.0,25.31999969482422,153
ACWI,1780800,3516954,0.0,142.7100067138672,154
EWJ,1767600,6180733,18455851008.0,81.0,155
VGIT,1762400,2712948,0.0,59.93000030517578,156
IONX,1753000,2164390,0.0,27.799999237060547,157
FBND,1751000,2495956,0.0,46.400001525878906,158
UPRO,1741200,5474596,0.0,120.31999969482422,159
BSV,1731500,3493687,0.0,78.73999786376953,160
